N	2gram	Vygotskiy_	Problema
1	и в	38	182
2	и не	16	152
3	вовсе не	5	145
4	то что	27	144
5	не есть	5	113
6	не только	16	104
7	потому что	14	89
8	в этом	35	88
9	может быть	25	82
10	в том	59	81
11	том что	44	81
12	не просто	3	80
13	только в	16	73
14	сказать что	10	72
15	но и	9	70
16	в виде	4	69
17	у нас	1	68
18	также и	3	68
19	и даже	4	66
20	по себе	11	64
21	даже и	1	63
22	не менее	8	58
23	о том	6	57
24	тем не	6	56
25	а не	7	56
26	так и	11	56
27	но в	4	55
28	так что	3	52
29	ни в	12	51
30	для нас	6	50
31	в себе	9	48
32	отнюдь не	6	48
33	и вообще	1	48
34	смысле слова	5	47
35	при помощи	3	47
36	было бы	15	46
37	прежде всего	6	45
38	в своей	9	45
39	что в	31	44
40	в его	22	44
41	не в	10	43
42	все эти	9	43
43	то же	18	42
44	а именно	1	42
45	как раз	1	42
46	таким образом	36	42
47	если мы	12	42
48	и что	15	40
49	и то	9	40
50	что он	13	40
51	так как	19	40
52	что мы	18	40
53	во всяком	10	39
54	не может	11	39
55	такого рода	7	39
56	и тем	8	39
57	в этой	7	39
58	как бы	17	39
59	той или	2	38
60	в данном	1	38
61	хотя бы	2	37
62	в нем	4	37
63	того что	17	37
64	точки зрения	27	36
65	есть нечто	1	36
66	еще не	6	36
67	и все	5	36
68	когда мы	2	35
69	в виду	4	34
70	уже не	3	34
71	и с	5	34
72	как и	20	34
73	указывает на	3	34
74	же самое	9	33
75	в таком	4	33
76	не является	13	33
77	или иной	3	33
78	здесь не	2	32
79	в то	5	32
80	но не	7	32
81	едва ли	6	32
82	так же	26	31
83	в своем	9	31
84	связи с	14	31
85	что такое	1	31
86	в конце	1	31
87	но это	7	31
88	все это	8	31
89	ясно что	4	30
90	подобного рода	1	30
91	и для	4	30
92	с другой	11	30
93	в связи	9	29
94	все же	11	29
95	можно сказать	2	29
96	перед нами	15	29
97	как мы	14	29
98	об этом	2	29
99	что же	1	28
100	данном случае	1	28
101	мы не	14	28
102	а в	7	28
103	и это	7	27
104	и как	11	27
105	хотя и	2	27
106	ничего общего	4	27
107	в результате	6	26
108	другой стороны	5	26
109	да и	1	26
110	вместе с	18	26
111	еще и	2	26
112	это не	5	26
113	и его	5	26
114	мы можем	13	25
115	и на	9	25
116	тем самым	6	25
117	с точки	11	25
118	всяком случае	10	25
119	с тем	18	24
120	тем более	2	24
121	в нашем	2	24
122	не имеет	3	24
123	содержит в	2	23
124	по своему	14	23
125	только и	2	23
126	на то	7	23
127	при этом	13	23
128	в качестве	25	23
129	и притом	1	23
130	конце концов	1	23
131	а только	1	23
132	то и	5	23
133	мы находим	3	23
134	есть не	1	23
135	и к	9	22
136	раз и	1	22
137	только на	2	22
138	можно ли	2	22
139	никогда не	11	22
140	и является	2	22
141	всех этих	2	22
142	есть в	1	22
143	значит что	6	22
144	сам по	2	22
145	его в	8	22
146	и от	5	22
147	что и	14	22
148	другими словами	3	22
149	в самом	8	21
150	сама по	1	21
151	что всякий	1	21
152	мы должны	15	21
153	и ее	1	21
154	говорить о	1	21
155	для себя	2	21
156	а также	6	21
157	и только	4	21
158	именно в	6	20
159	для того	14	20
160	но как	4	20
161	можно было	10	20
162	и потому	2	20
163	тем что	12	20
164	несмотря на	1	20
165	или в	4	20
166	это значит	6	19
167	кроме того	1	19
168	в них	3	19
169	с ним	4	19
170	самом деле	4	19
171	в каком	3	19
172	но если	2	19
173	того или	2	19
174	есть знак	1	19
175	уже в	10	19
176	то в	3	19
177	в отношении	14	19
178	но только	3	19
179	этом смысле	7	19
180	он не	6	19
181	это есть	1	19
182	если не	1	19
183	если бы	12	19
184	как в	14	19
185	в этих	4	18
186	того же	12	18
187	не будет	2	18
188	мы и	4	18
189	не существует	1	18
190	в ее	1	18
191	того чтобы	15	18
192	в ней	3	18
193	без всякого	1	17
194	что они	23	17
195	во всех	3	17
196	значение и	1	17
197	и здесь	5	17
198	гораздо более	1	17
199	мы уже	8	17
200	совсем не	1	17
201	в языке	3	17
202	что здесь	2	17
203	это и	1	17
204	совершенно не	1	17
205	тех или	1	17
206	точно так	4	16
207	что она	7	16
208	как это	16	16
209	же в	3	16
210	для этого	3	16
211	но все	4	16
212	к тому	8	16
213	но даже	1	16
214	случае не	1	16
215	далеко не	2	16
216	и сам	4	15
217	с этим	6	15
218	в чем	2	15
219	в той	2	15
220	у него	3	15
221	что не	1	15
222	общего с	3	15
223	и более	4	15
224	здесь в	2	15
225	в частности	4	15
226	уже и	5	14
227	что все	2	14
228	с другими	3	14
229	сих пор	3	14
230	не так	1	14
231	этом случае	4	14
232	нас не	2	14
233	все равно	4	14
234	в котором	3	14
235	говорит о	1	14
236	нас в	4	14
237	до сих	3	14
238	в дальнейшем	3	14
239	не что	2	14
240	то ни	1	14
241	за пределы	1	14
242	что иное	2	14
243	этого термина	1	14
244	иное как	2	14
245	же и	2	13
246	из них	5	13
247	тому что	3	13
248	действительности и	1	13
249	должны сказать	2	13
250	сами по	4	13
251	ни на	3	13
252	бы и	2	13
253	только при	2	13
254	мы имеем	6	13
255	в их	12	13
256	или даже	2	13
257	в области	9	13
258	который в	4	13
259	уже давно	1	13
260	в других	2	13
261	или иного	2	13
262	мы в	3	13
263	в другом	3	12
264	с одной	8	12
265	в которой	4	12
266	каком случае	1	12
267	время как	5	12
268	в самой	1	12
269	и можно	1	12
270	для них	3	12
271	так или	1	12
272	то время	5	12
273	на первый	5	12
274	в начале	5	12
275	и очень	1	12
276	или по	2	12
277	не являются	4	12
278	что этот	2	12
279	значения и	6	12
280	в смысле	9	12
281	что это	8	12
282	или иначе	2	12
283	знаком и	2	12
284	нисколько не	3	12
285	в целом	22	12
286	или иных	1	11
287	бы то	1	11
288	о которых	1	11
289	и следовательно	1	11
290	могли бы	16	11
291	свидетельствует о	1	11
292	тот же	10	11
293	в таких	1	11
294	и другое	7	11
295	родовое понятие	1	11
296	одной стороны	8	11
297	никак нельзя	2	11
298	том или	1	11
299	по поводу	1	11
300	к нему	1	11
301	только не	2	11
302	не о	1	11
303	не могут	5	11
304	и у	7	11
305	мы говорим	1	11
306	заключается в	22	11
307	в истории	9	11
308	и во	4	11
309	и самого	1	11
310	указание на	1	11
311	вообще не	3	11
312	и их	4	11
313	в нашей	4	11
314	по этому	6	11
315	и тогда	2	11
316	более или	3	10
317	что у	3	10
318	на том	3	10
319	но он	1	10
320	что для	1	10
321	даже если	1	10
322	один из	8	10
323	от нас	1	10
324	со всеми	9	10
325	бы не	1	10
326	обозначения и	1	10
327	художественное произведение	1	10
328	что оно	8	10
329	однако это	1	10
330	все еще	2	10
331	в одном	4	10
332	и которые	5	10
333	представление о	1	10
334	отличается от	5	10
335	которые мы	3	10
336	все время	6	10
337	не то	1	10
338	он в	1	10
339	однако в	2	10
340	из которых	6	10
341	не имеют	2	10
342	относится к	1	10
343	внимание на	4	10
344	общего и	1	10
345	или менее	5	10
346	только то	1	10
347	слова и	8	10
348	что если	3	9
349	в своих	3	9
350	их в	6	9
351	вопрос о	2	9
352	нет и	1	9
353	представить себе	3	9
354	здесь как	1	9
355	имеет ничего	1	9
356	в тех	2	9
357	не мешает	1	9
358	тогда когда	10	9
359	в которых	3	9
360	о котором	2	9
361	того как	5	9
362	однако не	3	9
363	но эта	1	9
364	она не	1	9
365	или как	2	9
366	этому поводу	4	9
367	которые в	5	9
368	языка и	1	9
369	в жизни	3	9
370	вообще и	2	9
371	обратить внимание	1	9
372	в буквальном	1	9
373	между знаком	2	9
374	бы в	5	9
375	мы говорили	5	9
376	был бы	2	9
377	здесь мы	4	9
378	с ней	4	9
379	и до	1	9
380	в условиях	1	9
381	во всем	7	8
382	является в	4	8
383	только что	5	8
384	с этой	6	8
385	является для	2	8
386	он был	1	8
387	и весь	1	8
388	конечно не	1	8
389	во всей	3	8
390	тем же	8	8
391	что при	3	8
392	но для	2	8
393	от этого	6	8
394	между собой	15	8
395	а потом	2	8
396	почти всегда	1	8
397	тот или	1	8
398	и по	5	8
399	с ее	5	8
400	и самый	1	8
401	и при	3	8
402	к его	1	8
403	никто не	1	8
404	из этих	5	8
405	и больше	1	8
406	только потому	2	8
407	значение в	5	8
408	мы будем	4	8
409	бы мы	2	8
410	на его	5	8
411	не все	1	8
412	еще в	2	8
413	мы сейчас	1	8
414	вплоть до	1	8
415	для всех	1	8
416	были бы	3	8
417	которые не	5	8
418	как они	5	8
419	как только	1	8
420	если в	3	8
421	входит в	7	8
422	и он	1	8
423	здесь нет	1	8
424	ни было	2	8
425	но ведь	1	8
426	себе и	2	8
427	чистом виде	1	8
428	которое мы	2	8
429	в силу	9	8
430	и особенно	4	8
431	и этот	1	8
432	является здесь	1	8
433	том как	1	8
434	и понятие	3	8
435	это то	1	8
436	он есть	1	8
437	знак в	1	8
438	для него	6	8
439	говорим о	1	8
440	является не	6	8
441	с самого	6	8
442	как он	8	8
443	или других	1	7
444	даже в	5	7
445	но что	3	7
446	предметов и	6	7
447	из себя	1	7
448	не обязательно	1	7
449	что их	1	7
450	в значительной	1	7
451	иным как	1	7
452	мы скажем	1	7
453	в понятии	6	7
454	а с	4	7
455	в случае	3	7
456	его как	1	7
457	уже с	1	7
458	оно не	3	7
459	виде как	3	7
460	к другому	2	7
461	и поэтому	4	7
462	что понятие	4	7
463	являются только	1	7
464	одной из	1	7
465	на этот	5	7
466	находятся в	1	7
467	мы могли	14	7
468	в такой	3	7
