N	3gram	Losev_Dial	Tvorches
1	в то же	7	25
2	то же время	8	24
3	и т д	28	17
4	в том что	12	11
5	в братьях карамазовых	1	9
6	у достоевского в	1	9
7	о том что	6	8
8	и в то	3	7
9	не может быть	4	6
10	но в то	1	6
11	и т п	3	5
12	в самом деле	3	5
13	до сих пор	4	4
14	по крайней мере	11	4
15	с точки зрения	18	4
16	дело в том	1	4
17	с самого начала	2	4
18	во главе с	1	3
19	дело не в	1	3
20	что все это	1	3
21	в таком случае	2	3
22	сами по себе	4	3
23	точно так же	3	3
24	том что в	1	3
25	это значит что	16	3
26	во всяком случае	3	3
27	с другой стороны	7	3
28	хотя и не	1	3
29	добра и зла	1	3
30	и не может	1	3
31	что он не	2	2
32	это не значит	3	2
33	в данном случае	1	2
34	в другом смысле	1	2
35	и в другом	1	2
36	для того чтобы	1	2
37	тем не менее	3	2
38	не значит что	6	2
39	не потому что	5	2
40	к достижению цели	1	2
41	в конце концов	4	2
42	потому что он	5	2
43	та же самая	1	2
44	а потому что	2	2
45	к тому же	2	2
46	не могут быть	1	2
47	несмотря на все	1	2
48	так как он	2	2
49	да и не	1	2
50	таким образом и	1	2
51	не то что	1	2
52	но это не	2	2
53	в связи с	3	2
54	вместе с тем	1	2
55	только то что	6	2
56	в каждом человеке	1	2
57	можно сказать что	6	2
58	и та же	5	2
59	все же не	1	2
60	на самом деле	3	2
61	содержит в себе	5	2
62	он сам в	1	2
63	так же как	1	2
64	это уже не	1	2
65	не только в	2	2
66	как бы ни	2	2
67	в первую очередь	1	2
68	мы уже говорили	1	2
69	теперь перед нами	1	1
70	так быстро что	1	1
71	я не буду	4	1
72	одного из них	1	1
73	и как бы	1	1
74	на деле же	2	1
75	все это я	1	1
76	как будто бы	3	1
77	не все же	1	1
78	имеет место в	1	1
79	а о том	1	1
80	и даже не	3	1
81	по себе а	2	1
82	мы все время	1	1
83	том смысле что	3	1
84	уже более не	1	1
85	отождествляется с ним	1	1
86	в дальнейшем но	1	1
87	он не знал	1	1
88	в душе его	1	1
89	не содержит в	1	1
90	что в одном	1	1
91	и неизменно как	1	1
92	и дальше в	1	1
93	то что не	1	1
94	ничего не говорит	4	1
95	значит что он	3	1
96	это та же	1	1
97	в самих себе	1	1
98	он на самом	1	1
99	то или иное	4	1
100	в этом кратком	1	1
101	я и не	1	1
102	д и т	3	1
103	об этом не	1	1
104	мы говорим о	1	1
105	на его голову	1	1
106	лежащая в основе	2	1
107	и учение о	1	1
108	и вот тут-то	1	1
109	то к чему	1	1
110	в каждом из	2	1
111	времени сходно с	1	1
112	на свете есть	1	1
113	говорить о том	1	1
114	а с точки	2	1
115	т д в	1	1
116	времени но этот	1	1
117	у него и	1	1
118	ничего общего с	3	1
119	как у достоевского	1	1
120	а между тем	1	1
121	пространство и время	1	1
122	в этом пункте	1	1
123	мы никогда не	1	1
124	она дана в	1	1
125	бросается в глаза	1	1
126	отношение к нему	1	1
127	не могли помочь	1	1
128	это не просто	1	1
129	как и пространство	1	1
130	в чем не	1	1
131	по себе не	7	1
132	материалистов xviii века	1	1
133	в них нет	2	1
134	что это не	1	1
135	по себе и	3	1
136	знаем что она	1	1
137	то же самое	3	1
138	к тому что	3	1
139	говорил что он	1	1
140	не может не	1	1
141	видим в нем	1	1
142	на самом же	2	1
143	в нем нет	3	1
144	это-то и есть	1	1
145	д все это	2	1
146	на первый взгляд	2	1
147	и в том	1	1
148	и в этом	4	1
149	быть может и	1	1
150	это то что	1	1
151	может и не	2	1
152	в том и	1	1
153	т д и	3	1
154	и тем не	1	1
155	с первого взгляда	2	1
156	т д все	2	1
157	те и другие	1	1
158	той или иной	4	1
159	равно как и	1	1
160	и должно быть	3	1
161	это вовсе не	2	1
162	это я делаю	1	1
163	что они имеют	1	1
164	самом же деле	2	1
165	но и в	1	1
166	в том смысле	4	1
167	том или другом	1	1
168	на ту или	1	1
169	же может быть	2	1
170	но она не	1	1
171	в чем же	1	1
172	не заметить что	1	1
173	со всеми его	1	1
174	ясно что это	1	1
175	не может и	3	1
176	и вовсе не	1	1
177	ту или иную	1	1
178	что же касается	1	1
179	нужно быть действительно	1	1
180	может быть в	2	1
181	все более и	1	1
182	и не в	1	1
183	как один из	2	1
184	с одной стороны	3	1
185	не был бы	1	1
186	в основе всех	1	1
187	и даже в	3	1
188	на точку зрения	2	1
189	он сам является	1	1
190	не с точки	2	1
191	в то время	2	1
192	более и более	1	1
193	но что это?	1	1
194	то и другое	3	1
195	но все это	2	1
196	я скажу что	1	1
197	я не могу	2	1
198	не что иное	4	1
199	там где есть	1	1
200	это еще не	1	1
201	всю жизнь и	1	1
202	в отношении к	1	1
203	то все же	1	1
204	на том или	1	1
205	можно было бы	4	1
206	только потому что	4	1
207	не рождается из	2	1
208	мир в котором	1	1
209	пространства и времени	4	1
210	есть прежде всего	1	1
211	в этом его	1	1
212	не зависит от	1	1
213	борис годунов и	1	1
214	все же это	1	1
215	что в нем	4	1
216	же как и	1	1
217	так как и	2	1
218	одна и та	5	1
219	потому и является	1	1
220	но только не	1	1
221	и в литературе	1	1
222	что иное как	4	1
223	в каком-то новом	1	1
224	в нем и	2	1
225	я никогда не	3	1
226	вопрос о том	1	1
227	и не только	4	1
228	и абсолютная необходимость	1	1
229	это и есть	3	1
230	в виду что	2	1
231	ни в чем	2	1
232	еще ничего не	1	1
233	потому что они	2	1
234	если бы не	1	1
