N	3gram	Bakhtin_sl	Analitik
1	в том что	4	25
2	не может быть	11	19
3	по отношению к	2	18
4	в то же	15	16
5	о том что	2	15
6	в данном случае	3	14
7	в отличие от	12	14
8	то же время	15	14
9	той или иной	13	14
10	того или иного	2	9
11	с другой стороны	5	9
12	в свою очередь	3	9
13	по крайней мере	1	9
14	с одной стороны	7	9
15	с точки зрения	11	8
16	как и в	2	8
17	не только в	3	8
18	в этом отношении	2	8
19	в свое время	1	7
20	во всяком случае	7	7
21	тем не менее	2	6
22	так или иначе	1	6
23	в той или	12	5
24	не только не	2	5
25	но и в	2	5
26	в этом случае	4	5
27	до известной степени	3	4
28	здесь не только	1	4
29	для того чтобы	1	4
30	тех или иных	1	4
31	и не может	2	4
32	и в этом	2	4
33	большей или меньшей	5	4
34	и не в	1	4
35	в известном смысле	2	4
36	с той или	1	4
37	в значительной степени	6	4
38	том что он	1	4
39	сама по себе	2	4
40	в контексте целого	1	3
41	и т п	49	3
42	одни и те	1	3
43	хотя бы и	5	3
44	в том числе	1	3
45	как бы не	1	3
46	сами по себе	1	3
47	бы то ни	1	3
48	в первом случае	2	3
49	речь идет о	1	3
50	в зависимости от	4	3
51	между тем как	1	3
52	не в самом	1	3
53	а в том	1	3
54	то ни было	1	3
55	а не в	1	3
56	в связи с	2	3
57	а не с	1	3
58	и те же	1	3
59	то есть в	1	3
60	дело не с	2	3
61	можно сказать что	1	3
62	и той же	1	3
63	в противном случае	1	3
64	включает в себя	3	3
65	дело в том	1	3
66	одной и той	1	3
67	не могут быть	3	3
68	однако при этом	1	3
69	что он не	1	2
70	в применении к	1	2
71	с этой точки	1	2
72	в себя момент	1	2
73	более или менее	5	2
74	в частности в	1	2
75	можно было бы	2	2
76	друг с другом	2	2
77	в широком смысле	3	2
78	до сих пор	4	2
79	от автора и	2	2
80	и прежде всего	1	2
81	иметь дело с	2	2
82	и то же	2	2
83	и в пределах	1	2
84	к тому что	2	2
85	а не только	1	2
86	так и на	1	2
87	в сторону и	1	2
88	могли бы быть	1	2
89	и в сущности	4	2
90	в этих случаях	1	2
91	в том и	2	2
92	они могут быть	6	2
93	вместе с ним	1	2
94	никогда не бывает	1	2
95	на то что	1	2
96	не столько в	1	2
97	этой точки зрения	1	2
98	а между тем	2	2
99	со всех сторон	1	2
100	одно и то	2	2
101	но в то	6	2
102	тем или иным	1	2
103	же время в	1	2
104	прежде всего в	1	2
105	в целом ряде	1	1
106	один из существеннейших	2	1
107	для него самого	1	1
108	речи то есть	1	1
109	на фоне которых	1	1
110	себя в них	3	1
111	может быть диалогического	1	1
112	от которого он	1	1
113	персонажей а между	1	1
114	своего предмета и	2	1
115	автору и его	1	1
116	и даже не	1	1
117	по себе а	1	1
118	а не к	1	1
119	мы видим что	1	1
120	и наконец в	2	1
121	в одном слове	1	1
122	в пределах одной	3	1
123	пор совершенно не	1	1
124	во всех этих	2	1
125	лишь одна из	1	1
126	чтобы прийти к	1	1
127	но и на	1	1
128	то или иное	1	1
129	однако и здесь	1	1
130	есть не только	1	1
131	героев и их	1	1
132	то есть вне	1	1
133	и во всех	2	1
134	в новом свете	1	1
135	с ним в	1	1
136	ищет слов боится	1	1
137	и вследствие этого	1	1
138	в них и	1	1
139	они как бы	2	1
140	последней смысловой инстанции	4	1
141	исключают друг друга	1	1
142	бы ни был	1	1
143	и в эту	1	1
144	высказывания и в	1	1
145	идет уже не	1	1
146	во всех направлениях	1	1
