N	3gram	Medvedev_U	StatiiOP
1	в том что	2	47
2	в этом отношении	2	24
3	до сих пор	2	19
4	с другой стороны	3	13
5	не может быть	4	11
6	в самом деле	2	9
7	то же время	3	9
8	на то что	1	9
9	в то же	3	9
10	не только в	1	8
11	не в том	1	7
12	в конце концов	2	7
13	в этой области	3	7
14	в данном случае	1	7
15	в этом смысле	2	6
16	по крайней мере	2	6
17	с тем что	1	5
18	так или иначе	1	4
19	с одной стороны	1	4
20	но это не	1	4
21	в той же	1	3
22	можно сказать что	1	3
23	более или менее	1	3
24	бы то ни	3	3
25	в рецензии на	1	3
26	у пушкина но	1	3
27	моцарт и сальери	1	3
28	по меньшей мере	1	3
29	в этом случае	1	3
30	в первую очередь	1	3
31	смысле этого термина	2	2
32	хотя бы и	2	2
33	а между тем	2	2
34	и в то	1	2
35	то ни было	3	2
36	том что она	1	2
37	то же самое	2	2
38	и у пушкина	1	2
39	сам по себе	1	2
40	и в конце	1	2
41	но в то	1	2
42	мы имеем в	1	2
43	в известном письме	1	2
44	и то что	2	2
45	тем что он	1	2
46	по его собственному	1	1
47	в последние годы	1	1
48	же время не	1	1
49	не все в	1	1
50	но даже и	2	1
51	также более или	1	1
52	в которой все	1	1
53	никогда и не	1	1
54	если бы это	1	1
55	само по себе	1	1
56	его работы по	1	1
57	на одно из	1	1
58	является одним из	1	1
59	в поэтическом творчестве	1	1
60	идет не о	1	1
61	ничего существенно нового	1	1
62	этого не было	1	1
63	быть не может	1	1
64	то что было	1	1
65	между тем в	1	1
66	в значительной мере	1	1
67	неудивительно что в	1	1
68	знак равенства между	1	1
69	только при таком	1	1
70	несомненно и то	1	1
71	в сторону от	1	1
72	что все они	1	1
73	могут быть оправданы	1	1
74	он может быть	1	1
75	не только к	1	1
76	для него не	1	1
77	и в частности	2	1
78	и быть не	1	1
79	пушкина но это	1	1
80	не могут быть	2	1
81	очевидно не может	2	1
82	то что ему	1	1
83	что в своей	1	1
84	и не только	1	1
85	в своей работе	1	1
