N	2gram	Medvedev_S	Poddanst
1	не только	3	17
2	и в	3	14
3	и не	1	12
4	в области	1	11
5	в этом	5	10
6	в том	5	9
7	то же	2	9
8	хотя бы	1	8
9	только в	2	7
10	же время	1	7
11	в то	1	7
12	было бы	2	6
13	но и	2	6
14	в смысле	2	6
15	может быть	2	5
16	с другой	1	5
17	не в	3	5
18	и о	1	5
19	что в	2	4
20	в котором	1	4
21	по себе	1	4
22	тех кто	1	4
23	и потому	1	4
24	мы должны	1	4
25	не может	1	4
26	а в	1	4
27	то что	2	4
28	как бы	2	4
29	том что	2	4
30	с одной	1	3
31	мы не	1	3
32	это не	1	3
33	одной стороны	1	3
34	между тем	1	3
35	прежде всего	1	3
36	но не	1	3
37	я и	1	3
38	и как	1	3
39	столь же	1	3
40	и мы	2	2
41	более чем	3	2
42	время в	1	2
43	никак не	1	2
44	в частности	2	2
45	в его	3	2
46	нужно было	2	2
47	для нас	3	2
48	все это	7	2
49	и есть	1	2
50	в виде	1	2
51	в них	1	2
52	не было	1	2
53	слова но	1	2
54	главным образом	2	2
55	именно в	1	2
56	в силу	1	2
57	в мире	1	2
58	отнюдь не	1	2
59	тем более	2	2
60	представить себе	1	1
61	во всяком	1	1
62	но как	1	1
63	понимать что	1	1
64	а с	1	1
65	в данном	1	1
66	темы и	1	1
67	и более	1	1
68	те же	1	1
69	по природе	2	1
70	они не	1	1
71	невозможно ни	1	1
72	может не	1	1
73	она должна	1	1
74	этой области	1	1
75	должна быть	2	1
76	только как	2	1
77	широте своего	1	1
78	что это	1	1
79	ни на	1	1
80	из понимания	1	1
81	из тех	1	1
82	именно на	1	1
83	в каждом	1	1
84	и что	2	1
85	связь между	1	1
86	на основании	1	1
87	кто не	1	1
88	выйдет из	1	1
89	ни были	1	1
90	далеко не	2	1
91	только то	1	1
92	в этих	1	1
93	что все	1	1
94	его в	1	1
95	литературы и	2	1
96	чуть ли	1	1
97	по широте	1	1
98	все же	1	1
99	в настоящее	1	1
100	в результате	2	1
101	в этой	1	1
102	этом не	1	1
103	настоящее время	1	1
104	она может	2	1
105	тем же	1	1
106	работы в	1	1
107	должен понимать	1	1
108	место в	1	1
109	как и	1	1
110	вопросом о	1	1
111	ли не	1	1
112	и по	1	1
113	и только	3	1
114	и связывается	1	1
115	всяком случае	1	1
116	для этого	1	1
117	опирающаяся на	1	1
118	никогда не	1	1
119	еще не	2	1
