N	3gram	Berdyaev_O	Russkaja
1	друг с другом	1	14
2	в том что	1	7
3	во всяком случае	1	6
4	для того чтобы	3	6
5	в том случае	1	4
6	не может быть	2	4
7	на то что	1	4
8	и то что	1	3
9	том случае если	1	3
10	и не может	1	3
11	и в том	1	2
12	о том что	1	2
13	это потому что	1	2
14	ни у кого	2	1
15	в самом деле	1	1
16	ли может быть	1	1
17	а с ним	1	1
18	только вопрос о	1	1
19	может быть назван	1	1
20	русского человека в	2	1
21	смысле этого слова	1	1
22	он еще не	1	1
23	самим собой в	1	1
24	что же это	2	1
25	и на нем	1	1
26	и прежде всего	1	1
27	от того что	1	1
28	даже и в	1	1
29	прежде всего в	1	1
30	к победе над	1	1
31	в его жизни	1	1
32	заключает в себе	1	1
33	ее в этом	1	1
34	и вопрос о	1	1
35	в совершенно ином	1	1
36	и все же	1	1
37	в нем все	1	1
38	в другом месте	1	1
39	в этом отношении	1	1
40	в силе и	1	1
41	и судьбу ее	1	1
42	никогда не было	2	1
43	отношение человека к	1	1
44	ко всему этому	1	1
45	и в этом	2	1
46	друг к другу	1	1
