N	3gram	Medvedev_F	Problemy
1	то же время	13	26
2	в то же	13	26
3	с точки зрения	17	25
4	по отношению к	4	18
5	и т п	11	18
6	в этом смысле	3	16
7	на самом деле	7	15
8	не может быть	11	14
9	в большинстве случаев	5	12
10	но в то	3	11
11	в конце концов	2	11
12	в пределах одного	1	11
13	до сих пор	7	10
14	в отношении к	1	10
15	в самом деле	5	9
16	с другой стороны	4	9
17	с самого начала	2	9
18	во всяком случае	6	9
19	в том что	3	8
20	в его целом	8	8
21	и не может	5	8
22	сама по себе	2	7
23	и в то	4	7
24	как раз и	4	7
25	бы то ни	4	7
26	к нему и	1	7
27	и т д	11	7
28	и в этом	6	7
29	же время не	2	6
30	между тем как	1	6
31	в отличие от	2	6
32	не входит в	1	6
33	то ни было	1	6
34	как и все	2	6
35	хотя бы и	1	5
36	сам по себе	2	5
37	дело идет о	3	5
38	в зависимости от	4	5
39	в высшей степени	4	5
40	по крайней мере	1	5
41	а не как	1	5
42	но все же	2	5
43	вполне понятно что	1	4
44	и не в	2	4
45	к тому чтобы	2	4
46	и наконец в	2	4
47	тем не менее	2	4
48	сами по себе	4	4
49	так и в	6	4
50	более или менее	7	4
51	смысле этого слова	4	4
52	и прежде всего	2	4
53	как если бы	2	4
54	то что было	1	4
55	может быть даже	1	4
56	как и в	1	4
57	в этом отношении	7	4
58	в сущности не	1	4
59	что в нем	2	4
60	а вовсе не	2	4
61	может быть и	4	4
62	все то что	1	3
63	в той же	2	3
64	к одному знаменателю	1	3
65	но при этом	1	3
66	в настоящее время	11	3
67	то же что	1	3
68	романа в его	1	3
69	в данном случае	2	3
70	и в других	1	3
71	не только не	2	3
72	в точке пересечения	1	3
73	выходит за пределы	1	3
74	в самом предмете	2	3
75	что он есть	1	3
76	все без исключения	1	3
77	в том и	1	3
78	большей или меньшей	1	3
79	как мы знаем	2	3
80	на этот вопрос	1	3
81	в большей или	1	3
82	все же не	1	3
83	в узком смысле	1	3
84	резко отличается от	1	3
85	оно должно быть	1	3
86	как мы видели	5	3
87	или меньшей степени	1	3
88	в этом случае	1	3
89	как мы увидим	3	3
90	тем что он	1	3
91	т е в	2	3
92	и до конца	3	3
93	мы увидим что	1	3
94	нам кажется что	1	3
95	в каждом своем	1	2
96	что он не	1	2
97	но все эти	2	2
98	что же это	1	2
99	и в этих	1	2
100	то что он	1	2
101	как бы ни	3	2
102	в нем как	2	2
103	не была бы	1	2
104	т е все	1	2
105	может войти в	2	2
106	для того чтобы	3	2
107	точки зрения его	1	2
108	в свою очередь	6	2
109	как и всякое	1	2
110	и всякое иное	2	2
111	но тем не	1	2
112	друг от друга	2	2
113	он есть а	1	2
114	как бы не	1	2
115	рядом с этим	1	2
116	такой же степени	1	2
117	в такой же	1	2
118	для него нет	1	2
119	вместе с тем	5	2
120	между этими двумя	2	2
121	в том или	1	2
122	о мире а	1	2
123	может быть более	1	2
124	до настоящего времени	3	2
125	не укладывающиеся в	1	2
126	но в этом	2	2
127	по себе но	1	2
128	идет лишь о	1	2
129	мы увидим дальше	1	2
130	к тому что	3	2
131	только то что	1	2
132	в другом направлении	1	2
133	и во всяком	1	2
134	а прежде всего	1	2
135	т п все	1	2
136	идет не об	1	2
137	и входит в	1	2
138	раз и навсегда	2	2
139	прежде всего как	1	2
140	вовсе не как	1	2
141	сводится к тому	2	2
142	же степени как	1	2
143	он должен быть	1	2
144	не столько в	1	2
145	быть более или	1	2
146	бы ни были	2	2
147	в этом рассказе	1	2
148	этой точки зрения	1	2
149	что же касается	1	2
150	в целом ряде	2	2
151	мира в его	1	2
152	как один из	2	2
153	в нем и	2	2
154	в художественном творчестве	1	2
155	все эти определения	2	2
156	в значительной степени	3	2
157	в лучшем случае	3	2
158	в структуре произведения	1	2
159	что он в	1	2
160	дело идет лишь	1	2
161	во всей его	1	2
162	еще далеко не	1	2
163	и в том	1	2
164	же как и	1	2
165	и не входит	1	2
166	с начала и	2	2
167	в этом последнем	1	2
168	что и в	2	2
169	прежде всего в	5	2
170	ни в чем	1	2
171	уже не как	1	2
172	начала и до	2	2
173	настолько велико что	1	1
174	так же как	1	1
175	реагировать на него	2	1
176	так сказать в	2	1
177	самом деле оно	1	1
178	как она есть	1	1
179	в конкретном и	1	1
180	одной стороны и	4	1
181	каждого из них	1	1
182	несмотря на их	1	1
183	и как бы	1	1
184	и пр каждый	1	1
185	происходит лишь перемещение	1	1
186	точек зрения не	1	1
187	ни на минуту	1	1
188	в одном месте	1	1
189	так и для	1	1
190	отчетливо и резко	1	1
191	правда как мы	1	1
192	художественной структуры как	2	1
193	становится как бы	1	1
194	не приводит в	1	1
195	прежде всего чисто	1	1
196	по себе а	2	1
197	но вовсе не	1	1
198	различны в зависимости	1	1
199	есть еще одна	1	1
200	до известной степени	3	1
201	слова слово у	1	1
202	этом смысле можно	1	1
203	на другого человека	1	1
204	в известной степени	1	1
205	и нисколько не	1	1
206	же это за	1	1
207	или менее глубокой	1	1
208	какого бы то	1	1
209	от различных художественных	1	1
210	лишь как момент	1	1
211	тем путем что	2	1
212	в том числе	1	1
213	более того она	1	1
214	еще одна очень	1	1
215	по сравнению с	1	1
216	мы здесь не	1	1
217	же что и	1	1
218	была бы совершенно	1	1
219	его участие в	1	1
220	и в характере	2	1
221	если же мы	1	1
222	самом деле в	1	1
223	если же они	1	1
224	может показаться что	1	1
225	в собственном смысле	1	1
226	могут быть поняты	1	1
227	произведение должно было	1	1
228	большое значение в	1	1
229	не то чем	1	1
230	часть нашей работы	1	1
231	в процессе перехода	1	1
232	настоящее время начинает	1	1
233	войти в художественную	1	1
234	и во всех	1	1
235	всех без исключения	1	1
236	в социальной действительности	1	1
237	другой стороны со	1	1
238	в своей статье	5	1
239	настоящая глава посвящена	1	1
240	самый художественный замысел	1	1
241	не в том	3	1
242	во что бы	3	1
243	прежде всего необходимо	1	1
244	она не может	1	1
245	обрабатывается именно как	1	1
246	основные линии его	1	1
247	в строгом смысле	2	1
248	но и с	2	1
249	было дано в	1	1
250	зависимости от различных	1	1
251	прежде всего возникает	1	1
252	но даже и	2	1
253	то чем является	1	1
254	элементы речи и	1	1
255	в таком случае	1	1
256	свой страх и	2	1
257	не только с	1	1
258	слово т е	1	1
259	бы совершенно иной	1	1
260	все новые и	1	1
261	определяющего влияния на	1	1
262	так или иначе	1	1
263	говорит он основной	1	1
264	если бы оно	2	1
265	на первом плане	1	1
266	все более и	3	1
267	создается впечатление что	1	1
268	бы оно было	2	1
269	точки зрения своей	1	1
270	даже и на	1	1
271	tertium non datur	1	1
272	не чем иным	1	1
273	иметь в виду	1	1
274	тем фоном на	1	1
275	в этом пункте	4	1
276	это конечно не	1	1
277	возможно лишь в	1	1
278	степени как и	1	1
279	и не о	1	1
280	тем что оно	2	1
281	вместо того чтобы	1	1
282	из него как	1	1
283	том числе и	1	1
284	увидим дальше что	1	1
285	что в самом	1	1
286	иной чем в	1	1
287	тех или иных	1	1
288	к конкретному материалу	2	1
289	и отчасти с	1	1
290	их а не	1	1
291	в данную эпоху	1	1
292	быть и речи	1	1
293	контекст в котором	1	1
294	раз и не	1	1
295	точки зрения ее	1	1
