N	2gram	Tiupa_Narr	Literetu
1	а не	27	50
2	и не	34	47
3	не только	50	46
4	и в	22	44
5	может быть	24	43
6	при этом	31	41
7	но и	39	41
8	тогда как	23	40
9	в том	20	39
10	в этом	23	38
11	своего рода	17	37
12	хх века	1	32
13	том что	15	32
14	такого рода	17	30
15	в частности	23	30
16	то что	14	29
17	в мире	8	28
18	в качестве	27	27
19	то же	12	26
20	в году	2	26
21	состоит в	19	26
22	как и	15	23
23	в то	9	23
24	себя в	4	22
25	не в	12	22
26	того что	7	22
27	так и	12	22
28	не может	16	22
29	же время	7	21
30	и т.п	11	20
31	в себе	14	20
32	я в	7	19
33	прежде всего	7	19
34	как бы	11	18
35	с другой	6	17
36	точки зрения	8	17
37	то есть	15	17
38	в его	12	17
39	в жизни	9	16
40	сознания в	3	16
41	в этой	8	16
42	не менее	6	15
43	я не	5	15
44	в русской	3	15
45	только в	23	15
46	со стороны	14	15
47	тем самым	9	15
48	в целом	5	15
49	и даже	4	14
50	по отношению	5	14
51	однако в	4	14
52	что он	7	14
53	в рамках	6	14
54	коммуникативного события	9	14
55	уже не	11	13
56	е годы	2	13
57	в своем	7	13
58	с одной	5	13
59	как это	7	13
60	в хх	1	13
61	в тексте	17	13
62	[] в	1	13
63	но не	7	13
64	и его	12	13
65	в своей	8	12
66	о том	5	12
67	в данном	17	12
68	одной стороны	5	12
69	художественного письма	4	12
70	к себе	11	12
71	одним из	2	12
72	всего лишь	8	12
73	хх веке	1	12
74	еще не	6	12
75	отношению к	5	12
76	а также	11	12
77	в е	3	12
78	не столько	2	11
79	в другом	5	11
80	никогда не	8	11
81	в конечном	6	11
82	коммуникативное событие	6	11
83	и сам	4	11
84	столь же	6	11
85	еще в	4	11
86	вместе с	3	11
87	как в	9	11
88	в основе	1	11
89	в отличие	6	11
90	с его	6	11
91	данном случае	12	11
92	это не	6	11
93	отличие от	6	11
94	или иначе	2	11
95	а в	19	11
96	даже в	1	10
97	в принципе	6	10
98	по мысли	8	10
99	конечном счете	4	10
100	в противовес	3	10
101	из них	4	10
102	в ее	4	10
103	не случайно	2	10
104	что в	6	10
105	и на	5	10
106	для себя	3	10
107	так или	1	10
108	жизни в	7	10
109	потому что	7	10
110	неклассической художественности	2	10
111	этом отношении	5	10
112	жизни и	7	10
113	отнюдь не	6	10
114	в области	4	10
115	с этой	3	9
116	мыслится как	2	9
117	к тому	13	9
118	представляет собой	21	9
119	связи с	3	9
120	один из	8	9
121	уединенное сознание	1	9
122	что я	4	9
123	одно из	2	9
124	в начале	4	9
125	и т.д	7	9
126	лишь в	3	9
127	же в	6	9
128	эстетический субъект	1	8
129	быть может	1	8
130	в своих	2	8
131	тем что	1	8
132	все же	10	8
133	одна из	5	8
134	того же	2	8
135	едва ли	5	8
136	ли не	3	8
137	с точки	2	8
138	как раз	9	8
139	на себя	5	8
140	что не	2	8
141	в конце	4	8
142	о себе	2	8
143	а именно	2	8
144	собственного я	2	8
145	слова и	1	8
146	присутствия в	3	8
147	соответствии с	7	8
148	той же	2	8
149	в глазах	7	8
150	но в	10	8
151	уже в	1	8
152	для него	8	8
153	xix века	1	8
154	и как	4	8
155	и я	1	8
156	не говоря	1	8
157	субъекта и	2	8
158	в искусстве	1	8
159	вплоть до	5	8
160	мира в	4	8
161	в самом	8	7
162	русской литературе	1	7
163	в одном	5	7
164	другой стороны	2	7
165	для всех	1	7
166	именно в	5	7
167	ведет к	3	7
168	на фоне	2	7
169	для этого	1	7
170	в противоположность	1	7
171	как правило	8	7
172	по преимуществу	1	7
173	не как	1	7
174	тому же	9	7
175	в случае	4	7
176	он не	8	7
177	и тем	9	7
178	и с	3	7
179	в нем	9	7
180	из того	1	7
181	и адресата	2	7
182	по своей	3	7
183	наконец в	1	7
184	в сфере	2	7
185	до конца	2	7
186	друг друга	2	7
187	и для	4	7
