N	2gram	Medvedev_V	Istorich
1	и в	2	181
2	в этом	1	81
3	так как	1	75
4	и не	1	67
5	то же	1	56
6	в том	2	53
7	том что	2	53
8	потому что	1	52
9	и его	1	43
10	только в	1	42
11	так в	1	31
12	но это	1	29
13	к этому	1	24
14	не будем	1	23
15	все это	1	23
16	в частности	1	23
17	в другом	1	21
18	совершенно ясно	1	21
19	по существу	1	17
20	и только	1	17
21	и то	1	15
22	в которых	1	15
23	в книге	3	13
24	хотя бы	1	12
25	в их	1	12
26	ясно что	1	11
27	я не	1	11
28	главным образом	1	11
29	стоит на	1	11
30	имеется в	1	11
31	далеко не	1	11
32	то чего	1	10
33	именно в	1	8
34	под влиянием	1	7
35	самом деле	1	7
36	в конце	2	7
37	а только	1	7
38	сводится к	1	6
39	к чему	1	6
40	даже не	1	6
41	для них	1	5
42	да и	1	5
43	другом месте	1	5
44	в самом	1	4
45	по своим	1	4
46	говорится в	1	4
47	тем более	1	4
48	это далеко	1	4
49	все время	1	4
50	время в	1	4
51	с большой	1	4
52	столь же	1	4
53	ни к	1	4
54	дело в	1	4
55	все дело	1	3
56	чего не	1	3
57	на одном	1	3
58	нет есть	1	3
59	как же	1	3
60	связанным с	1	3
61	все то	1	3
62	не играет	1	3
63	уже известно	1	3
64	сказать чтобы	1	2
65	одно и	1	2
66	они на	1	2
67	от других	1	2
68	роли не	1	2
69	за свою	1	2
70	здесь достаточно	1	2
71	один пример	1	2
72	же с	1	2
73	и стоит	1	2
74	материалов и	1	2
75	других и	1	2
76	более чем	1	2
77	на заре	1	2
78	этом и	1	2
79	чем к	1	2
80	степени уже	1	1
81	охотой и	1	1
82	в значительной	1	1
83	же все	1	1
84	речи и	1	1
85	а отсюда	1	1
86	поэтического творчества	1	1
87	теснейшим образом	1	1
88	ведь это	1	1
89	ничуть не	1	1
90	что имеется	1	1
91	не хотел	1	1
92	образом из	1	1
93	по поводу	1	1
94	гораздо более	1	1
95	значительной степени	1	1
96	есть ряд	1	1
97	бы уже	1	1
98	с головой	1	1
99	к созданию	1	1
100	связаны и	1	1
101	находится под	1	1
102	говоря о	1	1
