N	4gram	Trubetskoy	Marksizm
1	в то же время	10	15
2	бы то ни было	1	12
3	одного и того же	1	9
4	но в то же	1	9
5	и не может быть	1	5
6	в том числе и	1	3
7	отнюдь не может быть	1	2
8	сводится к тому что	1	2
9	несмотря на то что	1	2
10	тот или иной момент	1	1
11	то же время эти	1	1
12	друг с другом и	2	1
13	и в этом случае	1	1
14	от этого не меняется	1	1
15	и прежде всего в	1	1
16	в свою очередь является	1	1
17	до сих пор мы	1	1
18	котором она могла бы	1	1
19	дело в том что	1	1
20	указывает на то что	1	1
21	во всех этих случаях	1	1
22	ни к чему не	1	1
23	она может лишь в	1	1
24	связаны друг с другом	1	1
25	ведь в данном случае	1	1
26	только с точки зрения	1	1
27	друг с другом как	1	1
28	в тот или иной	1	1
29	и более или менее	1	1
30	на самом деле ничего	1	1
31	и с точки зрения	1	1
32	одну и ту же	1	1
33	в самом деле для	1	1
34	в данном частном вопросе	1	1
35	само собой разумеется что	1	1
