N	2gram	Tiupa_Anal	Marksizm
1	прямой речи	1	77
2	точки зрения	10	69
3	может быть	33	64
4	и в	30	63
5	и не	33	55
6	как бы	15	53
7	не может	26	47
8	с точки	6	46
9	и его	9	41
10	в этом	31	39
11	таким образом	5	38
12	в процессе	2	33
13	как мы	3	32
14	языка и	2	31
15	в пределах	11	31
16	лишь в	12	30
17	не только	30	29
18	речи в	3	29
19	то же	12	28
20	в нем	3	28
21	языка как	1	27
22	но и	29	27
23	связи с	2	25
24	речи и	2	25
25	самом деле	3	25
26	в самом	12	24
27	как и	23	24
28	прежде всего	8	24
29	только в	8	23
30	так и	16	23
31	и т.п	13	23
32	в том	36	22
33	то что	11	22
34	а не	25	22
35	при этом	20	20
36	так сказать	1	20
37	для него	5	20
38	не в	17	19
39	если бы	6	19
40	том что	21	19
41	в его	15	19
42	языка в	1	18
43	в ее	2	18
44	внутренней речи	9	18
45	и для	3	18
46	но в	11	18
47	вовсе не	4	18
48	все же	4	17
49	в сущности	10	17
50	по отношению	10	16
51	ни было	4	16
52	речевого общения	1	16
53	и как	6	16
54	в то	10	16
55	во всех	5	15
56	в связи	2	15
57	отнюдь не	22	15
58	что он	3	15
59	высказывания и	3	15
60	же время	7	15
61	отношению к	9	15
62	язык как	1	14
63	в данном	6	14
64	хотя бы	4	14
65	в контексте	5	14
66	в своей	7	13
67	так же	1	13
68	то ни	3	13
69	что в	7	13
70	и здесь	1	13
71	не является	3	13
72	того чтобы	3	13
73	было бы	4	13
74	ничего не	10	13
75	мы не	1	13
76	слова в	1	13
77	для того	4	12
78	того же	7	12
79	бы то	3	12
80	в результате	3	12
81	между тем	7	12
82	он не	4	12
83	в основе	6	12
84	а в	11	12
85	не столько	5	11
86	и того	5	11
87	к нему	4	11
88	мы уже	2	11
89	и что	2	11
90	и от	1	11
91	как система	6	11
92	слова как	1	11
93	до сих	1	11
94	и на	10	11
95	и все	5	11
96	как в	3	11
97	еще не	5	11
98	высказывание в	1	11
99	друг друга	1	11
100	так как	3	11
101	на самом	2	11
102	все эти	3	11
103	в ней	1	11
104	высказывания в	4	11
105	сих пор	1	11
106	без исключения	2	10
107	именно в	6	10
108	во всяком	1	10
109	с другой	7	10
110	сказать что	2	10
111	к этому	2	10
112	никогда не	4	10
113	в своем	2	10
114	его в	2	10
115	в таком	5	10
116	одна из	1	10
117	здесь мы	1	10
118	системе языка	1	10
119	совершенно не	2	10
120	в отличие	8	10
121	с его	3	10
122	здесь в	2	10
123	и потому	2	10
124	отличие от	8	10
125	бытия в	1	10
126	более того	4	10
127	быть и	1	9
128	к тому	12	9
129	одного и	2	9
130	только на	3	9
131	в нашем	3	9
132	в себе	17	9
133	лишь на	1	9
134	а как	4	9
135	что это	1	9
136	ни в	5	9
137	не имеет	1	9
138	и более	5	9
139	отношении к	1	9
140	это не	7	9
141	как если	1	9
142	одной из	2	9
143	и эта	1	9
144	внутренняя речь	1	9
145	же самое	3	9
146	не как	2	8
147	другой стороны	2	8
148	и даже	10	8
149	и с	2	8
150	на этой	2	8
151	в данной	1	8
152	что и	5	8
153	у него	5	8
154	не было	1	8
155	что не	3	8
156	тому что	2	8
157	не будет	3	8
158	за пределы	6	8
159	столь же	7	8
160	в отношении	2	8
161	сводится к	6	8
162	в каком	1	8
163	к другому	1	8
164	перед нами	1	8
165	в свою	1	8
166	этого слова	10	8
167	у нас	1	8
168	смысле этого	1	8
169	в их	8	8
170	и их	2	8
171	в науке	1	8
172	и т.д	4	8
173	и ее	1	8
174	или иной	8	8
175	на то	2	8
176	от него	2	7
177	следует что	2	7
178	в этих	3	7
179	социальной группы	1	7
180	в котором	5	7
181	и значение	1	7
182	и те	2	7
183	свою очередь	1	7
184	он сам	1	7
185	те же	3	7
186	нашей работы	1	7
187	как раз	5	7
188	в качестве	38	7
189	бы в	3	7
190	в этой	12	7
191	могут быть	12	7
192	оно может	3	7
193	же является	1	7
194	речи как	1	7
195	с ними	2	7
196	на основе	3	7
197	по себе	6	7
198	той же	4	7
199	о том	11	7
200	того что	5	7
201	в формах	1	7
202	в начале	3	7
203	далеко не	6	7
204	бы он	1	7
205	место в	3	7
206	настоящего времени	1	7
207	в той	8	6
208	науки о	2	6
209	является в	1	6
210	по мере	1	6
211	уже не	6	6
212	входит в	1	6
213	одной стороны	6	6
214	в другом	4	6
215	в различных	1	6
216	она может	3	6
217	с одной	7	6
218	с другими	4	6
219	между ними	1	6
220	не есть	8	6
221	из одного	1	6
222	всяком случае	1	6
223	этот вопрос	1	6
224	речевой акт	1	6
225	с ее	2	6
226	то есть	19	6
227	должна быть	1	6
228	смысле слова	1	6
229	говорящего и	1	6
230	от своего	3	6
231	зависимости от	1	6
232	не имеют	1	6
233	что же	3	6
234	тем же	1	6
235	для всего	1	6
236	тот же	2	6
237	этот процесс	1	6
238	он и	3	6
239	все это	2	6
240	сознания и	1	6
241	слово в	1	6
242	в какой	3	6
243	вопрос о	2	6
244	мы должны	2	6
245	из этих	2	6
246	же в	1	6
247	не к	3	6
248	еще более	1	5
249	о чем	3	5
250	самом же	1	5
251	в одном	3	5
252	в виду	2	5
253	в первом	3	5
254	значения в	1	5
255	не менее	5	5
256	социальной ситуации	1	5
257	на границе	1	5
258	мы ни	1	5
259	как на	1	5
260	себя в	8	5
261	в лингвистике	1	5
262	по преимуществу	4	5
263	должно быть	2	5
264	знаковом материале	1	5
265	все время	1	5
266	в двух	4	5
267	жизни в	1	5
268	той или	8	5
269	но как	1	5
270	в целях	1	5
271	и тем	4	5
272	и является	4	5
273	в конце	4	5
274	язык есть	2	5
275	внутренний мир	1	5
276	то в	2	5
277	для себя	3	5
278	и внешнего	2	5
279	оно ни	1	5
280	вместе с	6	5
281	да и	2	5
282	так называемая	1	5
283	слова о	2	5
284	ее в	2	5
285	хотя и	4	5
286	языка а	1	5
287	из него	1	5
288	точку зрения	1	5
289	в душе	1	5
290	этом случае	4	5
291	этом отношении	5	5
292	таком случае	5	5
293	целого высказывания	1	5
294	или в	2	5
295	но не	13	5
296	по смыслу	1	5
297	тем более	2	5
298	же деле	1	5
299	одни и	2	5
300	ведь если	1	5
301	в особенности	1	5
302	и к	5	4
303	мы постараемся	1	4
304	же и	1	4
305	только что	1	4
306	оно становится	1	4
307	какой бы	2	4
308	в рамки	1	4
309	в них	1	4
310	связь с	1	4
311	но все	1	4
312	тем что	2	4
313	он был	3	4
314	и иных	1	4
315	этой связи	2	4
316	следующим образом	1	4
317	как от	2	4
