N	2gram	Bakhtin_Pr	OGranits
1	и в	59	13
2	и его	21	12
3	прежде всего	17	9
4	может быть	38	8
5	и не	66	8
6	не может	31	8
7	и пр	3	7
8	в его	44	7
9	и т.п	8	7
10	и их	7	7
11	точки зрения	36	7
12	таким образом	22	6
13	не только	26	6
14	мы должны	6	6
15	только в	15	6
16	то что	21	6
17	как бы	40	6
18	в музыке	4	5
19	хотя бы	5	5
20	с точки	21	5
21	и т.д	2	5
22	художественного произведения	1	5
23	в процессе	4	5
24	но ведь	4	5
25	все же	9	5
26	и эта	3	5
27	и наконец	5	5
28	в каждом	11	4
29	мы можем	3	4
30	не является	2	4
31	человеческого голоса	1	4
32	только и	1	4
33	вполне понятно	1	4
34	мы не	3	4
35	то же	15	4
36	было бы	10	4
37	все это	12	4
38	в сознании	4	4
39	лишь в	4	4
40	материала в	1	4
41	в своей	17	4
42	но в	7	4
43	с этим	2	3
44	что в	14	3
45	к одному	1	3
46	понятно что	1	3
47	и то	1	3
48	со всей	2	3
49	т.п и	1	3
50	ни один	5	3
51	в искусстве	2	3
52	и уже	3	3
53	так и	13	3
54	не как	15	3
55	говорить о	3	3
56	одно и	1	3
57	в одном	14	3
58	не столько	3	3
59	за пределы	10	3
60	отношению к	17	3
61	по отношению	17	3
62	превращается в	4	3
63	слово в	3	3
64	в пределах	13	3
65	в их	5	3
66	в ее	4	3
67	здесь мы	3	3
68	самом деле	9	3
69	не в	10	3
70	в которой	6	3
71	что же	5	3
72	и все	4	3
73	общего с	1	3
74	но для	2	3
75	в себе	9	3
76	так как	11	3
77	да и	3	3
78	но и	22	3
79	и для	5	3
80	как и	21	3
81	ничего общего	1	3
82	точку зрения	9	3
83	никогда не	19	3
84	в области	3	2
85	своего рода	1	2
86	в самом	19	2
87	во всем	1	2
88	и к	5	2
89	что они	3	2
90	того или	1	2
91	каждый элемент	1	2
92	может иметь	1	2
93	и отчасти	1	2
94	мы видим	5	2
95	в данном	3	2
96	мы уже	4	2
97	и наиболее	1	2
98	а как	8	2
99	в своих	5	2
100	в этом	40	2
101	этой проблемы	1	2
102	случае и	1	2
103	данном случае	3	2
104	героя и	11	2
105	на язык	1	2
106	с одной	1	2
107	в произведении	4	2
108	входит в	11	2
109	для себя	5	2
110	наконец в	2	2
111	и при	1	2
112	и должно	1	2
113	который мы	2	2
114	роль в	2	2
115	в другом	1	2
116	композиции в	1	2
117	мы считаем	1	2
118	при этом	5	2
119	несмотря на	7	2
120	между тем	5	2
121	в материал	1	2
122	в полном	2	2
123	для него	23	2
124	только его	1	2
125	в этот	2	2
126	и тем	2	2
127	в руках	1	2
128	с помощью	1	2
129	смысле слова	1	2
130	те же	3	2
131	ее в	2	2
132	не исчерпывается	3	2
133	в том	17	2
134	с этой	1	2
135	что эта	1	2
136	громадную роль	1	2
137	каждое слово	1	2
138	и является	1	2
139	в тех	1	2
140	в отношении	3	2
141	чем же	2	2
142	конечно в	2	2
143	вслед за	1	2
144	ни одно	1	2
145	другой стороны	3	2
146	сознания и	9	2
147	во времени	4	2
148	не на	6	2
149	от этого	2	2
150	так же	10	2
151	думать что	1	2
152	в них	5	2
153	самого начала	4	2
154	а в	9	2
155	если бы	12	2
156	мы понимаем	1	2
157	от всех	1	2
158	о языке	1	2
159	от своего	1	2
160	в книге	4	2
161	на две	1	2
162	еще в	1	2
163	в ней	8	2
164	с самого	3	2
165	нужно отметить	1	2
166	тем что	5	2
167	она является	2	2
168	и др	1	2
169	могут быть	5	2
170	вовсе не	13	2
171	в действительности	1	2
172	между собою	1	2
173	может в	1	2
174	его на	2	2
175	в зависимости	5	2
176	во всей	2	2
177	с ними	3	2
178	материал в	1	2
179	говорить об	2	2
180	может стать	1	2
181	все эти	12	2
182	с другой	3	2
183	как в	10	2
184	и внутренняя	1	2
185	не менее	3	2
186	только ее	1	2
187	явлений и	1	2
188	не имеет	2	2
189	с историей	1	2
190	там где	12	2
191	к предмету	1	2
192	стилистических особенностей	1	2
193	в структуре	1	2
194	том что	15	2
195	в нем	38	2
196	уже в	9	2
197	и следовательно	7	2
198	или иного	1	2
199	зависимости от	5	2
200	является уже	1	2
201	а не	30	2
202	в чем	2	2
203	в целом	8	2
204	и ее	5	2
205	тот же	4	2
206	подойти к	1	2
207	к тому	1	2
208	есть не	3	2
209	кажется что	4	2
210	слова и	2	2
211	бы в	7	2
212	более того	5	2
213	в дальнейшем	2	1
214	этого термина	1	1
215	в особенности	2	1
216	понять и	3	1
217	но у	5	1
218	его к	4	1
219	самое слово	2	1
220	в некоторых	1	1
221	всего в	2	1
222	в категории	1	1
223	не дано	1	1
224	себе в	1	1
225	как к	3	1
226	включенные в	1	1
227	в каждой	3	1
228	к которому	1	1
229	переходим к	2	1
230	литературы в	1	1
231	который является	1	1
232	как объективный	1	1
233	оценками и	1	1
234	произведения чтобы	1	1
235	особенности и	1	1
236	уже сам	1	1
237	эти возможности	1	1
238	то он	3	1
239	выражение в	6	1
240	существующих в	1	1
241	ее и	2	1
242	зрения и	2	1
243	находит свое	2	1
244	еще одну	1	1
245	это конечно	1	1
246	произведении как	1	1
247	только к	1	1
248	и других	8	1
249	и он	3	1
250	является для	2	1
251	мышления в	1	1
252	один из	4	1
253	идеологической жизни	2	1
254	бы стремление	1	1
255	можно говорить	2	1
256	перейти в	1	1
257	и здесь	5	1
258	бы несколько	1	1
259	художественного образа	1	1
260	его творческого	1	1
261	образом мы	1	1
262	то это	1	1
263	выходит за	2	1
264	она и	3	1
265	отличие от	3	1
266	вопрос о	4	1
267	пределы только	1	1
268	как же	5	1
269	что мы	2	1
270	же мотив	1	1
271	на этом	1	1
272	к слову	1	1
273	они не	5	1
274	ведь именно	1	1
275	контекста и	1	1
276	которую мы	1	1
277	ведь в	1	1
278	автору и	1	1
279	мышкин и	1	1
280	не имеют	1	1
281	только что	3	1
282	в последнее	1	1
283	о слове	2	1
284	которая как	1	1
285	стиля но	1	1
286	или иная	1	1
287	эта особенность	4	1
288	даже и	2	1
289	сознания с	3	1
290	определения его	1	1
291	ее на	1	1
292	которые не	1	1
293	эта полнота	1	1
294	должно быть	4	1
295	того как	1	1
296	одну особенность	1	1
297	своей статье	1	1
298	отсюда и	2	1
299	которой он	1	1
300	своего времени	3	1
301	не могу	1	1
302	и вот	4	1
303	и элементов	1	1
304	на очень	1	1
305	на том	1	1
306	организован как	1	1
307	другими словами	2	1
308	такого рода	1	1
309	но при	1	1
310	высказывания и	1	1
311	эти слова	1	1
312	более или	1	1
313	же является	1	1
314	теперь мы	1	1
315	здесь она	1	1
316	углубляться в	1	1
317	потому что	20	1
318	в значительной	1	1
319	отношения не	1	1
320	на первом	2	1
321	должны быть	1	1
322	явления но	1	1
323	он всегда	1	1
324	от первого	2	1
325	но даже	1	1
326	того чтобы	5	1
327	и если	1	1
328	бы по	1	1
329	учитывает и	1	1
330	же как	5	1
331	или иных	1	1
332	автора и	7	1
333	можно лишь	1	1
334	между отдельными	2	1
335	и более	2	1
336	воплощенную в	1	1
337	мы имеем	2	1
338	поэтики не	1	1
339	и у	6	1
340	ту же	1	1
341	с миром	2	1
342	в человеческом	1	1
343	и речи	1	1
344	это и	10	1
345	уже у	1	1
346	для того	3	1
347	совсем не	1	1
348	тому как	5	1
349	тому что	3	1
350	пределах того	1	1
351	все то	5	1
352	с одним	2	1
353	есть его	1	1
354	что мир	1	1
355	быть не	1	1
356	его за	1	1
357	все уголки	1	1
358	это заставляет	1	1
359	которых он	1	1
360	и голос	2	1
361	он и	9	1
362	голоса его	1	1
363	интонации то	1	1
364	вне этого	1	1
365	путем сопоставления	1	1
366	что индивидуально	1	1
367	его и	4	1
368	в своем	12	1
369	и достоевский	3	1
370	элементы стиля	1	1
371	или же	2	1
372	к истории	1	1
373	и тогда	1	1
374	наиболее важное	1	1
375	наблюдения над	1	1
376	осмысления и	1	1
377	каждом слове	2	1
378	этом отношении	7	1
379	тем как	4	1
380	необходимо учитывать	1	1
381	должны перейти	1	1
382	и развиваются	1	1
383	собственными словами	1	1
384	остается только	1	1
385	в вечности	1	1
386	мысли и	5	1
387	таких систем	1	1
388	тем не	1	1
389	пока существует	1	1
390	ведь только	2	1
391	сознании и	3	1
392	этапы развития	1	1
393	стр и	1	1
394	но тем	1	1
395	и во-вторых	1	1
396	в напряженном	2	1
397	в другой	4	1
398	как это	2	1
399	в художественной	4	1
400	целом произведения	1	1
401	и творческого	1	1
402	является лишь	5	1
403	вследствие этого	2	1
404	в свои	2	1
405	свою новую	1	1
406	что такое	1	1
407	воплощенной в	2	1
408	ценностей в	1	1
409	только на	1	1
410	выйти за	3	1
411	и через	2	1
412	общения с	1	1
413	диалектического становления	2	1
414	в предшествующей	3	1
415	из того	1	1
416	об этом	4	1
417	вступает в	5	1
418	нужно сказать	2	1
419	переходит в	2	1
420	не приходится	1	1
421	в науке	2	1
422	в нескольких	1	1
423	и что	2	1
424	на самом	5	1
425	для них	3	1
426	вовлекаются в	1	1
427	его социальной	1	1
428	предисловии к	2	1
429	можно было	5	1
430	в этой	5	1
431	для данного	1	1
432	людей и	2	1
433	это слово	1	1
434	сложность и	1	1
435	борьба с	2	1
436	иметь в	1	1
437	в начале	3	1
438	ни одна	2	1
439	во все	5	1
440	которого построен	1	1
441	в виду	2	1
442	чем его	1	1
443	к другому	2	1
444	и до	5	1
445	истории и	1	1
446	нет никакого	1	1
447	дан как	1	1
448	с их	9	1
449	и есть	6	1
450	конечно не	7	1
451	подобно тому	5	1
452	и вполне	2	1
453	но это	7	1
454	только то	3	1
455	позиции в	1	1
456	по себе	13	1
457	в совершенно	2	1
458	этот вопрос	3	1
459	функции в	1	1
460	в истории	3	1
461	несколько сложнее	1	1
462	все равно	3	1
463	по своей	1	1
464	же время	10	1
465	поэтому не	2	1
466	лишь как	6	1
467	лежит в	3	1
468	его конечно	1	1
469	его в	6	1
470	единстве этого	1	1
471	которую он	2	1
472	со всеми	1	1
473	возникает проблема	1	1
474	человека и	2	1
475	отметить что	2	1
476	на всю	1	1
477	или как	5	1
478	каждый из	1	1
479	а на	1	1
480	быть это	1	1
481	работы и	1	1
482	нуждаются в	1	1
483	совершенно справедливо	2	1
484	а лишь	3	1
485	и последнее	1	1
486	существует только	2	1
487	стиль и	1	1
488	мыслью и	1	1
489	почти никогда	2	1
490	не было	5	1
491	играет громадную	1	1
492	с интонациями	1	1
493	связи с	1	1
494	ко всем	2	1
495	в борьбе	1	1
496	если не	2	1
497	же не	1	1
498	этой точки	3	1
499	этого кругозора	3	1
500	что касается	1	1
501	о возможности	1	1
502	и композиционных	1	1
503	чтобы данная	1	1
504	соприкасается с	1	1
505	и несколько	1	1
506	как свой	2	1
507	не знает	5	1
508	является таким	1	1
509	или в	2	1
510	статье о	1	1
511	в чистую	1	1
512	в основе	6	1
513	элемент этого	1	1
514	для создания	3	1
515	исторической поэтики	1	1
516	и там	1	1
517	же самое	1	1
518	и глубоко	1	1
519	как их	3	1
520	среди них	3	1
521	и всякое	1	1
522	и над	2	1
523	создает еще	1	1
524	равно как	1	1
525	следовательно в	1	1
526	сознания не	3	1
527	творческой работы	1	1
528	вся эта	1	1
529	духа но	1	1
530	вопрос в	1	1
531	в отличие	3	1
532	про себя	3	1
533	их в	8	1
534	звучит уже	2	1
535	идей или	1	1
536	и вне	2	1
537	нет и	4	1
538	и превращается	1	1
539	заключается в	3	1
540	одним из	11	1
541	элементов в	1	1
542	не совсем	2	1
543	отношение к	4	1
544	жизнь как	1	1
545	один элемент	2	1
546	преломления в	1	1
547	между людьми	1	1
548	впервые в	1	1
549	раз навсегда	1	1
550	весь этот	2	1
551	отношений и	2	1
552	каждом отдельном	1	1
553	сказать что	9	1
554	на себя	3	1
555	менее всего	4	1
556	к следующему	1	1
557	и никогда	1	1
558	возможно только	1	1
559	привела его	1	1
560	та или	1	1
561	него не	4	1
562	или менее	1	1
563	найти в	2	1
564	она ни	1	1
565	превращаются в	1	1
566	он все	2	1
567	уже на	1	1
568	сознания но	3	1
569	таким объектом	1	1
570	же самый	1	1
571	него все	1	1
572	он говорит	3	1
573	такой же	1	1
574	выражения в	1	1
575	в конце	9	1
576	произведения и	2	1
577	произведения не	1	1
578	одной из	1	1
579	например в	5	1
580	совершенно иных	1	1
581	развивается не	1	1
582	к ослаблению	1	1
583	в контексте	2	1
584	в образе	4	1
585	форме в	1	1
586	в живом	1	1
587	познания в	1	1
588	к более	2	1
589	к этому	6	1
590	всеми ее	1	1
591	устойчивое и	1	1
592	и тонкие	1	1
593	этом мы	1	1
594	в одной	9	1
595	эта способность	1	1
596	и как	10	1
597	лишь с	1	1
598	уж конечно	1	1
599	до конца	11	1
600	эти три	2	1
601	все время	4	1
602	что он	16	1
603	в предисловии	1	1
604	времени в	2	1
605	что она	6	1
606	себя как	5	1
607	форм их	1	1
608	или даже	2	1
609	не существует	1	1
610	далеко не	3	1
611	привела к	1	1
612	и о	5	1
613	и социальная	1	1
614	бы быть	3	1
615	что без	1	1
616	является не	3	1
617	в мире	10	1
618	на который	1	1
619	вместе с	2	1
620	которого является	1	1
621	для понимания	5	1
622	же точно	1	1
623	который в	2	1
624	понимания и	2	1
625	одна из	4	1
626	на эту	1	1
627	объективный факт	1	1
628	этого слова	3	1
629	другом месте	1	1
630	в которых	2	1
631	но не	13	1
632	в замысел	3	1
633	где она	2	1
634	так в	1	1
635	своего идеологического	1	1
636	неизбежно превращается	1	1
637	но если	1	1
638	здесь и	2	1
639	одно из	2	1
640	с его	14	1
641	же автора	1	1
642	в изолированном	1	1
643	на одном	1	1
