N	2gram	Savitsky_E	BTomashe
1	у нас	1	3
2	лучше и	1	2
3	в ней	4	2
4	можно было	3	2
5	больше чем	1	2
6	и не	14	2
7	следовало бы	2	1
8	вопрос о	4	1
9	говорить о	1	1
10	творчества и	1	1
11	и о	1	1
12	не только	18	1
13	пожалуй и	2	1
14	всего в	2	1
15	таким образом	2	1
16	не было	1	1
17	прежде всего	9	1
18	бы только	1	1
19	и в	37	1
20	так и	10	1
21	можно в	2	1
22	в своей	8	1
23	во всяком	3	1
24	и потому	5	1
25	и во	2	1
26	также что	1	1
27	по нашему	3	1
28	за пределы	1	1
29	с другой	7	1
30	об этом	1	1
31	как будто	2	1
32	не о	1	1
33	другой стороны	2	1
34	всяком случае	3	1
35	кроме того	1	1
36	было бы	8	1
37	и ее	1	1
38	чем на	2	1
39	одной из	5	1
40	в значительной	2	1
41	свести к	1	1
42	в пределах	25	1
43	в данном	3	1
44	то нельзя	2	1
45	должна быть	2	1
46	в области	11	1
47	далеко не	2	1
48	тем более	4	1
49	говорить не	1	1
50	самом понятии	1	1
51	то как	1	1
52	и более	2	1
53	что все	2	1
54	нашему мнению	2	1
55	значительной степени	1	1
56	а не	2	1
57	отнюдь не	9	1
58	сейчас в	1	1
59	и на	6	1
60	выходит за	1	1
61	между ними	2	1
62	к ней	4	1
63	все же	1	1
64	что в	21	1
65	меньше чем	2	1
