N	2gram	Nazirov_Tv	VrazhdaK
1	в году	22	18
2	у тургенева	2	11
3	в бесах	8	10
4	не только	16	9
5	достоевского с	12	9
6	и достоевского	2	9
7	в этом	11	8
8	достоевский и	4	8
9	и в	40	8
10	и что	2	8
11	достоевский в	7	8
12	что в	17	7
13	достоевского в	19	7
14	достоевского и	5	7
15	и все	6	7
16	но и	10	7
17	на тургенева	1	7
18	то что	9	7
19	года в	7	7
20	о нем	2	6
21	как и	16	6
22	и даже	8	6
23	и с	9	6
24	в романе	24	6
25	все же	9	6
26	в котором	8	6
27	в начале	2	6
28	в нем	4	6
29	но в	11	6
30	то же	19	5
31	у него	11	5
32	г а	3	5
33	в россии	5	5
34	бедных людей	1	5
35	и не	12	5
36	между тем	2	5
37	об этом	4	5
38	в письме	1	5
39	не было	3	5
40	же время	18	5
41	в то	23	5
42	повести тургенева	1	4
43	тургенев в	1	4
44	это не	9	4
45	при этом	14	4
46	с ним	4	4
47	все это	14	4
48	х годов	3	4
49	в виду	3	4
50	отцов и	1	4
51	в своих	8	4
52	что он	11	4
53	ставрогина в	2	4
54	достоевского не	12	4
55	летом года	1	4
56	письме к	1	4
57	уже в	5	4
58	у достоевского	51	4
59	весной года	1	4
60	о том	9	4
61	подпольного человека	14	4
62	в дневнике	3	4
63	может быть	11	4
64	в ней	2	4
65	и детей	1	4
66	целый ряд	1	4
67	в истории	2	4
68	в россию	2	4
69	как бы	26	4
70	так же	6	4
71	во многом	8	4
72	февраля года	1	4
73	тургенев и	1	4
74	освобождения крестьян	1	4
75	что достоевский	10	4
76	он считал	1	4
77	года достоевский	3	3
78	что у	5	3
79	русской литературе	4	3
80	в его	19	3
81	в том	13	3
82	в петербург	2	3
83	марта года	4	3
84	т е	1	3
85	года он	3	3
86	имел в	1	3
87	достоевского к	5	3
88	сам достоевский	3	3
89	его в	2	3
90	связи с	2	3
91	мысль на	1	3
92	но он	3	3
93	достоевского о	2	3
94	достоевский не	7	3
95	давно уже	2	3
96	в связи	2	3
97	я не	5	3
98	и как	5	3
99	далеко не	3	3
100	тем что	2	3
101	ставрогина и	1	3
102	речь идет	1	3
103	считал что	1	3
104	в чем	4	3
105	и у	3	3
106	страшной мести	1	3
107	в черновиках	6	3
108	в русской	5	3
109	человека в	9	3
110	в париже	1	3
111	он был	2	3
112	эти слова	3	3
113	том что	14	3
114	достоевского на	1	3
115	тургенева достоевский	1	3
116	апреля года	4	3
117	повести достоевского	1	3
118	в этот	3	3
119	он не	10	3
120	и уже	1	3
121	в конце	5	3
122	к творчеству	1	3
123	и о	2	3
124	молодого писателя	1	3
125	наряду с	6	3
126	одним из	6	3
127	из подполья	19	3
128	в своем	4	3
129	достоевский уже	1	3
130	относился к	1	3
131	на то	1	3
132	с его	12	3
133	и его	14	3
134	к этому	4	3
135	по нашему	9	3
136	достоевский был	1	2
137	таким образом	14	2
138	начиная с	2	2
139	записки из	8	2
140	прототипе ставрогина	1	2
141	ответ на	1	2
142	мае года	1	2
143	и он	4	2
144	ю а	1	2
145	эти годы	1	2
146	после этого	1	2
147	в момент	5	2
148	его с	1	2
149	к себе	1	2
150	это письмо	1	2
151	мы знаем	2	2
152	и далее	4	2
153	мог знать	1	2
154	для него	9	2
155	его и	2	2
156	лермонтова и	1	2
157	этот момент	2	2
158	о чем	1	2
159	как раз	2	2
160	по мнению	4	2
161	о которой	2	2
162	достоевский писал	2	2
163	и достоевский	5	2
164	в честь	2	2
165	же не	2	2
166	в мае	1	2
167	роман достоевского	4	2
168	за границей	1	2
169	в повести	5	2
170	в них	1	2
171	и наказания	6	2
172	тургенева что	2	2
173	создании образа	1	2
174	же в	1	2
175	достоевского он	2	2
176	с князем	2	2
177	из повести	3	2
178	в среде	1	2
179	в мире	8	2
180	в в	2	2
181	там же	11	2
182	их в	1	2
183	же как	3	2
184	в своей	8	2
185	в виноградов	1	2
186	рядом с	2	2
187	вместе с	4	2
188	что ж	1	2
189	молодого достоевского	5	2
190	так в	1	2
191	в известном	2	2
192	не менее	8	2
193	и это	2	2
194	центрального образа	1	2
195	в эту	1	2
196	великого грешника	1	2
197	и стал	1	2
198	на первый	1	2
199	еще не	5	2
200	при создании	1	2
201	сказал он	1	2
202	меня но	1	2
203	а с	4	2
204	году достоевский	2	2
205	это в	3	2
206	в свою	8	2
207	в русских	1	2
208	на основе	1	2
209	неточку незванову	2	2
210	русской аристократии	1	2
211	эта фабула	1	2
212	о достоевском	1	2
213	очень хорошо	1	2
214	в письмах	3	2
