N	3gram	Tiupa_Narr	slovoVRo
1	и т п	2	72
2	не может быть	6	19
3	то же время	7	18
4	в то же	7	18
5	той или иной	6	15
6	с точки зрения	2	15
7	в отличие от	6	14
8	в той или	1	13
9	или иной степени	1	13
10	в большинстве случаев	1	11
11	с одной стороны	5	11
12	во всех его	1	10
13	и т д	1	10
14	более или менее	2	9
15	в зависимости от	3	8
16	во всяком случае	2	8
17	в значительной степени	1	7
18	так и в	1	6
19	и в то	2	6
20	не может не	1	6
21	но все же	1	6
22	с другой стороны	1	6
23	они могут быть	1	6
24	большей или меньшей	1	6
25	в том что	11	5
26	по отношению к	5	5
27	чужого слова в	2	5
28	не только в	12	5
29	в этом отношении	5	5
30	может быть и	1	5
31	одной стороны и	1	4
32	для того чтобы	4	4
33	друг с другом	1	4
34	до сих пор	3	4
35	в большей или	1	4
36	точки зрения на	1	4
37	и не может	3	4
38	а также и	1	4
39	в свою очередь	2	4
40	своего и чужого	2	4
41	можно сказать что	5	4
42	с установкой на	2	4
43	у него нет	1	4
44	до известной степени	1	3
45	и то же	2	3
46	того или иного	3	3
47	может быть только	1	3
48	в данном случае	12	3
49	как если бы	2	3
50	в связи с	3	3
51	к тому что	4	3
52	в стороне от	1	3
53	в евгении онегине	1	3
54	т п все	1	3
55	но и здесь	1	3
56	как и в	1	3
57	одно и то	2	3
58	как мы видели	1	3
59	и в другом	1	2
60	напряженное взаимодействие и	1	2
61	здесь не только	2	2
62	с этой точки	1	2
63	тем не менее	6	2
64	того же национального	1	2
65	далеко не всегда	1	2
66	имеет дело не	1	2
67	то же слово	1	2
68	не для того	1	2
69	в первом случае	3	2
70	одна из существенных	1	2
71	в чем не	1	2
72	в нем не	2	2
73	не только на	2	2
74	не только не	2	2
75	но в этом	1	2
76	на границе между	1	2
77	в известном смысле	4	2
78	и чужого слова	2	2
79	хотя и не	2	2
80	дело не с	1	2
81	иметь в виду	1	2
82	но и в	4	2
83	о том что	3	2
84	почти каждого высказывания	1	2
85	этой точки зрения	1	2
86	в то время	1	2
87	то есть от	1	2
88	же национального языка	1	2
89	мы не можем	1	2
90	мы не знаем	1	2
91	можно было бы	1	2
92	существенную роль в	3	2
93	же как и	1	2
94	друг для друга	2	2
95	смысловых и ценностных	1	2
96	и не только	1	2
97	на протяжении всего	1	2
98	уже не только	1	2
99	то время как	1	2
100	ни в чем	1	2
101	слове но и	1	2
102	на мировую литературу	1	1
103	у него есть	1	1
104	то и в	1	1
105	и столь же	1	1
106	в меньшей степени	1	1
107	которая не может	2	1
108	исторически реален язык	1	1
109	и даже не	1	1
110	в конечном счете	4	1
111	далеко не исчерпывается	1	1
112	по себе а	1	1
113	в отвлечении от	1	1
114	в той же	1	1
115	охвата с той	1	1
116	дело не только	2	1
117	в одном высказывании	1	1
118	кишащее будущими и	1	1
119	бывшими языками отмирающими	1	1
120	чужих слов в	1	1
121	с большей или	1	1
122	при этом что	1	1
123	но и на	2	1
124	отношению к себе	1	1
125	однако и здесь	1	1
126	чопорными языковыми аристократами	1	1
127	в первый раз	1	1
128	аристократами языковыми парвеню	1	1
129	он не может	1	1
130	и борьба своего	1	1
131	в том числе	1	1
132	в языки более	1	1
133	реален язык как	1	1
134	сказать и о	1	1
135	т п не	1	1
136	зрения здесь не	1	1
137	или иной идеологической	1	1
138	и вследствие этого	1	1
139	в частности в	2	1
140	друг на друга	2	1
141	на протяжении веков	1	1
142	так или иначе	1	1
143	сами по себе	2	1
144	в том случае	1	1
145	языками отмирающими чопорными	1	1
146	взаимодействие и борьба	1	1
147	территории почти каждого	1	1
148	в особенности в	1	1
149	а также в	1	1
150	может быть не	2	1
151	такая композиционная форма	1	1
152	как и у	1	1
153	так и по	1	1
154	речь идет о	3	1
155	нем не только	1	1
156	том числе и	1	1
157	само по себе	1	1
158	один из этих	1	1
159	но они не	1	1
160	каждого из этих	1	1
161	или ближе к	1	1
162	а во второй	1	1
163	или даже вовсе	1	1
164	а в том	2	1
165	там где язык	1	1
166	не могло быть	2	1
167	в этом направлении	1	1
168	то ни было	1	1
169	и в рамках	1	1
170	а не в	1	1
171	языковыми аристократами языковыми	1	1
172	не входит в	1	1
173	иной идеологической сферой	1	1
174	будущими и бывшими	1	1
175	зависимости от социального	1	1
176	соединяется с его	1	1
177	бы то ни	1	1
178	претендентами в языки	1	1
179	и точек зрения	1	1
180	перед нами не	2	1
181	в области поэтики	1	1
182	в равной степени	3	1
183	языки более или	1	1
184	парвеню бесчисленными претендентами	1	1
185	языковыми парвеню бесчисленными	1	1
186	становление кишащее будущими	1	1
187	герое нашего времени	1	1
188	но именно поэтому	1	1
189	в нашем случае	1	1
190	отношении к автору	1	1
191	в этих случаях	1	1
192	два смысловых и	1	1
193	и ценностных кругозора	1	1
194	одного из персонажей	1	1
195	то есть в	1	1
196	себе самому и	1	1
197	к тому или	1	1
198	по аналогии с	1	1
199	и особенно в	1	1
200	менее удачливыми с	1	1
201	одно из существеннейших	1	1
202	на то что	2	1
203	язык как разноречивое	1	1
204	по крайней мере	1	1
205	в данный момент	1	1
206	как это было	1	1
207	не с языком	1	1
208	то есть все	1	1
209	даже в лирике	1	1
210	в чем он	1	1
