N	4gram	Tiupa_Narr	Problema
1	в то время как	1	12
2	в той или иной	1	10
3	дело в том что	2	10
4	бы то ни было	1	6
5	ни в чем не	1	5
6	одним и тем же	1	4
7	одно и то же	2	4
8	еще и потому что	1	4
9	в том числе и	1	4
10	в связи с этим	1	4
11	в том или ином	1	4
12	и в то же	2	3
13	одного и того же	2	3
14	если бы не было	1	3
15	по себе но как	1	3
16	с этой точки зрения	1	3
17	с одной стороны и	1	3
18	можно сказать что он	1	2
19	в войне и мире	2	2
20	один и тот же	1	2
21	здесь мы имеем дело	1	2
22	мысль о том что	1	2
23	сам по себе а	1	2
24	в связи с этой	1	2
25	внимание на то что	2	2
26	к тому или иному	1	2
27	во всяком случае он	1	1
28	с той или иной	2	1
29	том смысле как мы	1	1
30	в нем не только	1	1
31	в определенный момент времени	1	1
32	той или иной области	1	1
33	может быть и не	1	1
34	в том смысле как	1	1
35	который в данном случае	1	1
36	в то же время	7	1
37	может быть не только	1	1
38	сами по себе но	1	1
39	одной из этих сторон	1	1
40	дело здесь не только	1	1
41	и в самом деле	1	1
42	во времени и пространстве	5	1
43	здесь не только в	1	1
44	и не может существовать	1	1
45	ответ на этот вопрос	1	1
46	и не только в	1	1
47	не объективна и не	1	1
48	состоит в том что	5	1
49	то что не имеет	1	1
50	но для того чтобы	1	1
51	объективна и не субъективна	1	1
52	в том случае если	1	1
53	является в данном случае	1	1
54	не для того чтобы	1	1
55	а в то же	1	1
56	и не может быть	2	1
57	но на этот раз	1	1
58	настаивать на том что	1	1
59	не сами по себе	1	1
60	но в зависимости от	1	1
61	он не может быть	1	1
62	никак не может быть	1	1
63	какой бы то ни	1	1
64	тип в том смысле	1	1
65	иметь в виду и	1	1
66	мы имеем дело с	4	1
