N	4gram	Vinokur_Ku	KFilosof
1	уже не может быть	2	2
2	бы то ни было	1	2
3	в то же время	4	2
4	в данный момент в	1	1
5	только в том что	1	1
6	но во всяком случае	1	1
7	в каких бы условиях	1	1
8	а только в том	2	1
9	несмотря на то что	1	1
10	для себя и для	1	1
11	того или иного индивидуума	1	1
12	дело в том что	1	1
13	в его превосходной книге	1	1
14	и тем не менее	4	1
15	во всех этих случаях	1	1
16	позицию по отношению к	1	1
17	и в то же	1	1
18	одного и того же	2	1
19	имеет дело лишь с	1	1
20	но для того чтобы	1	1
