N	4gram	Vygotskiy_	EvropaiC
1	которых мы говорили выше	2	4
2	о которых мы говорили	3	4
3	заключается в том что	9	3
4	в каждый данный момент	1	3
5	совершенно так же как	1	3
6	одного и того же	3	3
7	несмотря на то что	1	2
8	но вместе с тем	2	2
9	в то же время	1	2
10	состоит в том что	3	1
11	с этой точки зрения	4	1
12	в то время как	7	1
13	то же самое что	3	1
14	но для того чтобы	1	1
15	в том и другом	2	1
16	друг от друга в	1	1
17	в том что он	2	1
18	одно и то же	3	1
19	представление о том что	2	1
20	только по отношению к	1	1
21	но с другой стороны	1	1
22	таким образом оказывается что	1	1
23	с самого начала в	1	1
24	того чтобы ответить на	1	1
25	вместе с тем и	2	1
26	на вопрос можно ли	1	1
27	но мы знаем что	1	1
28	же самое что и	1	1
29	в этом и состоит	1	1
30	с психологической точки зрения	1	1
31	и не может быть	2	1
32	он не может не	1	1
33	в том числе и	2	1
34	приводит к тому что	3	1
35	для того чтобы ответить	1	1
36	которого в данном случае	1	1
37	все дело заключается в	1	1
38	в том что оно	3	1
39	нет и не может	2	1
40	одной и той же	5	1
41	как мы видели выше	1	1
42	в том что они	1	1
43	дело заключается в том	1	1
44	в самом деле если	1	1
45	в том же направлении	2	1
