N	2gram	Voloshinov	Retstnzi
1	не может	8	4
2	и в	16	3
3	в центре	1	2
4	один из	2	2
5	несмотря на	1	1
6	может быть	17	1
7	не только	7	1
8	точки зрения	8	1
9	с точки	6	1
10	для него	6	1
11	с теми	1	1
12	в ней	1	1
13	тех же	3	1
14	себе все	1	1
15	связи с	1	1
16	к школе	1	1
17	с другими	3	1
18	лучше всего	1	1
19	если бы	1	1
20	конечно и	1	1
21	смысл и	1	1
22	вещей и	1	1
23	в его	4	1
24	влияния на	1	1
25	не менее	2	1
26	и форму	1	1
27	и социальной	1	1
28	но и	4	1
29	мы видим	2	1
30	к тому	1	1
31	можно назвать	2	1
32	и можно	1	1
33	понятно не	1	1
34	из этих	2	1
35	ни один	1	1
36	то же	2	1
37	а не	1	1
38	нет и	2	1
39	и не	4	1
40	и все	4	1
41	и на	4	1
