N	3gram	Vygotskiy_	VrazhdaK
1	и все же	1	5
2	имел в виду	1	3
3	в том что	20	2
4	не может быть	3	2
5	как раз в	3	2
6	с точки зрения	11	2
7	и что в	2	2
8	это то что	1	1
9	все же в	2	1
10	не было бы	2	1
11	но при этом	1	1
12	в свою очередь	3	1
13	в глубине души	1	1
14	а между тем	1	1
15	каждый из них	3	1
16	в то время	4	1
17	в комментариях к	1	1
18	одно и то	3	1
19	речь идет о	5	1
20	которых не было	1	1
21	которые до сих	1	1
22	он как бы	1	1
23	это не просто	3	1
24	о том как	3	1
25	в той же	2	1
26	точно так же	3	1
27	так же как	2	1
28	что в ней	3	1
29	на то что	16	1
30	и никогда не	2	1
31	шаг за шагом	3	1
32	что в этой	3	1
33	заключается в том	10	1
34	а с другой	1	1
35	что в нем	3	1
36	они как бы	1	1
37	и то что	3	1
38	не только не	3	1
39	о том что	8	1
40	в мировой литературе	1	1
41	до сих пор	6	1
42	в высшей степени	1	1
43	но в этом	1	1
44	но об этом	1	1
45	в это время	1	1
46	в каком направлении	1	1
47	во всяком случае	6	1
48	и в самом	15	1
49	записи в дневнике	2	1
50	как бы в	1	1
51	во второй раз	1	1
52	с другой стороны	5	1
53	он сказал что	1	1
54	в третий раз	1	1
55	но и это	1	1
56	что у него	2	1
57	это и есть	2	1
58	и в ней	1	1
59	что для нас	1	1
60	на первый взгляд	1	1
61	не только как	1	1
62	и то же	3	1
63	в этом отношении	1	1
64	и что он	1	1
65	и не может	1	1
66	и в этом	6	1
67	речь идет не	1	1
68	может быть и	1	1
