N	4gram	Tiupa_Anal	slovoVRo
1	в то же время	7	18
2	в той или иной	3	13
3	но в то же	2	7
4	большей или меньшей степени	1	4
5	в большей или меньшей	1	4
6	одно и то же	2	3
7	с этой точки зрения	2	2
8	и в этом случае	1	2
9	и не может быть	4	2
10	или во всяком случае	1	2
11	не исключают друг друга	1	2
12	то же время он	1	2
13	на самом же деле	1	1
14	мы имеем в виду	1	1
15	если бы он был	1	1
16	в этом случае в	1	1
17	одни и те же	2	1
18	как один из многих	1	1
19	в том случае если	1	1
20	так как если бы	1	1
21	персонажей а между тем	1	1
22	нет и не может	2	1
23	одной и той же	1	1
24	целом с точки зрения	1	1
25	а не только в	1	1
26	можно сказать что в	1	1
27	в том числе и	1	1
28	бы оно ни было	1	1
29	имеем в виду не	1	1
30	дело не только в	1	1
31	в том что он	2	1
32	не может быть диалогического	1	1
33	бы то ни было	3	1
34	друг с другом в	1	1
35	во всех этих случаях	1	1
36	с той или иной	2	1
37	тем не менее в	1	1
38	не выходят за пределы	1	1
