N	3gram	Medvedev_F	OGranits
1	с точки зрения	17	5
2	не может быть	11	4
3	до тех пор	1	4
4	вполне понятно что	1	3
5	по отношению к	4	3
6	в том что	3	2
7	не чем иным	1	2
8	ничего общего с	2	2
9	не что иное	1	2
10	того или иного	6	2
11	в зависимости от	4	2
12	и наконец в	2	2
13	в данном случае	2	2
14	есть не что	1	2
15	чем иным как	1	2
16	зависимости от этого	1	2
17	в самом деле	5	2
18	что иное как	1	2
19	с одной стороны	5	2
20	с другой стороны	4	2
21	с самого начала	2	2
22	языка как системы	1	2
23	даны только в	1	1
24	в процессе взаимодействия	1	1
25	формальный метод в	5	1
26	отметить еще одну	1	1
27	таким образом ритм	1	1
28	в узком смысле	1	1
29	время в ней	1	1
30	становления идеологического кругозора	1	1
31	на самом деле	7	1
32	еще одну особенность	1	1
33	вопрос отвечают ли	1	1
34	слов и в	1	1
35	художественного произведения и	2	1
36	в особенности в	1	1
37	материалом для исследования	1	1
38	таким образом мы	1	1
39	говорить не приходится	2	1
40	и историей литературы	1	1
41	и как бы	1	1
42	борьба с позитивизмом	1	1
43	все то что	1	1
44	чуть ли не	1	1
45	представителей формального метода	1	1
46	на основе такого	1	1
47	иметь в виду	1	1
48	самый предмет исследования	1	1
49	в шкловского и	1	1
50	так и для	1	1
51	но в то	3	1
52	основ формалистической поэтики	1	1
53	и его аудиторией	1	1
54	это конечно не	1	1
55	история литературы в	1	1
56	лишь в процессе	2	1
57	равно как и	1	1
58	между тем как	1	1
59	элементов входящих в	1	1
60	reductio ad absurdum	1	1
61	по себе а	2	1
62	это и не	1	1
63	не имеет и	1	1
64	в нашу задачу	1	1
65	в эстетике и	1	1
66	себе а лишь	1	1
67	так же как	1	1
68	идеологический состав содержания	1	1
69	тех или иных	1	1
70	для того чтобы	3	1
71	в данную эпоху	1	1
72	быть и речи	1	1
73	к предмету но	1	1
74	иным как попыткой	1	1
75	из одного материала	1	1
76	в школе фосслера	1	1
77	конструкции поэтического произведения	2	1
78	она ни была	3	1
79	ни о какой	2	1
80	которой только и	1	1
81	можно говорить о	1	1
82	но тем не	1	1
83	мы полагаем что	3	1
84	в чем же	1	1
85	а не как	1	1
86	и превращения его	1	1
87	перевести его на	1	1
88	не только на	1	1
89	что в основе	1	1
90	тому что он	1	1
91	хотя бы в	4	1
92	в связи со	2	1
93	то или иное	1	1
94	широком понимании этого	1	1
95	в последнее время	1	1
96	в собственном смысле	1	1
97	существует как бы	1	1
98	одного материала в	1	1
99	должно было бы	1	1
100	в отличие от	2	1
101	только и может	4	1
102	таким образом лишь	1	1
103	выходит за пределы	1	1
104	этой точки зрения	1	1
105	нужно сказать что	1	1
106	таким образом входит	1	1
107	в которой только	1	1
108	роковую роль в	2	1
109	литературного произведения как	1	1
110	как и в	1	1
111	в связи с	9	1
112	не входит в	1	1
113	материала в другой	1	1
114	а вовсе не	2	1
115	в системе языка	1	1
116	поставить вопрос отвечают	1	1
117	же время в	1	1
118	к тому что	3	1
119	та или иная	1	1
120	становится чуть ли	1	1
121	во всем своем	1	1
122	тем не менее	2	1
123	теории поэтического языка	3	1
124	только то что	1	1
125	в методологической позиции	1	1
126	в поэзии в	1	1
127	и в его	1	1
128	нет и не	2	1
129	гоголь и достоевский	1	1
130	во всей полноте	1	1
131	в предисловии к	3	1
132	что же такое	1	1
133	к истории литературы	1	1
134	только в связи	1	1
135	в этом отношении	7	1
136	и в их	2	1
137	связи со всей	1	1
138	в своей статье	5	1
139	с этим же	1	1
140	его на язык	1	1
141	то же время	13	1
142	более или менее	7	1
143	в то же	13	1
144	вряд ли вообще	1	1
145	вместе с ними	1	1
146	прежде всего в	5	1
147	в виду что	1	1
148	в каждом элементе	1	1
149	в произведении как	1	1
150	в изобразительных искусствах	1	1
151	с этой точки	1	1
152	с позитивизмом и	2	1
153	мы не можем	3	1
154	но что же	1	1
155	состоит в том	1	1
156	в последнем счете	2	1
157	и не может	5	1
158	нам кажется что	1	1
159	а также и	1	1
160	является не чем	1	1
161	превращения его в	1	1
162	своей статье о	1	1
163	может быть и	4	1
