N	3gram	Tiupa_Anal	Myslijsy
1	в том что	13	47
2	по отношению к	9	26
3	не может быть	17	19
4	тем не менее	3	18
5	только тогда когда	1	17
6	по крайней мере	4	17
7	сам по себе	1	14
8	в свою очередь	1	14
9	не в том	3	13
10	а между тем	1	13
11	то же время	7	13
12	в том смысле	1	13
13	в то же	9	13
14	более или менее	2	12
15	смысле этого слова	1	12
16	с другой стороны	2	12
17	и в этом	4	12
18	до сих пор	1	12
19	только в том	1	12
20	во всяком случае	1	12
21	для того чтобы	3	11
22	сами по себе	3	11
23	а в том	1	11
24	и т п	3	11
25	подобно тому как	5	11
26	с одной стороны	6	10
27	в таком случае	5	9
28	одного и того	2	9
29	и того же	2	9
30	то и другое	1	9
31	на то что	2	9
32	но и в	3	9
33	о том что	8	9
34	до тех пор	1	9
35	не могут быть	2	9
36	вместе с тем	1	8
37	до такой степени	1	8
38	в этом случае	4	8
39	в этом смысле	3	7
40	и то же	2	7
41	не только не	2	7
42	сама по себе	1	7
43	с точки зрения	6	7
44	как и в	2	7
45	можно сказать что	1	7
46	не в состоянии	1	7
47	и той же	1	7
48	одно и то	2	7
49	одной и той	1	7
50	не только в	3	7
51	и как бы	1	6
52	то же самое	3	6
53	то что мы	1	6
54	в эту минуту	1	6
55	в том случае	1	5
56	между тем как	2	5
57	и таким образом	1	5
58	к тому что	2	5
59	и то что	1	5
60	из виду что	1	4
61	и тот же	2	4
62	в том же	1	4
63	том смысле что	1	4
64	в собственном смысле	1	4
65	с этой точки	2	4
66	или лучше сказать	1	4
67	в данном случае	3	4
68	в произведении искусства	3	4
69	быть не может	3	4
70	в том и	2	4
71	и тем же	1	4
72	форма в которой	1	4
73	в том чтобы	7	4
74	один и тот	1	4
75	и в самом	3	4
76	на этот вопрос	1	4
77	в противном случае	1	4
78	субъекта и объекта	1	4
79	почти то же	1	4
80	не что иное	5	4
81	одним и тем	1	4
82	далеко не все	1	4
83	что иное как	6	4
84	в этом отношении	5	4
85	в том виде	1	4
86	лишь в том	3	3
87	тех пор пока	1	3
88	как и во	1	3
89	в применении к	1	3
90	до известной степени	1	3
91	та и другая	1	3
92	хотя бы и	1	3
93	говоря уже о	1	3
94	том виде в	1	3
95	виде в каком	1	3
96	бы ни был	1	3
97	то есть в	2	3
98	так или иначе	1	3
99	возможно только в	1	3
100	том что он	2	3
101	в первом случае	2	3
102	и тем самым	2	3
103	в разные времена	1	3
104	и та и	1	3
105	а не в	3	3
106	в связи с	2	3
107	об одном из	1	3
108	бы то ни	3	3
109	между тем в	1	3
110	равно как и	1	3
111	заключается в том	1	3
112	того что мы	1	3
113	это не так	1	3
114	внимание на то	1	3
115	со всех сторон	1	3
116	из того что	3	3
117	состоит не в	1	3
118	не говоря уже	1	3
119	можно было бы	1	3
120	которые могут быть	1	3
121	не менее в	1	3
122	могли бы быть	2	3
123	на первый взгляд	1	3
124	этой точки зрения	2	3
125	всякое понимание есть	1	3
126	языка то есть	1	3
