N	2gram	Tiupa_Lite	Myshleni
1	в том	22	195
2	в этом	19	167
3	то что	14	166
4	и в	26	162
5	том что	19	161
6	в развитии	1	151
7	таким образом	4	147
8	точки зрения	8	143
9	что в	7	119
10	мышления и	3	117
11	не только	29	116
12	того что	7	109
13	так же	1	100
14	потому что	5	95
15	того чтобы	1	91
16	может быть	24	89
17	с точки	4	89
18	что он	8	86
19	не может	10	81
20	как и	13	79
21	для того	2	78
22	так как	2	78
23	и не	19	78
24	только в	8	75
25	в целом	10	74
26	как мы	2	72
27	но и	25	70
28	в его	9	67
29	сказать что	1	65
30	как бы	8	64
31	вместе с	5	62
32	представляет собой	5	60
33	и что	2	60
34	было бы	4	60
35	в качестве	21	60
36	то же	13	58
37	в основе	5	58
38	в отношении	2	55
39	могли бы	1	54
40	в силу	4	53
41	в самом	4	52
42	в сущности	5	51
43	к тому	3	49
44	что они	1	48
45	тем что	6	48
46	мы можем	1	48
47	тогда когда	1	47
48	на основе	2	47
49	мы не	5	47
50	если бы	1	46
51	по отношению	6	45
52	но не	8	45
53	с другой	11	45
54	с тем	2	43
55	же как	3	43
56	тем самым	8	43
57	тому что	1	42
58	как это	9	42
59	отношению к	4	42
60	в ходе	2	41
61	не является	3	41
62	о том	3	40
63	по своей	3	40
64	одной стороны	8	40
65	никогда не	5	39
66	с одной	9	39
67	так и	7	39
68	мы видели	1	38
69	в области	5	38
70	и к	1	37
71	вопрос о	1	37
72	если мы	1	37
73	не в	11	37
74	в этой	7	37
75	значение слова	1	37
76	с самого	1	36
77	в своем	12	36
78	все эти	2	36
79	самого начала	1	36
80	как в	5	36
81	а не	28	36
82	и его	7	36
83	того же	5	35
84	с другом	1	35
85	можно было	3	35
86	в себе	8	35
87	в которой	1	35
88	и т.д	8	35
89	он не	4	35
90	для себя	6	35
91	связи с	7	34
92	и как	2	34
93	приводит к	4	34
94	прежде всего	14	33
95	при этом	23	33
96	именно в	1	32
97	и на	5	32
98	той же	5	32
99	что и	3	32
100	и тем	4	32
101	но в	5	32
102	слова и	6	32
103	все же	6	31
104	из того	3	31
105	и то	3	31
106	мысли и	1	30
107	на то	2	30
108	этом отношении	5	30
109	между тем	2	29
110	как известно	1	29
111	могут быть	4	29
112	самом деле	2	28
113	переход от	1	28
114	только что	1	27
115	с этой	6	27
116	в результате	2	27
117	другой стороны	5	27
118	этом случае	2	27
119	в то	12	27
120	и с	4	27
121	в своей	5	27
122	перед нами	1	27
123	в их	3	26
124	понятия в	1	26
125	что это	1	26
126	для него	6	26
127	в частности	18	26
128	в чем	2	25
129	еще не	4	25
130	уже в	7	25
131	можно сказать	1	25
132	это не	4	25
133	мы знаем	1	24
134	тот же	1	24
135	зависимости от	1	24
136	целый ряд	1	24
137	в сфере	7	24
138	того как	1	24
139	в какой	2	24
140	так что	4	24
141	в нем	4	24
142	в слове	3	24
143	как уже	3	24
144	друг друга	5	23
145	состоит в	18	23
146	бы в	1	23
147	как он	2	23
148	слова в	2	23
149	во всяком	3	22
150	не могут	1	22
151	к объекту	2	22
152	столь же	5	22
153	в известном	1	22
154	в зависимости	1	22
155	и развитие	1	22
156	отношения между	3	22
157	в школе	1	22
158	и развитием	1	22
159	между ними	1	21
160	человеческой речи	1	21
161	к этому	2	21
162	на основании	1	21
163	в нашем	2	21
164	его в	4	21
165	все время	1	21
166	показать что	1	21
167	и все	1	21
168	не имеет	2	21
169	в истории	1	21
170	в сознании	3	21
171	ее в	1	21
172	и более	1	21
173	отношение к	1	21
174	в пользу	1	20
175	в виду	4	20
176	не менее	11	20
177	в котором	1	20
178	в другом	3	20
179	из них	5	20
180	из этих	2	20
181	на вопрос	1	20
182	в такой	1	20
183	и других	4	20
184	а в	5	20
185	едва ли	5	20
186	как раз	6	20
187	на этом	3	20
188	должно быть	1	20
189	по существу	4	20
190	но мы	1	19
191	речь не	1	19
192	в связи	4	19
193	во всех	4	19
194	а с	2	19
195	и по	1	19
196	один из	7	19
197	в данном	7	19
198	в той	1	19
199	мы и	1	19
200	как на	3	19
201	с ним	2	19
202	в себя	5	19
203	из которых	3	19
204	речь в	2	19
205	во всем	1	18
206	к действительности	1	18
207	во всей	1	18
208	в психологии	1	18
209	одного и	1	18
210	но это	2	18
211	в отличие	6	18
212	отличие от	6	18
213	приходит к	1	18
214	всяком случае	2	18
215	в этих	2	17
216	в своих	5	17
217	казалось бы	6	17
218	в одном	2	17
219	я не	8	17
220	не есть	2	17
221	сих пор	1	17
222	на деле	1	17
223	до сих	1	17
224	в свою	2	17
225	тем же	5	17
226	до конца	3	17
227	и для	1	17
228	для этого	5	17
229	все что	3	17
230	и того	2	17
231	у него	5	17
232	не станем	2	17
233	этой точки	3	17
234	ту же	4	17
235	и от	1	17
236	и есть	3	17
237	то и	5	17
238	мы находим	1	17
239	и только	4	17
240	в которых	1	16
241	значение в	1	16
242	мы имеем	2	16
243	вовсе не	3	16
244	к одному	1	16
245	такой же	3	16
246	которые не	1	16
247	и даже	9	16
248	между двумя	1	16
249	по поводу	2	16
250	то в	3	16
251	значения слов	1	16
252	для нас	3	16
253	тому как	4	16
254	является в	1	15
255	в них	1	15
256	что при	1	15
257	от этого	1	15
258	и является	2	15
259	подобно тому	4	15
260	со всеми	2	15
261	данном случае	6	15
262	тем более	2	15
263	хотя бы	3	15
264	в начале	4	15
265	отличается от	1	15
266	между этими	1	15
267	к мысли	1	15
268	но как	3	15
269	которое мы	1	15
270	представить себе	1	15
271	том же	3	15
272	ничего не	3	15
273	когда ребенок	1	15
274	когда он	1	15
275	по этому	2	15
276	свою очередь	2	14
277	одно и	1	14
278	очевидно что	2	14
279	что для	2	14
280	из этого	2	14
281	и здесь	1	14
282	слова к	1	14
283	со всей	2	14
284	одним из	8	14
285	одной из	2	14
286	от слова	2	14
287	один и	1	14
288	не можем	2	14
289	который в	2	14
290	сущности говоря	1	14
291	и во	1	14
292	с его	5	14
293	последнее время	1	14
294	имеет место	1	13
295	в действительности	2	13
296	с другими	1	13
297	если в	2	13
298	в основном	1	13
299	к его	1	13
300	они не	1	13
301	возникает в	1	13
302	в виде	1	13
303	другом месте	1	13
304	отнюдь не	4	13
305	она не	1	13
306	человека и	2	13
307	для всех	5	13
308	но все	1	13
309	с ней	1	13
310	в состоянии	1	13
311	лишь в	4	13
312	стороны и	1	13
313	в уме	4	13
314	все более	3	13
315	совершается в	1	13
316	даже в	6	12
317	а затем	3	12
318	на первый	1	12
319	только на	3	12
320	том чтобы	1	12
321	но он	1	12
322	что слово	1	12
323	за пределы	3	12
324	к другому	1	12
325	с их	3	12
326	в одной	1	12
327	и потому	1	12
328	в первом	1	12
329	к нему	1	12
330	от его	1	12
331	несмотря на	3	12
332	в ее	1	12
333	тем не	4	12
334	тому же	2	12
335	это мы	1	12
336	но только	3	12
337	никак не	2	12
338	мог бы	1	12
339	в ней	4	12
340	в последнее	1	11
341	не столько	8	11
342	с собой	4	11
343	не могли	1	11
344	ключ к	1	11
345	на котором	1	11
346	иначе говоря	2	11
347	на том	3	11
348	отношения к	1	11
349	с ее	3	11
350	в каком	1	11
351	это речь	1	11
352	ответ на	1	11
353	на самом	1	11
354	есть в	1	11
355	не по	2	11
356	идет о	4	11
357	одно из	3	11
358	например в	3	11
359	что этот	1	11
360	вот почему	1	11
361	наряду с	1	11
362	гораздо более	1	11
363	не знает	3	11
364	в конце	6	11
365	а только	2	11
366	он в	1	11
367	в один	1	11
368	что нам	1	11
369	ничего общего	2	11
370	во внешней	1	11
371	только по	1	11
372	в пределах	4	11
373	нуждается в	3	11
374	и наконец	2	11
375	есть не	2	11
376	вслед за	1	10
377	тенденцию к	1	10
378	по выражению	2	10
379	в следующем	1	10
380	но для	1	10
381	что такое	2	10
382	в случае	5	10
383	одного из	4	10
384	ключом к	1	10
385	у нас	5	10
386	перейти к	1	10
387	или иной	3	10
388	из всех	1	10
389	за собой	2	10
390	речь идет	3	10
391	и т.п	14	10
392	самом начале	1	10
393	нам остается	1	10
394	к жизни	2	10
395	что его	3	10
396	и у	1	10
397	вопроса о	1	10
398	здесь мы	1	10
399	процесса в	2	10
400	во второй	2	10
401	как с	1	10
402	представляют собой	1	10
403	если не	1	10
404	в конечном	9	10
405	относится к	3	10
406	не могло	3	10
407	том числе	2	10
408	чем он	1	10
409	и слова	1	10
410	с той	1	10
411	в нашей	2	10
412	и до	1	9
413	конечном счете	8	9
414	для всей	2	9
415	что уже	1	9
416	в ситуации	2	9
417	как по	1	9
418	той или	1	9
419	та же	2	9
420	в новой	1	9
421	что же	1	9
422	мышления но	1	9
423	к предмету	1	9
424	также и	3	9
425	а по	2	9
426	не с	2	9
427	к изучению	1	9
428	в плане	1	9
429	в момент	1	9
430	к этой	2	9
431	только для	1	9
432	говорить о	1	9
433	то как	2	9
434	в системе	1	9
435	и он	3	9
436	путь от	1	9
437	находит свое	1	9
438	в первой	1	9
439	мы в	3	9
440	мы говорим	1	9
441	еще в	7	9
442	у школьника	1	9
443	совершенно не	1	9
444	такого рода	18	9
445	тенденции к	1	9
446	но с	3	9
447	или в	1	9
448	что перед	1	9
449	должен быть	2	9
450	не как	4	8
451	из двух	1	8
452	которая не	2	8
453	в этот	1	8
454	и те	1	8
455	уже и	1	8
456	не умеет	1	8
457	не удивительно	1	8
458	равной мере	2	8
459	целом но	2	8
460	в эту	1	8
461	в деятельности	1	8
462	этот путь	3	8
463	поэтому в	1	8
464	отношении к	2	8
465	еще один	1	8
466	все равно	1	8
467	на одном	1	8
468	только и	1	8
469	и тому	1	8
470	дело с	1	8
471	как правило	5	8
472	не мог	3	8
473	собой и	1	8
474	себе и	2	8
475	и др	4	8
476	во время	1	8
477	не на	2	8
478	должен был	1	8
479	со стороны	6	8
480	одним и	1	8
481	более и	1	8
482	что я	4	8
483	который по	1	8
484	поэтому что	1	8
485	различие между	3	8
486	тому чтобы	1	8
487	в равной	4	8
488	только то	3	8
489	еще на	1	8
490	что не	3	8
491	в таком	1	7
492	говоря словами	3	7
493	и сам	6	7
494	сознания в	14	7
495	на него	1	7
496	он сам	2	7
497	понятие о	1	7
498	в общем	1	7
499	всех этих	1	7
500	в значительной	1	7
501	переходит к	1	7
502	у них	1	7
503	которых он	1	7
504	ничего кроме	2	7
505	с первого	1	7
506	на один	2	7
507	одну из	2	7
508	этому поводу	1	7
509	решающую роль	1	7
510	же в	6	7
511	случае в	1	7
512	которая в	3	7
513	но тем	4	7
514	с более	1	7
515	за ним	1	7
516	в жизни	7	7
517	имеет в	1	7
518	но они	1	7
519	следующим образом	2	7
520	к общему	3	7
521	удивительно поэтому	1	7
522	общего с	3	7
523	и особенно	1	7
524	во втором	3	7
525	должна быть	3	7
526	сознания и	1	7
527	а также	5	7
528	но по	2	7
529	он говорит	2	7
530	в ход	1	7
531	этом и	1	7
532	одновременно с	2	7
533	лучшем случае	1	7
534	с действительностью	2	6
535	и другим	1	6
536	уже не	9	6
537	как например	1	6
538	раз и	2	6
539	на нет	1	6
540	себе в	3	6
541	с другим	1	6
542	потребности в	2	6
543	в отдельных	1	6
544	всего в	4	6
545	и мы	2	6
546	не остается	2	6
547	в каждом	2	6
548	в лучшем	1	6
549	является общим	1	6
550	последнего времени	1	6
551	во внутреннем	1	6
552	как к	4	6
553	каждой новой	1	6
554	в словах	2	6
555	ни на	1	6
556	наконец в	2	6
557	нет и	1	6
558	только потому	1	6
559	он как	1	6
560	неизмеримо более	1	6
561	в сферу	2	6
562	в условиях	1	6
563	которая как	1	6
564	эту мысль	1	6
565	т.д и	1	6
566	в разговоре	2	6
567	оказывается не	2	6
568	говорит о	1	6
569	требует от	1	6
570	и другими	1	6
571	его на	1	6
572	в различных	1	6
573	перед ним	2	6
574	имеем дело	2	6
575	одна из	8	6
576	задолго до	1	6
577	в тот	1	6
578	могло бы	1	6
579	что может	1	6
580	как частный	1	6
581	и который	1	6
582	может стать	1	6
583	знает что	1	6
584	всей своей	2	6
585	еще и	3	6
586	тех же	3	6
587	роль в	2	6
588	потому и	1	6
589	процессов в	1	6
590	дело в	3	6
591	ли не	7	6
592	это было	1	6
593	нужно было	1	6
594	и о	1	6
595	внутреннюю сторону	1	6
596	нам о	1	5
597	совпадают в	1	5
598	свою собственную	1	5
599	в противоположность	2	5
600	только как	1	5
601	почти исключительно	1	5
602	может служить	1	5
603	в контексте	1	5
604	слово как	1	5
605	той мере	1	5
606	как такового	1	5
607	об одном	1	5
608	пути и	1	5
609	поэтому он	1	5
610	в ряду	1	5
611	идет по	1	5
612	эти слова	2	5
613	и мысль	1	5
614	в него	1	5
615	ведет к	5	5
616	новых и	2	5
617	с такой	1	5
618	на первом	2	5
619	для них	2	5
620	в памяти	1	5
621	никто не	1	5
622	который не	1	5
623	роли в	1	5
624	и состоит	2	5
625	своей собственной	2	5
626	в значении	1	5
627	на две	1	5
628	не видит	2	5
629	только с	1	5
630	они возникают	1	5
631	в свое	1	5
632	что ему	4	5
633	когда они	1	5
634	ее на	1	5
635	однако не	2	5
636	все они	2	5
637	от всех	2	5
638	мы никогда	1	5
639	к построению	1	5
640	из ряда	1	5
641	оказывается что	1	5
642	человека с	1	5
643	ни один	1	5
644	от него	2	5
645	самого себя	3	5
646	отношений в	1	5
647	что по	1	5
648	в новом	1	5
649	но даже	2	5
650	значительной степени	1	5
651	вернуться к	1	5
652	быть в	1	5
653	не просто	2	5
654	себя в	7	5
655	целого ряда	1	5
656	и столь	1	5
657	после того	1	5
658	аналогии с	3	5
659	нашей мысли	1	5
660	и оказывается	1	5
661	это как	3	5
662	не для	2	5
663	а потому	4	5
664	был бы	1	5
665	о которой	2	5
666	есть нечто	1	5
667	оказывается в	1	5
668	из тех	2	5
669	свое время	1	5
670	в полном	1	5
671	указание на	1	5
672	что к	1	5
673	оно в	1	5
674	в наши	1	5
675	конце концов	1	5
676	дело не	2	5
677	плана в	1	5
678	говоря о	1	5
679	по аналогии	3	5
680	пути к	1	5
681	для другого	1	5
682	более того	1	5
683	в центре	1	4
684	со всем	1	4
685	тем как	1	4
686	уже на	1	4
687	когда это	1	4
688	на эту	1	4
689	за ней	1	4
690	так например	1	4
691	всем его	1	4
692	в пределе	1	4
693	путь для	1	4
694	общения и	1	4
695	и когда	1	4
696	обнаруживает в	1	4
697	и начинает	1	4
698	не подлежит	1	4
699	нас на	1	4
700	к ее	1	4
701	бы то	1	4
702	не путем	1	4
703	не было	5	4
704	или не	1	4
705	и говорит	2	4
706	как таковое	1	4
707	быть может	2	4
708	свое имя	1	4
709	рядом с	1	4
710	так сказать	1	4
711	а отнюдь	1	4
712	если оно	2	4
713	самому себе	2	4
714	в ответ	1	4
715	бы они	1	4
716	также не	1	4
717	ту сторону	1	4
718	что есть	2	4
719	в одну	1	4
720	своего собственного	1	4
721	была бы	1	4
722	в работах	1	4
723	мы вынуждены	1	4
724	то здесь	1	4
725	к той	1	4
726	в роли	3	4
727	и вот	2	4
728	из его	2	4
729	для нее	2	4
730	и вся	1	4
731	от других	2	4
732	другого в	4	4
733	которую он	1	4
734	только при	1	4
735	здесь не	1	4
736	говорится в	2	4
737	постольку поскольку	1	4
738	о его	1	4
739	нам не	1	4
740	на нее	2	4
741	является по	2	4
742	нет у	1	4
743	и я	7	4
744	в каждой	2	4
745	то он	3	4
746	чистом виде	1	4
747	с полным	1	4
748	мы узнаем	1	4
749	друга как	1	4
750	не оставляет	3	4
