N	2gram	Vygotskiy_	Otkroven
1	о человеке	2	29
2	у него	2	22
3	и в	47	19
4	и не	27	13
5	но и	19	13
6	в этом	47	12
7	человека в	1	11
8	а не	7	11
9	не только	36	11
10	не в	7	11
11	может быть	20	11
12	вопрос о	9	10
13	и все	5	10
14	в нем	6	10
15	потому что	26	9
16	прежде всего	9	9
17	не было	1	9
18	в самой	3	9
19	никогда не	7	9
20	и он	4	8
21	в его	7	7
22	он не	5	7
23	но он	3	7
24	лишь в	3	7
25	до конца	8	7
26	все это	5	6
27	как и	19	6
28	в самом	15	5
29	в том	38	5
30	для него	6	5
31	в этой	7	5
32	а в	3	5
33	до самого	1	5
34	отношение к	8	5
35	о его	3	5
36	то что	40	5
37	что в	23	4
38	и мысли	1	4
39	только и	5	4
40	того чтобы	26	4
41	не может	23	4
42	него и	1	4
43	что не	2	4
44	все эти	7	4
45	и его	14	4
46	он сам	2	4
47	в романах	1	4
48	его мысли	5	4
49	с его	1	4
50	только одно	2	3
51	и от	6	3
52	все что	7	3
53	и вот	1	3
54	это не	6	3
55	для того	24	3
56	с ним	5	3
57	мысли и	13	3
58	когда он	2	3
59	быть может	1	3
60	в этих	2	3
61	не могут	9	3
62	в своих	2	3
63	о природе	9	3
64	как бы	13	3
65	было бы	12	3
66	могут быть	7	3
67	в себе	14	3
68	и есть	4	3
69	что он	13	3
70	никто не	2	3
71	это было	2	3
72	и ее	3	3
73	о том	5	3
74	того что	27	3
75	к нему	5	3
76	еще не	5	3
77	всего в	2	2
78	и к	11	2
79	как к	4	2
80	природы в	1	2
81	и потому	3	2
82	так и	8	2
83	что они	11	2
84	самое главное	1	2
85	и то	10	2
86	и против	2	2
87	все же	7	2
88	что у	4	2
89	не могли	5	2
90	так как	25	2
91	и очень	1	2
92	должно быть	3	2
93	к этой	2	2
94	к ней	2	2
95	уже в	3	2
96	в другом	3	2
97	совсем не	2	2
98	так что	8	2
99	в своем	3	2
100	на периферии	1	2
101	в этот	3	2
102	с тем	8	2
103	и из	2	2
104	отношений это	1	2
105	в которой	16	2
106	ее в	11	2
107	о которой	2	2
108	одно из	6	2
109	что и	4	2
110	потребность в	1	2
111	и бесконечно	2	2
112	можно ли	2	2
113	в истории	1	2
114	его в	7	2
115	должен был	2	2
116	чем в	5	2
117	ведь это	2	2
118	ко всем	6	2
119	мысль о	1	2
120	вместо того	2	2
121	и с	5	2
122	что же	3	2
123	то к	1	2
124	одного только	2	2
125	и там	3	2
126	он в	1	2
127	и о	4	2
128	сказать что	18	2
129	что для	3	2
130	тем что	14	2
131	что есть	2	2
132	из всего	1	2
133	и на	4	2
134	в других	2	2
135	движение в	3	2
136	учение о	3	2
137	что все	6	2
138	ничего не	2	2
139	хотя и	4	2
140	не есть	4	2
141	в своей	4	2
142	момент в	3	2
143	по себе	5	2
144	не имеет	6	2
145	к этому	2	2
146	ни у	1	2
147	самого конца	1	2
148	том что	28	2
149	в глубину	1	2
150	и для	5	2
151	в ее	7	2
152	подойти к	1	2
153	но в	9	2
154	вокруг которого	1	1
155	уже с	1	1
156	психология не	1	1
157	чтобы сделать	2	1
158	что было	2	1
159	говорит достоевский	1	1
160	мысли он	1	1
161	ближе к	2	1
162	во всем	4	1
163	к одному	1	1
164	этой и	1	1
165	в каждом	3	1
166	и весь	3	1
167	во всяком	2	1
168	не так	1	1
169	ко всему	2	1
170	ни к	1	1
171	его и	2	1
172	совершенно ином	1	1
173	во внешнем	1	1
174	совершенно не	2	1
175	а потому	1	1
176	но вопрос	1	1
177	но оно	1	1
178	над ними	2	1
179	для его	2	1
180	а с	3	1
181	и самое	2	1
182	не существует	1	1
183	в центре	2	1
184	все его	1	1
185	и других	5	1
186	и всякий	1	1
187	к другу	4	1
188	один из	3	1
189	в котором	6	1
190	и здесь	5	1
191	та же	2	1
192	по природе	2	1
193	и состоит	3	1
194	друг к	3	1
195	он ни	1	1
196	они и	2	1
197	ней не	1	1
198	и лишь	1	1
199	после того	1	1
200	она должна	2	1
201	и сделали	1	1
202	человека не	1	1
203	в пределе	3	1
204	того как	6	1
205	жизни а	1	1
206	и пр	1	1
207	этого она	1	1
208	и заключается	3	1
209	и везде	2	1
210	его с	3	1
211	она не	7	1
212	том как	2	1
213	мы не	10	1
214	остается до	1	1
215	смысле слова	1	1
216	связана с	4	1
217	не идет	1	1
218	еще более	1	1
219	также и	2	1
220	ту же	4	1
221	но не	13	1
222	это должно	1	1
223	по сравнению	23	1
224	это все	1	1
225	силе и	1	1
226	не по	7	1
227	представляет собой	23	1
228	но всегда	2	1
229	быть не	1	1
230	в ней	5	1
231	из всех	5	1
232	это часто	1	1
233	этой природы	1	1
234	главное и	2	1
235	на два	1	1
236	и судьбу	2	1
237	самому себе	2	1
238	его речь	1	1
239	что это	7	1
240	свою мысль	2	1
241	и тогда	3	1
242	а это	2	1
