N	2gram	Bakhtin_KF	Vladivir
1	и в	28	116
2	то что	7	71
3	и не	28	67
4	не только	5	65
5	в этом	15	53
6	в том	6	52
7	том что	4	51
8	что в	4	48
9	но и	9	47
10	в его	42	40
11	и с	1	39
12	то есть	1	37
13	и даже	1	36
14	также и	1	36
15	же с	2	34
16	потому что	2	33
17	что он	2	32
18	не может	29	31
19	о том	3	30
20	только в	18	30
21	как мы	1	29
22	никогда не	5	29
23	для него	13	29
24	вовсе не	7	27
25	а в	5	27
26	не было	8	26
27	а к	1	25
28	в себе	21	25
29	но в	5	25
30	в то	3	25
31	и то	2	25
32	и его	18	25
33	точки зрения	13	23
34	между прочим	1	23
35	он не	6	23
36	может быть	45	23
37	ни в	12	22
38	теоретической философии	1	22
39	так как	1	22
40	в виде	2	22
41	об этом	1	22
42	в своей	11	21
43	вместе с	1	21
44	а именно	1	20
45	в своем	17	20
46	теоретическая философия	1	20
47	для нас	4	20
48	прежде всего	4	20
49	не менее	3	19
50	по поводу	1	19
51	как раз	1	19
52	тем не	2	19
53	так и	2	19
54	и потому	2	19
55	как и	5	18
56	не мог	1	18
57	не в	13	18
58	не был	1	18
59	хотя и	1	18
60	как это	1	18
61	с его	2	18
62	что и	7	17
63	в этой	2	17
64	едва ли	2	17
65	а не	17	17
66	все же	5	16
67	уже не	7	16
68	к тому	1	16
69	не есть	22	16
70	совсем не	2	16
71	для себя	7	16
72	и все	9	16
73	было бы	8	16
74	того что	3	16
75	в котором	24	16
76	и к	1	15
77	то же	5	15
78	в своих	4	15
79	к этому	2	15
80	несмотря на	1	15
81	до конца	3	15
82	но это	6	15
83	это было	2	15
84	того же	1	14
85	все эти	11	14
86	раз и	2	14
87	его жизни	3	14
88	мы уже	1	14
89	и на	3	14
90	и как	2	14
91	во всем	7	13
92	в результате	1	13
93	с тем	2	13
94	можно сказать	1	13
95	не просто	1	13
96	и от	1	13
97	что это	4	13
98	дело в	2	13
99	жизни и	8	13
100	по себе	2	12
101	только на	1	12
102	и это	12	12
103	и по	1	12
104	в нем	32	12
105	содержит в	1	12
106	если не	2	12
107	всяком случае	1	12
108	ничего не	3	12
109	во всяком	1	12
110	есть только	1	12
111	при этом	4	11
112	него в	1	11
113	в данном	2	11
114	хотя бы	5	11
115	в которой	1	11
116	я не	6	11
117	на то	1	11
118	и здесь	7	11
119	в отношении	1	11
120	это есть	2	11
121	все это	10	11
122	мы должны	1	11
123	и о	1	11
124	в самом	1	10
125	что все	1	10
126	с точки	10	10
127	в качестве	2	10
128	отнюдь не	7	10
129	к нему	12	10
130	с ним	5	10
131	еще не	5	10
132	в истории	1	10
133	здесь не	3	10
134	он и	2	10
135	о нем	4	10
136	в ней	3	10
137	но не	12	10
138	именно в	5	9
139	с этим	1	9
140	смысле слова	1	9
141	но он	1	9
142	и можно	1	9
143	а только	1	9
144	но как	5	9
145	а с	2	9
146	не будет	2	9
147	этом смысле	3	9
148	мы будем	1	9
149	отношения к	1	9
150	своей жизни	1	9
151	что мы	1	9
152	для меня	22	9
153	это не	10	9
154	же время	2	9
155	истории философии	1	9
156	в целом	10	9
157	это значит	1	8
158	в этих	1	8
159	тем что	3	8
160	в это	2	8
161	свое бытие	2	8
162	которой он	2	8
163	в этот	1	8
164	конечно не	7	8
165	себя в	8	8
166	и он	1	8
167	в смысле	6	8
168	в чем	4	8
169	значит что	1	8
170	как в	2	8
171	со стороны	8	8
172	должно быть	6	8
173	как бы	9	8
174	и для	10	8
175	тот же	3	8
176	и я	6	8
177	когда он	1	8
178	отношение к	6	8
179	в одном	5	7
180	но все	6	7
181	к ней	1	7
182	что этот	3	7
183	на первом	2	7
184	в нашем	1	7
185	и мы	2	7
186	себе и	3	7
187	о его	1	7
188	и есть	10	7
189	здесь мы	4	7
190	если бы	8	7
191	к его	1	7
192	не имеет	6	7
193	в каком	4	7
194	философии но	2	7
195	ничего общего	2	7
196	бы и	3	7
197	того чтобы	2	7
198	из его	3	7
199	нисколько не	4	7
200	на его	1	7
201	другими словами	1	7
202	и ни	3	7
203	или как	2	7
204	же в	1	7
205	можно говорить	1	6
206	и очень	1	6
207	же и	1	6
208	тому что	2	6
209	мысли и	1	6
210	в виду	3	6
211	его на	2	6
212	для того	3	6
213	настоящее время	1	6
214	если мы	1	6
215	той же	1	6
216	его в	5	6
217	чем в	1	6
218	том же	1	6
219	что она	1	6
220	но только	1	6
221	по своей	1	6
222	не раз	1	6
223	главным образом	1	6
224	не с	1	6
225	и из	1	6
226	должен был	1	6
227	у канта	1	6
228	и теперь	1	6
229	в настоящее	1	6
230	мы не	3	6
231	которых он	1	6
232	а это	2	6
233	и тут	1	6
234	здесь в	1	6
235	но я	2	6
236	по своему	3	6
237	жизнь и	2	6
238	ко всему	5	6
239	в жизни	2	6
240	от того	3	6
241	такой же	1	6
242	само по	1	6
243	и наконец	1	6
244	еще более	2	5
245	и до	1	5
246	но мы	1	5
247	вопрос о	2	5
248	в каких	1	5
249	быть в	4	5
250	будем говорить	1	5
251	понятие о	1	5
252	вся эта	2	5
253	бы то	2	5
254	во всех	11	5
255	и за	2	5
256	в философии	1	5
257	то ни	2	5
258	и тем	3	5
259	с которым	1	5
260	можно только	1	5
261	один из	2	5
262	сводится к	2	5
263	и так	1	5
264	жизни в	5	5
265	основы жизни	1	5
266	нет ничего	1	5
267	в свою	3	5
268	мы имеем	5	5
269	что я	5	5
270	только при	1	5
271	друг друга	1	5
272	он как	1	5
273	ее в	1	5
274	где он	3	5
275	не содержит	1	5
276	первом плане	2	5
277	место в	6	5
278	в их	9	5
279	этого не	1	5
280	а то	1	5
281	на все	1	5
282	но уже	1	5
283	но его	1	5
284	только к	1	5
285	она не	2	5
286	еще на	1	5
287	философии в	2	5
288	бытия и	10	5
289	в области	2	5
290	и только	7	5
291	которой мы	1	5
292	не к	1	5
293	только что	1	4
294	ровно ничего	1	4
295	все дело	1	4
296	их в	1	4
297	поскольку он	3	4
298	относиться к	1	4
299	но этот	2	4
300	уже и	1	4
301	пока еще	1	4
302	философия в	1	4
303	были в	1	4
304	и весь	4	4
305	только не	1	4
306	есть его	2	4
307	мы можем	1	4
308	нет и	3	4
309	или не	1	4
310	не о	2	4
311	но для	3	4
312	ясно что	3	4
313	уже давно	1	4
314	всех своих	4	4
315	если оно	1	4
316	на этом	1	4
317	в духе	1	4
