N	3gram	Voloshinov	SlovoVZh
1	по отношению к	3	11
2	не может быть	4	7
3	в том что	2	4
4	героя и слушателя	2	3
5	этой точки зрения	1	3
6	тем не менее	1	3
7	и не может	1	3
8	может быть и	1	3
9	на самом деле	1	2
10	художественного произведения и	1	2
11	то же самое	1	2
12	одно и то	3	2
13	отношению к предмету	1	2
14	в данном случае	2	2
15	в зависимости от	2	2
16	с одной стороны	2	2
17	с другой стороны	2	2
18	нет ничего пагубнее	1	2
19	и то же	2	2
20	с точки зрения	5	2
21	но тем не	1	2
22	данной социальной группы	1	1
23	автора героя и	2	1
24	взаимодействия творца и	1	1
25	является таким образом	1	1
26	и уж конечно	1	1
27	включает в себя	1	1
28	в самом деле	2	1
29	один и тот	1	1
30	в науке о	1	1
31	таким образом лишь	1	1
32	таким образом мы	1	1
33	ничего общего с	2	1
34	и тот же	1	1
35	как и в	1	1
36	не только его	2	1
37	наметить хотя бы	1	1
38	группы как бы	1	1
39	их абстрактными моментами	1	1
40	но в то	1	1
41	структуру всего целого	1	1
42	и уже отсюда	1	1
43	может идти только	1	1
44	равно как и	1	1
45	только то что	1	1
46	подобно тому как	1	1
47	с самого начала	2	1
48	в конечном счете	1	1
49	жизненного высказывания и	1	1
50	вступает в свои	1	1
51	к слову в	1	1
52	можно было бы	1	1
53	в этом отношении	1	1
54	так же как	1	1
55	то же время	1	1
56	далеко не всегда	1	1
57	на который опирается	1	1
58	мы должны различать	1	1
59	между тем как	1	1
60	в свои права	1	1
61	тех или иных	1	1
62	выбор слова и	1	1
63	не должно быть	1	1
64	более или менее	1	1
65	в то же	1	1
66	быть понята и	1	1
67	творца и созерцателей	1	1
68	едва ли кто-нибудь	1	1
69	том что в	1	1
70	здесь мы должны	1	1
71	все эти три	1	1
72	ничего пагубнее для	1	1
73	нам кажется что	1	1
74	в жизненной речи	2	1
