N	2gram	Propp_Isto	NovoeSre
1	а не	9	17
2	не может	19	16
3	и в	41	16
4	совсем не	1	12
5	и не	12	11
6	и есть	2	10
7	что в	21	9
8	в том	14	8
9	как не	1	8
10	жизни и	3	8
11	он не	8	8
12	в этом	19	7
13	может быть	19	7
14	не будет	6	7
15	это есть	1	7
16	как и	8	7
17	к новому	1	7
18	ни в	4	6
19	не знает	2	6
20	не в	12	6
21	с его	4	6
22	но это	5	6
23	никогда не	16	6
24	и к	1	5
25	не только	30	5
26	в ней	4	5
27	все это	9	5
28	xix века	1	5
29	в жизни	2	5
30	в нем	12	5
31	с ее	1	5
32	должен быть	2	5
33	и потому	1	4
34	вступаем в	1	4
35	по своему	1	4
36	со всех	1	4
37	должно быть	1	4
38	потому что	13	4
39	большую роль	1	4
40	это не	14	4
41	прежде всего	6	4
42	в них	4	4
43	то что	12	4
44	не было	3	4
45	и все	6	4
46	всех сторон	1	4
47	не менее	5	4
48	не имеет	6	4
49	значит что	3	4
50	эпохи и	1	4
51	о том	15	4
52	к лицу	1	3
53	во всех	8	3
54	вопрос о	6	3
55	не означает	1	3
56	в наши	1	3
57	и пр	2	3
58	должна быть	3	3
59	она не	3	3
60	уносит в	1	3
61	в ее	3	3
62	что такое	2	3
63	лицом к	1	3
64	конечно не	2	3
65	не существует	1	3
66	в новое	1	3
67	с другой	20	3
68	в основе	2	3
69	к ним	3	3
70	бога и	1	3
71	сказать что	5	3
72	наряду с	2	3
73	жизни которые	1	3
74	духа и	1	3
75	с тем	8	3
76	не значит	1	3
77	не есть	1	3
78	в своей	4	3
79	как в	17	3
80	но и	20	3
81	к тому	4	3
82	еще не	13	3
83	с этим	3	2
84	все они	1	2
85	более не	1	2
86	и от	5	2
87	еще до	1	2
88	и весь	1	2
89	силы и	1	2
90	и что	15	2
91	не могли	1	2
92	на протяжении	1	2
93	от религии	1	2
94	переходе от	1	2
95	что она	6	2
96	ли это	1	2
97	не имеют	3	2
98	и было	1	2
99	в религии	1	2
100	зависит от	1	2
101	самый процесс	1	2
102	с одной	12	2
103	на гибель	1	2
104	хотя бы	1	2
105	мы не	10	2
106	того чтобы	1	2
107	через женщину	1	2
108	вот почему	1	2
109	хотя и	3	2
110	так и	8	2
111	как это	6	2
112	если нет	1	2
113	но она	2	2
114	думать что	3	2
115	одной стороны	12	2
116	для чего	1	2
117	не могла	1	2
118	можно было	3	2
119	другой стороны	17	2
120	у него	16	2
121	а в	12	2
122	все время	2	2
123	когда мы	2	2
124	и даже	3	2
125	и формы	3	2
126	люди не	1	2
127	в свои	3	2
128	и с	4	2
129	государство и	1	2
130	не хотят	1	2
131	связана с	4	2
132	по существу	5	2
133	для этого	1	2
134	равно как	1	2
135	и начала	1	2
136	могут быть	3	2
137	в себе	3	2
138	том чтобы	3	2
139	и на	12	2
140	уже не	8	2
141	я не	1	2
142	не знал	2	2
143	что все	1	2
144	время как	4	2
145	помнить что	1	2
146	духа в	2	2
147	все эти	8	2
148	есть в	1	2
149	же как	6	2
150	такой же	3	2
151	вместе с	17	2
152	который в	1	2
153	одна из	7	2
154	мира и	2	2
155	как будто	4	2
156	но не	8	2
157	в то	6	2
158	стоят на	1	2
159	должно было	2	2
160	том что	18	2
161	в мировой	1	2
162	не будут	2	2
163	бытия в	1	2
164	так же	6	2
165	и это	9	2
166	можно назвать	1	2
167	но для	3	2
168	в одну	3	2
169	но в	7	2
170	формы и	2	2
171	обращение к	1	2
172	связаны с	4	2
173	вернуться но	1	1
174	вопрос об	1	1
175	женщины в	1	1
176	все в	2	1
177	всех своих	1	1
