N	3gram	Savitsky_P	Komedia
1	в том что	4	29
2	в то же	7	16
3	то же время	7	16
4	для того чтобы	1	11
5	вместе с тем	1	9
6	с одной стороны	3	9
7	с другой стороны	1	8
8	во всяком случае	1	7
9	в отличие от	1	6
10	в том числе	2	6
11	с точки зрения	3	6
12	до тех пор	1	6
13	и т д	1	5
14	за то что	1	5
15	чуть ли не	1	4
16	именно потому что	1	4
17	по сравнению с	1	4
18	более или менее	1	3
19	друг с другом	1	3
20	на пути к	1	3
21	но и в	2	3
22	том числе и	1	3
23	одной стороны и	2	2
24	в большинстве случаев	1	2
25	в этом смысле	1	2
26	в частности в	1	2
27	в отношении к	5	2
28	и в то	2	2
29	том что в	1	2
30	а в качестве	1	2
31	и тем более	1	2
32	так же как	1	2
33	и не менее	1	2
34	можно судить по	1	2
35	не только в	4	2
36	тем более что	1	2
37	потому что по	1	2
38	и как раз	2	1
39	что из этой	1	1
40	тех пор пока	1	1
41	в применении к	1	1
42	что уже в	1	1
43	не может быть	1	1
44	только в условиях	1	1
45	в борьбе с	1	1
46	в собственном смысле	1	1
47	можем представить себе	1	1
48	и если бы	2	1
49	в тот же	2	1
50	насколько мы можем	1	1
51	само по себе	1	1
52	в полной мере	2	1
53	и тем самым	1	1
54	не в отрыве	1	1
55	можно говорить о	1	1
56	и связывается с	1	1
57	только в виде	1	1
58	со столь же	1	1
59	но в этом	1	1
60	в нем в	1	1
61	мы не только	1	1
62	быта если в	1	1
63	есть для нас	1	1
64	или хотя бы	1	1
65	и не может	1	1
66	и в этом	1	1
67	и еще в	1	1
68	насколько можно судить	1	1
69	хотя и без	1	1
70	в ней и	1	1
71	закрывать глаза на	1	1
72	мы можем представить	1	1
73	в настоящее время	1	1
74	на чужбине и	1	1
75	не было бы	1	1
76	в этом стремлении	1	1
77	и в частности	1	1
78	в отрыве от	1	1
79	нет ничего более	1	1
80	и вслед за	1	1
81	в том виде	1	1
82	и не только	2	1
