N	2gram	Savitsky_P	Formalny
1	и в	14	95
2	т е	3	94
3	и не	12	78
4	может быть	5	66
5	в этом	10	61
6	не может	4	57
7	и пр	5	53
8	точки зрения	3	47
9	в нем	3	42
10	в его	2	42
11	прежде всего	3	41
12	с точки	3	40
13	как и	1	39
14	и т	3	37
15	в самом	1	35
16	не в	5	35
17	а не	2	34
18	но и	6	33
19	то же	9	32
20	не только	17	30
21	в пределах	8	28
22	в том	9	26
23	отнюдь не	2	26
24	если бы	4	26
25	то что	4	25
26	было бы	6	23
27	в ней	6	23
28	в то	7	22
29	и ее	1	22
30	и с	2	21
31	что в	4	21
32	в истории	1	21
33	как бы	4	21
34	с тем	3	20
35	не менее	2	20
36	же время	7	20
37	место в	1	20
38	по себе	4	19
39	хотя бы	8	19
40	т д	1	19
41	все это	2	19
42	все же	1	18
43	должна быть	1	18
44	только в	7	18
45	с его	1	18
46	именно как	2	17
47	как раз	2	17
48	во всяком	1	16
49	с другой	5	16
50	так же	1	16
51	всяком случае	1	16
52	потому что	3	16
53	именно в	2	15
54	должно быть	2	15
55	его в	1	15
56	во всех	2	15
57	и на	1	15
58	но в	9	15
59	в жизни	2	14
60	только на	1	14
61	в своем	4	14
62	в ее	2	14
63	в этой	1	14
64	вместе с	1	14
65	еще не	1	14
66	если мы	1	14
67	и потому	4	14
68	в результате	1	13
69	настоящее время	1	13
70	что и	1	13
71	могут быть	3	13
72	для них	2	13
73	сводится к	3	13
74	со стороны	2	13
75	в настоящее	1	13
76	того что	2	13
77	она не	1	13
78	а в	4	13
79	там где	1	12
80	и здесь	1	12
81	того чтобы	1	12
82	никогда не	1	11
83	между тем	3	11
84	в идеологическом	1	11
85	они не	1	11
86	в общем	2	11
87	но не	3	11
88	в большинстве	1	11
89	не как	1	10
90	другой стороны	1	10
91	не было	2	10
92	большинстве случаев	1	10
93	не есть	1	10
94	главным образом	2	10
95	с ее	1	10
96	дело идет	1	10
97	и теперь	1	10
98	тем же	1	10
99	друг друга	1	10
100	мы не	3	10
101	и как	3	10
102	на фоне	1	10
103	не о	2	10
104	еще более	2	9
105	говорить о	2	9
106	мы знаем	1	9
107	в каждом	1	9
108	литературы и	1	9
109	бы ни	2	9
110	отношения к	2	9
111	и к	4	8
112	в них	2	8
113	в данном	1	8
114	одной стороны	3	8
115	с одной	3	8
116	ясно что	1	8
117	же как	1	8
118	в других	1	8
119	что это	1	8
120	с этим	2	8
121	на основе	1	8
122	это не	3	8
123	должен быть	1	8
124	для того	3	8
125	в области	11	8
126	для этого	1	8
127	можно говорить	1	7
128	более или	1	7
129	применении к	1	7
130	в применении	1	7
131	что именно	1	7
132	вот как	1	7
133	из них	2	7
134	время в	2	7
135	в себе	3	7
136	столь же	3	7
137	творчества и	2	7
138	сами по	3	7
139	том что	4	7
140	и более	1	7
141	в какой	1	7
142	среды в	1	7
143	или менее	1	7
144	стороны и	2	7
145	как к	1	7
146	и только	1	7
147	те же	1	6
148	в живом	1	6
149	в этих	1	6
150	как она	1	6
151	если он	1	6
152	например в	2	6
153	он был	1	6
154	по преимуществу	1	6
155	и других	2	6
156	в которой	1	6
157	но для	1	6
158	и это	2	6
159	в смысле	6	6
160	и тем	2	6
161	в статье	2	6
162	от нее	1	6
163	в россии	3	6
164	из этих	1	6
165	именно на	1	6
166	уже в	1	6
167	в формах	1	6
168	нисколько не	1	6
169	особенно в	1	6
170	в частности	2	6
171	тем самым	3	6
172	какой бы	1	5
173	в рамки	1	5
174	в мире	2	5
175	в котором	4	5
176	вопрос о	1	5
177	связь между	1	5
178	как на	2	5
179	она есть	3	5
180	хотя и	3	5
181	не столько	2	5
182	что не	1	5
183	в эту	2	5
184	мы можем	1	5
185	и что	1	5
186	не могла	1	5
187	этом смысле	1	5
188	друг другу	2	5
189	и по	1	5
190	если в	2	5
191	в основном	1	5
192	в отношении	10	5
193	проблема и	1	5
194	что оно	1	5
195	отчасти и	1	5
196	не имеет	1	5
197	да и	2	5
198	ни на	1	5
199	бы и	1	5
200	в значительной	2	5
201	как проблема	1	5
202	в отличие	1	5
203	к предмету	1	5
204	и то	1	5
205	для нас	2	5
206	в эпоху	1	5
207	в условиях	1	5
208	отличие от	1	5
209	она должна	1	5
210	мы должны	4	5
211	еще в	1	5
212	же в	4	5
213	может и	2	5
214	что было	1	4
215	и другие	1	4
216	является в	2	4
217	мы и	1	4
218	к этой	1	4
219	этой последней	1	4
220	к другим	1	4
221	исходить из	1	4
222	только как	1	4
223	и должна	1	4
224	должна была	1	4
225	она ни	2	4
226	во всей	2	4
227	одна из	2	4
228	и этим	1	4
229	в годы	1	4
230	от тех	1	4
231	тогда когда	1	4
232	бы она	1	4
233	и смысла	1	4
234	нужно было	2	4
235	и чем	1	4
236	два явления	1	4
237	думать что	2	4
238	отношении к	5	4
239	знаем что	1	4
240	тот или	1	4
241	и о	5	4
242	в ином	1	4
243	исторической действительности	1	4
244	и тех	1	4
245	и притом	1	4
246	только то	1	4
247	не к	2	4
248	к сожалению	1	3
249	и очень	1	3
250	притом в	1	3
251	в это	1	3
252	было в	2	3
253	не об	1	3
254	в различных	1	3
255	ней и	1	3
256	формы в	1	3
