N	2gram	Medvedev_F	KulturaY
1	и т	22	143
2	т е	50	102
3	т п	11	93
4	и в	54	84
5	в том	17	74
6	потому что	2	68
7	не только	14	60
8	точки зрения	21	59
9	в этом	39	57
10	было бы	10	53
11	и не	34	52
12	может быть	30	47
13	что в	10	44
14	том что	3	44
15	того чтобы	4	44
16	т д	11	42
17	в самом	17	41
18	для того	3	41
19	у нас	6	38
20	хотя бы	10	37
21	самом деле	12	37
22	так как	4	36
23	с точки	17	36
24	в области	6	34
25	таким образом	28	33
26	а не	11	33
27	если бы	8	32
28	можно было	1	32
29	не в	16	30
30	и пр	30	30
31	в его	30	30
32	прежде всего	34	30
33	все же	8	29
34	не менее	12	28
35	того что	7	28
36	все эти	12	28
37	уже не	9	26
38	в языке	5	26
39	в силу	1	26
40	то что	14	25
41	русского языка	1	25
42	вовсе не	18	25
43	не может	26	25
44	вопрос о	3	24
45	с другой	8	24
46	еще не	6	24
47	то же	16	23
48	с помощью	13	23
49	только в	6	23
50	так и	24	23
51	языка в	8	22
52	тем не	2	21
53	по себе	10	20
54	во всяком	6	20
55	и что	2	20
56	но и	18	20
57	тем что	6	19
58	о том	1	19
59	речи в	1	19
60	что он	8	19
61	зависимости от	5	19
62	языка и	13	19
63	что же	6	19
64	всяком случае	6	19
65	но в	9	19
66	и с	17	18
67	с тем	11	18
68	к тому	6	18
69	в сущности	3	18
70	в качестве	2	18
71	связи с	12	18
72	между тем	4	18
73	вместе с	8	18
74	как бы	10	18
75	все это	11	18
76	в той	3	17
77	можно говорить	2	17
78	другой стороны	5	17
79	как это	8	17
80	что это	1	17
81	слова и	5	17
82	о языке	4	17
83	как раз	8	17
84	это не	4	17
85	в виду	2	16
86	в зависимости	4	16
87	что и	10	16
88	что не	4	16
89	ничего не	5	16
90	в русском	2	16
91	но не	5	16
92	при этом	14	15
93	именно в	12	15
94	в данном	2	15
95	как на	5	15
96	в нашем	2	15
97	том чтобы	3	15
98	не было	7	15
99	и тем	3	15
100	один из	4	15
101	по отношению	4	15
102	ни к	1	15
103	целый ряд	4	15
104	только потому	1	15
105	а в	11	15
106	лишь в	15	15
107	должно быть	13	15
108	в них	4	14
109	и на	10	14
110	сказать что	3	14
111	хотя и	3	14
112	что такое	2	14
113	в связи	11	14
114	сих пор	7	14
115	в ней	15	14
116	до сих	7	14
117	если мы	5	14
118	как мы	10	14
119	мы имеем	1	14
120	также и	1	14
121	отношению к	4	14
122	к языку	1	13
123	крайней мере	1	13
124	между прочим	1	13
125	в этой	10	13
126	там где	3	13
127	не могут	8	13
128	по крайней	1	13
129	той же	2	13
130	для нас	1	13
131	это и	7	13
132	по существу	8	13
133	в пределах	13	13
134	и его	27	13
135	с этой	4	12
136	говорить о	4	12
137	в результате	8	12
138	того же	1	12
139	ясно что	3	12
140	а только	4	12
141	вопроса о	2	12
142	этот вопрос	2	12
143	могут быть	7	12
144	как в	12	12
145	речь в	1	12
146	этого слова	4	12
147	однако не	5	12
148	для этого	6	12
149	те же	1	11
150	язык как	8	11
151	должен быть	5	11
152	языка как	11	11
153	в своем	12	11
154	речи и	2	11
155	он не	8	11
156	в нем	25	11
157	и здесь	8	11
158	должна быть	11	11
159	и то	1	11
160	что язык	2	11
161	совершенно не	5	11
162	из этих	4	11
163	и если	2	11
164	этом отношении	7	11
165	уже в	1	11
166	слова в	2	11
167	в их	16	11
168	в какой	3	11
169	или иной	1	11
170	в особенности	7	10
171	в первом	8	10
172	как и	18	10
173	так же	5	10
174	конечно не	5	10
175	к этому	3	10
176	несмотря на	2	10
177	бы в	6	10
178	ту же	1	10
179	этом смысле	3	10
180	в общем	8	10
181	в то	14	10
182	вряд ли	2	10
183	со стороны	7	10
184	в каком	1	10
185	с этим	6	10
186	они не	7	10
187	бы и	1	10
188	на фоне	7	10
189	тем более	1	10
190	того или	6	10
191	тех же	2	10
192	тем самым	5	10
193	от того	2	10
194	что слово	1	9
195	в своей	16	9
196	можно сказать	2	9
197	xix века	1	9
198	в которой	5	9
199	но для	4	9
200	очевидно что	2	9
201	рядом с	1	9
202	здесь не	5	9
203	мы говорим	4	9
204	и есть	1	9
205	слова как	2	9
206	или иного	8	9
207	ни в	3	9
208	не имеет	2	9
209	но это	4	9
210	и для	5	9
211	дает нам	1	9
212	и вот	2	9
213	а также	1	9
214	ли не	1	9
215	но уже	1	9
216	на то	2	9
217	в целом	7	9
218	своего рода	1	8
219	в этих	3	8
220	но все	4	8
221	в структуре	2	8
222	что они	4	8
223	по преимуществу	6	8
224	с одной	5	8
225	в таком	2	8
226	тому что	3	8
227	не есть	4	8
228	в чем	2	8
229	смысл и	2	8
230	в своих	3	8
231	в тех	1	8
232	отнюдь не	13	8
233	мы видели	5	8
234	в статье	5	8
235	был бы	2	8
236	е как	3	8
237	заключается в	1	8
238	да и	1	8
239	то и	2	8
240	тех пор	1	8
241	только тогда	1	8
242	слов и	1	8
243	состоит в	3	8
244	с его	12	8
245	этом случае	1	8
246	независимо от	5	8
247	на самом	8	8
248	литературный язык	6	8
249	и как	6	8
250	мере в	1	8
251	не говоря	1	8
252	в частности	4	8
253	далеко не	2	8
254	и о	3	8
255	же в	4	8
256	что на	3	8
257	же и	2	7
258	следует что	3	7
259	например в	1	7
260	а именно	3	7
261	нам не	1	7
262	в котором	2	7
263	в одном	2	7
264	свою очередь	6	7
265	была бы	4	7
266	той мере	1	7
267	указать на	2	7
268	то только	1	7
269	учение о	4	7
270	так сказать	6	7
271	к вопросу	2	7
272	а с	1	7
273	языке как	5	7
274	не значит	1	7
275	столь же	2	7
276	чуть ли	1	7
277	одной стороны	5	7
278	в процессе	17	7
279	и должно	4	7
280	с ним	3	7
281	сводится к	6	7
282	есть лишь	3	7
283	как о	8	7
284	с ними	1	7
285	в слове	4	7
286	и более	4	7
287	идет о	3	7
288	в свою	8	7
289	в истории	10	7
290	до конца	9	7
291	бы сказать	1	7
292	на этот	1	7
293	в самой	2	7
294	в поэзии	5	7
295	все равно	1	7
296	в г	1	7
297	смысле этого	4	7
298	лишь с	1	7
299	и вовсе	1	7
300	нисколько не	2	7
301	и потому	9	7
302	том случае	2	7
303	до тех	1	7
304	она не	8	7
305	не знает	1	7
306	когда он	3	7
