N	3gram	Savitsky_E	OGranits
1	с точки зрения	16	5
2	не может быть	2	4
3	в том что	6	2
4	того или иного	4	2
5	в данном случае	2	2
6	но так как	1	2
7	в пределах данной	1	2
8	с одной стороны	8	2
9	с другой стороны	2	2
10	и тот же	1	1
11	чуть ли не	1	1
12	так и для	1	1
13	но в то	2	1
14	не может в	1	1
15	в значительной мере	1	1
16	так же как	5	1
17	тех или иных	1	1
18	на то что	2	1
19	для того чтобы	5	1
20	хотя бы в	2	1
21	то или иное	1	1
22	в последнее время	1	1
23	что в этом	1	1
24	тех случаях когда	1	1
25	один и тот	1	1
26	в отличие от	1	1
27	выходит за пределы	1	1
28	этой точки зрения	5	1
29	ту или иную	3	1
30	в связи с	1	1
31	ориентироваться не на	1	1
32	то что в	2	1
33	же время в	1	1
34	к тому что	1	1
35	существует только в	1	1
36	та или иная	1	1
37	в этом отношении	3	1
38	то же время	14	1
39	более или менее	1	1
40	в то же	15	1
41	само по себе	4	1
42	прежде всего в	2	1
43	почти никогда не	1	1
44	с этой точки	5	1
45	можно было бы	3	1
46	мы не можем	1	1
47	в тех случаях	1	1
48	нам кажется что	2	1
49	а также и	1	1
50	указать на то	1	1
51	может быть и	1	1
