N	3gram	Vinokur_Vv	UchenyiS
1	не может быть	10	4
2	то ни было	1	3
3	с другой стороны	5	3
4	бы то ни	1	3
5	в то же	6	3
6	то же время	6	3
7	и то что	3	2
8	в том что	15	2
9	в самом деле	6	2
10	не могут быть	2	2
11	до сих пор	7	2
12	хотя бы и	2	2
13	тех или иных	3	2
14	а между тем	2	2
15	в конце концов	2	2
16	смысле этого термина	1	2
17	то же самое	3	2
18	в этом отношении	4	2
19	по крайней мере	4	2
20	в этом смысле	10	2
21	что по его	1	1
22	наука о литературе	1	1
23	что этот процесс	1	1
24	имеем в виду	1	1
25	а для второго	1	1
26	есть язык в	1	1
27	и т.д в	2	1
28	сам по себе	2	1
29	и в конце	1	1
30	язык в его	1	1
31	так или иначе	4	1
32	но что такое	1	1
33	мы можем его	1	1
34	же самое что	2	1
35	по меньшей мере	2	1
36	то о чем	1	1
37	в широком смысле	7	1
38	в своей работе	1	1
39	но в то	3	1
40	может быть в	2	1
41	что в своей	1	1
42	что мы можем	1	1
43	с тем что	3	1
44	большей или меньшей	3	1
45	с одной стороны	4	1
46	может быть оправдано	1	1
47	можно сказать что	3	1
48	это не только	2	1
49	самом деле есть	1	1
50	в значительной мере	2	1
51	это то же	1	1
52	не было бы	1	1
53	как на элемент	1	1
54	но для первого	1	1
55	вот почему в	1	1
56	или меньшей степени	1	1
57	находит себе применение	1	1
58	не в том	2	1
59	а не только	1	1
60	и истории литературы	1	1
61	только в этом	1	1
62	чем то что	1	1
63	не только в	4	1
64	одним из самых	1	1
65	и прежде всего	1	1
66	более или менее	1	1
67	в данном случае	4	1
68	само по себе	4	1
69	мы имеем в	1	1
70	в точном смысле	1	1
71	в этом случае	6	1
72	в большей или	1	1
73	на одно из	1	1
74	в течение многих	2	1
