N	4gram	Bakhtin_Pr	Dialekti
1	не что иное как	1	18
2	в то же время	3	14
3	есть не что иное	1	11
4	в то время как	1	8
5	не говоря уже о	1	7
6	в коем случае не	2	6
7	и в то же	2	6
8	ни в коем случае	2	6
9	ни от чего не	1	5
10	и тем не менее	1	5
11	не в том что	1	5
12	в том смысле что	1	4
13	с одной стороны и	1	4
14	иметь в виду что	1	4
15	с точки зрения самого	2	3
16	несмотря на то что	1	3
17	на самом же деле	1	3
18	мы можем сказать что	1	3
19	но в то же	1	3
20	во что бы то	1	2
21	что бы то ни	1	2
22	но если так то	1	2
23	ни к чему не	1	2
24	не выходя за пределы	2	2
25	и прежде всего от	1	2
26	дело в том что	1	2
27	ни в чем не	2	2
28	не может и не	2	2
29	бы то ни стало	1	2
30	никогда не может быть	1	1
31	именно в том что	1	1
32	в том и в	1	1
33	и его значение в	1	1
34	том и в другом	1	1
35	вопрос о том как	1	1
36	и т д мы	1	1
37	суть не более как	1	1
38	сами по себе не	1	1
39	бы то ни было	2	1
40	не могли найти себе	1	1
41	каково бы ни было	1	1
42	должно быть ясно что	1	1
43	если бы не было	1	1
44	и в том и	1	1
45	и не может быть	1	1
46	может и не должна	2	1
47	не чем иным как	1	1
48	за его пределы и	1	1
49	не есть ли это	1	1
50	в первом случае мы	1	1
51	не нуждается ни в	1	1
52	и с точки зрения	1	1
53	ни в какой мере	1	1
54	и в этом отношении	1	1
