N	2gram	Kanaev_Sov	TeoriaLi
1	в мире	1	26
2	не только	4	24
3	и в	7	24
4	может быть	12	22
5	при этом	3	20
6	в том	4	20
7	и не	6	17
8	а в	4	15
9	а не	3	14
10	в себе	3	14
11	такого рода	2	13
12	но не	1	13
13	в этом	7	12
14	но в	3	12
15	в его	2	12
16	то же	3	12
17	том что	1	11
18	точки зрения	12	11
19	и его	1	11
20	что в	2	10
21	по отношению	1	10
22	отношению к	1	10
23	только в	1	9
24	в данном	1	9
25	с другой	1	9
26	не в	3	9
27	в то	1	9
28	же время	1	8
29	как бы	4	8
30	не может	17	8
31	в самом	2	7
32	или иной	2	7
33	и т.п	1	7
34	в отличие	2	7
35	в своем	1	7
36	мы имеем	1	7
37	отличие от	2	7
38	в области	3	7
39	в нем	3	7
40	конечном счете	1	6
41	как и	6	6
42	не менее	2	6
43	приводит к	2	6
44	еще не	3	6
45	уже не	2	6
46	с его	1	6
47	в конечном	1	6
48	между ними	1	6
49	ни в	1	5
50	не является	1	5
51	жизни как	1	5
52	по преимуществу	1	5
53	данном случае	1	5
54	он не	1	5
55	могут быть	2	5
56	не случайно	1	5
57	в другом	1	4
58	говорить о	2	4
59	и т.д	3	4
60	сказать что	1	4
61	в нашем	2	4
62	никогда не	1	4
63	это не	4	4
64	хотя и	1	4
65	его в	1	4
66	не знает	1	4
67	так в	1	4
68	в свою	2	4
69	и что	2	4
70	того же	1	4
71	с ее	1	4
72	в целом	4	4
73	и к	3	3
74	и составляет	1	3
75	во втором	1	3
76	в таком	2	3
77	только не	1	3
78	если бы	1	3
79	все эти	5	3
80	именно в	1	3
81	их в	4	3
82	роль в	2	3
83	тем не	2	3
84	свою очередь	2	3
85	между собой	3	3
86	одной стороны	1	3
87	между двумя	1	3
88	в одном	3	3
89	на две	3	3
90	во всей	1	3
91	из этих	2	3
92	и для	1	3
93	таким образом	11	3
94	с одной	2	3
95	и потому	3	3
96	с точки	5	3
97	к которому	1	3
98	прежде всего	5	3
99	а на	2	3
100	связи с	1	3
101	или в	1	3
102	без остатка	1	3
103	в связи	1	3
104	вовсе не	1	3
105	той или	1	3
106	во всех	1	3
107	тот или	2	3
108	в которой	2	3
109	не будет	1	3
110	он должен	2	3
111	к области	1	3
112	этом смысле	1	3
113	в этой	3	3
114	и по	2	3
115	отнюдь не	3	3
116	о жизни	2	2
117	один из	1	2
118	если в	1	2
119	на второй	1	2
120	на этом	2	2
121	из которых	2	2
122	а затем	1	2
123	мы в	1	2
124	по себе	1	2
