N	4gram	Losev_Prob	Literetu
1	с этой точки зрения	1	5
2	бы то ни было	4	4
3	с одной стороны и	1	3
4	в том числе и	1	3
5	но с другой стороны	2	3
6	только в том что	1	2
7	не говоря уже об	1	2
8	дело в том что	3	2
9	же самое можно сказать	1	2
10	поскольку речь идет о	1	2
11	то же самое можно	2	2
12	одно и то же	3	2
13	как это могло бы	1	1
14	не что иное как	6	1
15	а не так как	1	1
16	и тем не менее	6	1
17	в ее революционном развитии	1	1
18	русской классической литературы как	1	1
19	может быть каким угодно	1	1
20	все более и более	1	1
21	для нас как раз	1	1
22	только на то что	1	1
23	и то же в	1	1
24	в войне и мире	1	1
25	и в то же	2	1
26	одного и того же	1	1
27	можно было бы представить	1	1
28	еще и еще раз	1	1
29	существует только потому что	1	1
30	но это и не	1	1
31	мы имеем дело в	1	1
32	в том что он	1	1
33	той или иной мере	3	1
34	не имеет ничего общего	3	1
35	в том что этот	1	1
36	а иной раз и	1	1
37	имеет ничего общего с	1	1
38	на том или ином	1	1
39	в той или иной	7	1
40	одним и тем же	1	1
41	какой бы то ни	1	1
