N	2gram	Bakhtin_Pr	Vvedenie
1	в том	22	38
2	в этом	24	35
3	и в	83	35
4	может быть	23	30
5	том что	9	30
6	не только	14	26
7	для того	1	23
8	таким образом	9	21
9	также и	5	20
10	не может	18	19
11	то что	14	19
12	потому что	9	18
13	только в	10	16
14	со стороны	1	16
15	о том	3	16
16	так как	12	15
17	языка и	1	15
18	в общем	2	14
19	что в	5	13
20	в самом	7	13
21	и не	41	13
22	в нем	21	13
23	в его	15	12
24	того что	1	12
25	в их	7	12
26	точки зрения	17	12
27	как на	1	12
28	то же	10	11
29	в ее	3	11
30	по себе	3	11
31	в данном	1	11
32	этом смысле	5	11
33	как мы	12	11
34	прежде всего	20	10
35	не в	10	10
36	вопрос о	1	10
37	между тем	2	10
38	в той	2	10
39	уже и	1	10
40	но в	12	10
41	дело с	1	9
42	тем не	2	9
43	смысле этого	3	9
44	все же	3	9
45	из этих	3	9
46	но не	9	9
47	и как	1	9
48	не менее	4	9
49	в истории	4	9
50	это не	10	8
51	в качестве	1	8
52	именно в	3	8
53	о котором	1	8
54	а только	2	8
55	широком смысле	3	8
56	можно было	2	8
57	с другой	4	8
58	представить себе	1	7
59	и то	2	7
60	до сих	8	7
61	смысле слова	2	7
62	в применении	1	7
63	в большей	5	7
64	в широком	2	7
65	как и	13	7
66	но и	16	7
67	сих пор	8	7
68	в разных	4	7
69	было бы	6	7
70	этот вопрос	3	7
71	как бы	27	7
72	один из	7	6
73	об этом	3	6
74	этом случае	1	6
75	все это	11	6
76	не могут	4	6
77	его в	4	6
78	на этот	1	6
79	тем что	2	6
80	вместе с	5	6
81	в которых	2	6
82	же время	8	6
83	и это	3	6
84	так например	2	6
85	вовсе не	12	6
86	уже не	5	6
87	применении к	1	6
88	и даже	5	6
89	хотя бы	6	6
90	нельзя не	1	6
91	и что	3	6
92	как он	4	6
93	сказать что	12	6
94	могут быть	5	6
95	но если	4	6
96	и его	13	6
97	в то	8	6
98	а в	4	6
99	иное как	1	6
100	на почве	1	5
101	а потому	1	5
102	уже в	3	5
103	внимание на	1	5
104	с этой	1	5
105	хотя и	10	5
106	язык как	1	5
107	что и	4	5
108	в виду	3	5
109	другой стороны	3	5
110	с их	3	5
111	в них	4	5
112	но с	2	5
113	одним из	6	5
114	дело в	3	5
115	что не	1	5
116	не есть	1	5
117	что он	6	5
118	что иное	1	5
119	от этого	1	5
120	по своему	6	5
121	данном случае	1	5
122	культуры в	1	5
123	во всяком	2	5
124	языка в	1	5
125	как уже	1	5
126	так что	1	5
127	и тем	4	5
128	а не	19	5
129	говорить о	2	5
130	есть и	4	5
131	дело не	1	5
132	в различных	1	5
133	не что	1	5
134	и т.д	5	5
135	а как	4	5
136	независимо от	1	5
137	не просто	1	5
138	в целом	3	5
139	как это	2	5
140	есть не	1	5
141	всяком случае	1	5
142	в особенности	2	4
143	в более	5	4
144	в центре	4	4
145	здесь нет	2	4
146	тогда когда	1	4
147	любовь к	4	4
148	с точки	13	4
149	этом отношении	1	4
150	о чем	2	4
151	как раз	6	4
152	в результате	2	4
153	по мере	3	4
154	в себе	10	4
155	должен был	1	4
156	так или	1	4
157	но все	1	4
158	или иначе	1	4
159	в одном	4	4
160	в котором	8	4
161	заключается в	1	4
162	традиции и	2	4
163	и ее	8	4
164	но ведь	3	4
165	что могло	2	4
166	как она	1	4
167	в своей	5	4
168	да и	3	4
169	сравнению с	6	4
170	в чем	1	4
171	к тому	2	4
172	по крайней	2	4
173	еще не	10	4
174	однако не	1	4
175	не имеет	1	4
176	времени и	4	4
177	в каждом	5	4
178	еще и	4	4
179	и заключается	2	4
180	даже и	3	4
181	по сравнению	6	4
182	связана с	3	4
183	в чисто	2	4
184	по отношению	6	4
185	мы имеем	4	4
186	не вполне	1	4
187	свой материал	1	4
188	отличие от	1	4
189	истории и	2	4
190	в отличие	1	4
191	крайней мере	2	4
192	можно сказать	12	4
193	той же	6	4
194	отношению к	5	4
195	одной из	6	4
196	в области	6	4
197	все более	2	4
198	только с	3	4
199	и для	5	4
200	и обратно	1	4
201	из них	7	4
202	этого термина	1	3
203	всего того	1	3
204	своего рода	7	3
205	истории литературы	1	3
206	и к	13	3
207	и этого	1	3
208	в свое	4	3
209	с этим	3	3
210	собственном смысле	3	3
211	что с	1	3
212	и здесь	4	3
213	и на	27	3
214	как две	1	3
215	этой области	2	3
216	того как	4	3
217	и вот	1	3
218	обе эти	3	3
219	понятно что	1	3
220	именно как	3	3
221	при этом	6	3
222	что это	2	3
223	в сущности	15	3
224	говорит о	2	3
225	из которых	2	3
226	не как	5	3
227	в отношении	3	3
228	в этих	8	3
229	чем в	2	3
230	связи с	1	3
231	если бы	1	3
232	и сам	1	3
233	строгом смысле	2	3
234	а также	4	3
235	в силу	1	3
236	в очень	2	3
237	мы говорим	2	3
238	история и	1	3
239	нет надобности	1	3
240	в конце	5	3
241	вообще не	1	3
