N	4gram	Voloshinov	TeoriaLi
1	в то же время	7	8
2	одного и того же	9	4
3	в том числе и	3	2
4	ни в коем случае	2	2
5	с этой точки зрения	1	2
6	он тем не менее	1	2
7	в коем случае не	1	2
8	в том что он	3	2
9	одно и то же	3	2
10	бы то ни было	11	2
11	но в то же	6	2
12	приводит к тому что	1	2
13	в их отношении к	1	1
14	бы они ни были	1	1
15	то же время эти	1	1
16	этого слова как и	1	1
17	в более или менее	1	1
18	не что иное как	1	1
19	с одной стороны и	1	1
20	в таком случае это	2	1
21	внутренней речи как бы	1	1
22	языка не может быть	1	1
23	по отношению к нему	1	1
24	дело в том что	1	1
25	в той или иной	3	1
26	– не может быть	1	1
27	не может быть и	4	1
28	одним и тем же	2	1
29	то же время они	1	1
30	какой бы то ни	3	1
31	– это и есть	2	1
32	в связи с этим	3	1
33	ни к чему не	1	1
34	более или менее широком	1	1
35	себе отчет в том	1	1
