N	2gram	Voloshinov	Stilisti
1	и в	3	42
2	не только	1	28
3	то же	1	16
4	но и	1	16
5	социального общения	2	14
6	и не	1	14
7	может быть	1	13
8	не может	4	13
9	точки зрения	1	11
10	ситуации и	1	10
11	в то	1	9
12	в ней	1	8
13	и на	1	7
14	же время	1	7
15	а не	1	7
16	в его	1	6
17	бы в	1	6
18	с точки	1	5
19	тому что	1	5
20	мы видим	1	4
21	один из	2	4
22	если бы	1	4
23	и все	1	4
24	к тому	1	4
25	в каждом	1	4
26	общения и	2	4
27	речь и	1	4
28	аудитории и	1	4
29	несмотря на	1	3
30	для него	1	3
31	и аудитории	1	3
32	связи с	1	3
33	всякого высказывания	1	3
34	и тому	1	3
35	во второй	1	3
36	нет и	1	3
37	в языке	1	2
38	с другими	1	2
39	и форму	1	2
40	нуждаются в	1	2
41	себе все	1	2
42	из этих	1	2
43	ни один	1	2
44	и больше	1	2
45	именно с	1	2
46	не из	1	2
47	в особенности	1	1
48	ведь жанр	1	1
49	если в	2	1
50	о художественной	1	1
51	теми или	1	1
52	бы на	1	1
53	или иными	1	1
54	самых первых	1	1
55	организующих сил	1	1
56	язык как	1	1
57	понимания этого	1	1
58	и событий	1	1
59	с теми	1	1
60	и предварительно	1	1
61	на месте	1	1
62	бессилия и	1	1
63	может не	1	1
64	не смог	1	1
65	в конкретном	1	1
66	не менее	1	1
67	его классовых	1	1
68	социально-иерархического взаимоотношения	1	1
69	тех же	1	1
70	социальной борьбы	1	1
71	вполне понятно	1	1
72	может и	1	1
73	произведения но	1	1
74	он в	1	1
75	при анализе	1	1
76	этого общения	1	1
77	сил которые	1	1
78	художественного произведения	1	1
79	языка как	1	1
80	вообще всякого	1	1
81	лучше всего	1	1
82	которые определяют	1	1
83	художественная речь	1	1
