N	4gram	Losev_Dial	EvropaiE
1	в то же время	3	14
2	и в то же	2	8
3	с одной стороны и	1	6
4	с этой точки зрения	4	5
5	бы то ни было	1	4
6	так же как и	1	3
7	можно сказать что в	1	2
8	заключается в том что	1	2
9	но в то же	1	2
10	и в этом смысле	1	2
11	и то и другое	1	1
12	одна и та же	3	1
13	не нужно думать что	1	1
14	в том что обе	1	1
15	и имеет место в	1	1
16	поскольку речь идет о	1	1
17	принимая во внимание что	1	1
18	не есть ли уже	1	1
19	в связи с этим	1	1
20	и это потому что	1	1
21	в то время как	6	1
22	не говоря уже о	6	1
23	но если так то	2	1
24	рассматривать с точки зрения	1	1
25	в том смысле что	1	1
26	в этом отношении с	1	1
