N	2gram	Bakhtin_sl	IolandNe
1	и с	10	3
2	что в	3	2
3	он не	5	2
4	должен быть	3	2
5	ничего не	5	2
6	и не	32	2
7	в этом	21	2
8	говорить о	2	1
9	все эти	15	1
10	для того	2	1
11	а в	10	1
12	и о	3	1
13	жил в	1	1
14	это было	2	1
15	и со	2	1
16	что для	1	1
17	для него	8	1
18	не остается	2	1
19	тех же	1	1
20	тем что	1	1
21	бы его	2	1
22	ибо и	1	1
23	того же	7	1
24	нам в	1	1
25	и др	17	1
26	его произведения	1	1
27	жизни и	5	1
28	с другой	8	1
29	в целом	3	1
30	человеке и	3	1
31	в эту	3	1
32	другой стороны	5	1
33	себя в	14	1
34	произведения и	2	1
35	автор не	4	1
36	то и	1	1
37	в материале	1	1
38	и еще	1	1
39	что при	1	1
40	как только	4	1
41	если бы	1	1
42	отношению к	2	1
43	по существу	3	1
44	и сам	4	1
45	того что	4	1
46	них не	2	1
47	а с	2	1
48	только для	1	1
49	и тот	1	1
50	автор и	3	1
51	а также	5	1
52	так и	22	1
53	автора и	6	1
54	в основе	8	1
55	в значительной	6	1
56	следовательно в	3	1
57	от этого	2	1
58	того чтобы	1	1
59	произведения это	1	1
60	и без	1	1
61	бы в	1	1
62	с жизнью	1	1
63	и ничего	1	1
64	не дает	1	1
65	есть только	1	1
66	и в	69	1
67	никогда не	9	1
68	все это	14	1
69	по отношению	2	1
70	и дети	1	1
71	со всеми	3	1
72	на котором	3	1
73	нисколько не	3	1
74	как о	2	1
75	то она	1	1
76	в них	11	1
