N	2gram	Medvedev_I	FransuaR
1	и в	1	367
2	в этом	2	112
3	и не	2	101
4	все эти	1	79
5	и др	1	72
6	в них	1	65
7	так и	1	65
8	и с	3	64
9	все это	1	62
10	что в	2	52
11	жизни и	1	40
12	он не	2	32
13	для него	1	32
14	никогда не	1	30
15	в основе	1	28
16	того чтобы	1	24
17	а в	1	22
18	тем что	1	22
19	и о	1	22
20	в значительной	1	20
21	а также	1	20
22	в эту	1	19
23	того же	1	19
24	эпизод с	1	19
25	с другой	1	19
26	со всеми	1	18
27	для того	1	17
28	того что	1	17
29	ничего не	2	16
30	по существу	1	14
31	и сам	1	13
32	и еще	1	13
33	бы в	1	13
34	это было	1	13
35	другой стороны	1	12
36	только для	1	12
37	по отношению	1	10
38	на котором	1	10
39	что для	1	10
40	в целом	1	10
41	и со	1	9
42	вплоть до	1	9
43	отношению к	1	9
44	от этого	1	8
45	это был	1	8
46	по поводу	1	8
47	как о	1	8
48	если бы	1	8
49	и без	1	8
50	с жизнью	1	7
51	и та	1	7
52	и очень	1	7
53	значительной мере	1	7
54	себя в	1	7
55	есть только	1	7
56	должен быть	2	7
57	страхом перед	1	6
58	не остается	1	6
59	и тот	1	6
60	во многом	1	6
61	говорить о	1	6
62	не дает	1	6
63	тех же	1	6
64	видит в	1	6
65	у всех	1	5
66	он с	1	5
67	было не	1	5
68	автора и	1	5
69	эти произведения	1	5
70	нисколько не	1	5
71	я не	1	4
72	них не	1	4
73	не случайно	1	4
74	какую роль	1	4
75	не так	1	4
76	утверждает что	1	4
77	но когда	1	3
78	а с	1	3
79	а для	1	3
80	после смерти	1	3
81	для других	1	3
82	же это	1	3
83	в художественном	1	3
84	стороны он	1	3
85	нам в	1	3
86	жил в	1	3
87	его произведения	1	2
88	что при	1	2
89	бы что	2	2
90	человеке и	1	2
91	слишком много	1	2
92	дает и	1	2
93	в киеве	1	2
94	и написан	1	2
95	как только	1	2
96	свою жену	1	2
97	в первую	1	2
98	не увидел	1	2
99	др он	1	2
100	не чужд	1	2
101	художественном творчестве	1	2
102	бы его	1	2
103	теперь я	1	2
104	когда его	1	2
105	и чрезвычайно	1	2
106	носит имя	1	2
107	только что	1	1
108	знать и	1	1
109	бузина а	1	1
110	не смерть	1	1
111	его ученики	1	1
112	не слишком	1	1
113	к отцу	1	1
114	этим и	1	1
115	отец писателя	1	1
116	понятий и	1	1
117	его личности	1	1
118	огороде бузина	1	1
119	художественного творчества	1	1
120	в половом	1	1
121	и литература	1	1
122	же смерти	1	1
123	и многое	1	1
124	более чем	1	1
125	как смерть	1	1
126	ученики и	1	1
127	многое другое	1	1
128	понимания жизни	1	1
129	о жизни	1	1
130	с любым	1	1
131	а по	1	1
132	точно и	1	1
133	что последний	1	1
134	под редакцией	1	1
135	бы все	1	1
136	в огороде	1	1
137	знакомство с	1	1
138	доказать что	1	1
139	следующим образом	1	1
140	комплекс в	1	1
141	все четыре	1	1
142	оказывается для	1	1
143	работы не	1	1
144	первую очередь	1	1
145	и имеется	1	1
146	могло бы	1	1
147	нечто и	1	1
148	сам писатель	1	1
149	оба они	2	1
150	и ничего	1	1
151	следовательно в	1	1
152	к нам	1	1
153	аналогии и	1	1
154	и серьезно	1	1
155	стало быть	1	1
156	то и	1	1
157	то она	1	1
158	смерть другое	1	1
159	без этого	1	1
160	что роман	1	1
161	цель и	1	1
162	и гоголь	1	1
163	и создавал	1	1
164	половом отношении	1	1
