N	3gram	Trubetskoy	Komedia
1	в том что	16	29
2	к тому же	5	21
3	в то же	2	16
4	то же время	2	16
5	до сих пор	15	16
6	в самом деле	5	13
7	о том что	4	13
8	для того чтобы	7	11
9	в то время	2	11
10	в свою очередь	2	10
11	по отношению к	11	9
12	вместе с тем	3	9
13	с одной стороны	2	9
14	то время как	1	9
15	с другой стороны	4	8
16	так или иначе	5	7
17	бы то ни	3	7
18	в конце концов	4	7
19	то ни было	3	7
20	с самого начала	1	7
21	во всяком случае	2	7
22	говоря уже о	1	6
23	в том числе	1	6
24	в связи с	3	6
25	с точки зрения	8	6
26	лет тому назад	1	6
27	до тех пор	1	6
28	не говоря уже	1	6
29	то же самое	1	5
30	за то что	1	5
31	тем не менее	4	5
32	том что он	2	5
33	что у него	1	4
34	именно потому что	2	4
35	в этой области	4	4
36	к тому что	1	4
37	но все же	2	4
38	и с этой	1	4
39	не в состоянии	3	4
40	по сравнению с	5	4
41	независимо от того	1	4
42	можно было бы	1	4
43	несмотря на всю	1	3
44	в том же	3	3
45	друг от друга	6	3
46	более или менее	8	3
47	друг с другом	9	3
48	на пути к	1	3
49	хотя и не	1	3
50	иначе обстоит дело	1	3
51	в высшей степени	2	3
52	с этой целью	1	3
53	о том чтобы	2	3
54	сих пор не	5	3
55	на то что	7	3
56	таким образом в	3	3
57	состоит в том	1	3
58	то обстоятельство что	1	3
59	из того же	2	3
60	том числе и	1	3
61	как бы то	2	3
62	и сам он	1	2
63	а может быть	1	2
64	при этом что	2	2
65	с этой точки	1	2
66	таким же образом	2	2
67	как и в	2	2
68	у него в	1	2
69	но при этом	1	2
70	каждый из них	1	2
71	в зависимости от	1	2
72	точно так же	1	2
73	и таким образом	1	2
74	а затем и	1	2
75	в нем не	1	2
76	с тех пор	1	2
77	для этой цели	1	2
78	и в том	2	2
79	со своей стороны	1	2
80	в тех случаях	1	2
81	друг друга и	1	2
82	как мы знаем	1	2
83	и тому же	1	2
84	и в дальнейшем	1	2
85	этой точки зрения	1	2
86	только в том	1	2
87	таким образом и	1	2
88	и еще больше	1	2
89	так же как	3	2
90	к ним присоединяются	1	2
91	одному и тому	1	2
92	в этом случае	4	2
93	малейшего намека на	1	2
94	или вовсе не	1	2
95	как мы видели	1	2
96	тех случаях когда	1	2
97	тем более что	1	2
98	представление о том	1	2
99	и все же	1	2
100	по его мнению	1	2
101	надо признать что	1	2
102	благодаря тому что	1	1
103	время от времени	2	1
104	лицо к которому	1	1
105	не может служить	2	1
106	что и для	1	1
107	бы при этом	1	1
108	так и для	2	1
109	но вместе с	2	1
110	на каждом шагу	1	1
111	никак не может	1	1
112	не может быть	4	1
113	этой области не	1	1
114	несмотря на то	2	1
115	представить себе как	1	1
116	и ничем не	1	1
117	о которых мы	4	1
118	потому что как	1	1
119	меньше чем в	1	1
120	как все они	1	1
121	которых идет речь	3	1
122	таким образом для	1	1
123	далеко не в	2	1
124	у них в	1	1
125	и все это	1	1
126	в голову не	1	1
127	и не имеет	1	1
128	друг на друга	2	1
129	одного и того	3	1
130	не знает что	1	1
131	но и сам	1	1
132	и если бы	1	1
133	в том случае	4	1
134	и в конце	1	1
135	из них в	1	1
136	аргументы в пользу	2	1
137	ничего общего с	2	1
138	в тот же	1	1
139	о которых идет	3	1
140	а между тем	8	1
141	даже если он	1	1
142	смысле этого слова	1	1
143	никому и в	1	1
144	сошли с ума	1	1
145	как тот же	1	1
146	вместо того чтобы	1	1
147	и для самого	1	1
148	в один из	1	1
149	потому что при	1	1
150	в данном случае	3	1
151	целом ряде случаев	1	1
152	вместе с ними	1	1
153	не забудем что	1	1
154	новые вопросы является	1	1
155	а сам не	1	1
156	мы уже знаем	1	1
157	многие из них	2	1
158	одно из двух	1	1
159	и того же	3	1
160	том что они	1	1
161	не имели никакого	1	1
162	по этому поводу	1	1
163	вообще нет а	1	1
164	же образом как	1	1
165	с тем как	1	1
166	многие из этих	1	1
167	с оружием в	1	1
168	все это конечно	1	1
169	к ней и	1	1
170	и в голову	1	1
171	сих пор еще	1	1
172	вопросы является ли	1	1
173	в течение которого	1	1
174	по тем же	1	1
175	а не в	1	1
176	и не может	1	1
177	и отличие от	1	1
178	то что у	2	1
179	этих элементов и	1	1
180	он вместе с	1	1
181	том виде как	1	1
182	и это обстоятельство	1	1
183	на задний план	1	1
184	что по существу	1	1
185	своих предшественников для	1	1
186	в раннем детстве	1	1
187	мы находим в	1	1
188	что я во	1	1
189	по крайней мере	1	1
190	именно в этой	1	1
191	это не так	1	1
192	их взаимоотношения в	1	1
193	и без того	4	1
194	конце концов в	1	1
195	что же касается	2	1
196	зрения в истории	1	1
197	того чтобы проверить	1	1
198	в целом ряде	3	1
199	же самое что	1	1
200	он не может	2	1
201	греческой и римской	1	1
202	все же будет	1	1
203	к каким последствиям	1	1
204	в настоящее время	3	1
205	так как все	1	1
206	между тем с	1	1
207	оружием в руках	1	1
208	не совсем в	1	1
209	что и сам	1	1
210	то ясно что	4	1
211	и до сих	1	1
212	так что с	1	1
213	этого потому что	1	1
214	в лучшем случае	1	1
215	из этих элементов	1	1
216	следить за тем	1	1
217	сих пор на	1	1
218	которые могут быть	1	1
219	в своем уме	1	1
220	не менее в	1	1
221	никто не может	1	1
222	от него в	1	1
223	хотя бы в	1	1
224	на то обстоятельство	1	1
225	мало или вовсе	1	1
226	тем что она	1	1
227	должна была бы	1	1
228	том случае если	4	1
229	по этому вопросу	1	1
230	разобраться в том	1	1
231	все это делает	1	1
232	в том виде	2	1
233	идет речь в	1	1
234	в своем поведении	1	1
235	во всех отношениях	1	1
236	в другом случае	1	1
237	всего для этого	1	1
238	этого еще не	1	1
