N	4gram	Bakhtin_Fr	EvropaiE
1	в то же время	5	14
2	и в то же	2	8
3	в той или иной	5	3
4	но в то же	2	2
5	и связанное с ним	1	1
6	было бы неправильно думать	1	1
7	дело в том что	2	1
8	с точки зрения этих	1	1
9	в том числе и	7	1
10	той или иной степени	1	1
11	одна и та же	1	1
12	в большей или меньшей	7	1
13	в тех случаях когда	1	1
14	то же время в	1	1
15	но не только в	1	1
16	и до настоящего времени	1	1
17	мы можем сказать что	1	1
18	большей или меньшей степени	7	1
19	бы неправильно думать что	1	1
20	на этот вопрос мы	2	1
21	на то или иное	1	1
