N	3gram	Bakhtin_fo	Mirosoze
1	не может быть	4	28
2	в том что	4	9
3	но он не	2	9
4	для того чтобы	11	7
5	в высшей степени	1	7
6	и в этом	2	6
7	вместе с тем	3	6
8	о том что	2	6
9	есть прежде всего	1	6
10	друг к другу	2	6
11	до сих пор	4	5
12	и вместе с	1	5
13	что и в	1	5
14	но и в	5	5
15	но в нем	1	5
16	и его судьбе	1	5
17	прежде всего в	3	5
18	может быть и	4	5
19	по отношению к	3	4
20	в конце концов	1	4
21	в нем нет	2	4
22	никогда не было	1	4
23	и в самом	1	4
24	может быть лишь	1	4
25	в то время	3	4
26	то время как	2	4
27	у него нет	1	4
28	один из самых	1	4
29	плоть от плоти	1	3
30	не может не	1	3
31	к тому что	1	3
32	он не был	1	3
33	одна и та	2	3
34	и у нас	1	3
35	от плоти и	1	3
36	так как он	2	3
37	по сравнению с	3	3
38	это значит что	2	3
39	и та же	2	3
40	и ничего не	1	3
41	так же как	2	3
42	в значительной степени	1	3
43	не до конца	1	3
44	же как и	2	3
45	выходит за пределы	1	3
46	с тем что	2	3
47	во всяком случае	1	3
48	на протяжении всего	2	3
49	также и в	3	3
50	как и в	3	3
51	это не значит	1	2
52	смысле этого слова	1	2
53	не только в	6	2
54	как и во	1	2
55	лежит в основе	2	2
56	по природе своей	2	2
57	начале xx века	1	2
58	все более и	2	2
59	науки и искусства	1	2
60	между тем как	1	2
61	бросается в глаза	1	2
62	том что все	1	2
63	смысле слова он	1	2
64	в чем не	3	2
65	и во всем	1	2
66	том что в	1	2
67	в нем не	3	2
68	и у него	2	2
69	в разных местах	1	2
70	одну и ту	1	2
71	имел в виду	1	2
72	потому что не	1	2
73	и для него	1	2
74	никогда не бывает	1	2
75	и во всяком	1	2
76	мы еще вернемся	3	2
77	и ту же	1	2
78	в себе и	1	2
79	с самим собою	4	2
80	более и более	2	2
81	и в самой	1	2
82	он не знает	1	2
83	в центре его	2	2
84	бы друг друга	1	2
85	что в нем	1	2
86	не могут быть	1	2
87	оно не может	1	2
88	так же мало	1	2
89	по своей природе	1	2
90	в этом отношении	5	2
91	уже не только	1	2
92	ни в чем	3	2
93	в иной мир	1	2
94	в разных ее	1	1
95	человек в этом	1	1
96	в этот момент	1	1
97	в самом начале	1	1
98	в него как	1	1
99	все это не	1	1
100	человеческого образа в	1	1
101	не было в	1	1
102	бы он ни	2	1
103	что в мире	1	1
104	быть и речи	2	1
105	и исторического процесса	1	1
106	человека в его	3	1
107	лишь один из	1	1
108	сам он был	1	1
109	и т п	18	1
110	на том что	1	1
111	и тогда когда	1	1
112	времени потому что	1	1
113	во всех его	1	1
114	он ни был	2	1
115	нас может быть	1	1
116	про себя а	1	1
117	в самом деле	1	1
118	для себя и	1	1
119	находится в противоречии	1	1
120	себя и других	1	1
121	отличает его от	1	1
122	когда мы говорим	1	1
123	ни с чем	2	1
124	они не могут	2	1
125	иной мир но	1	1
126	в строгом смысле	2	1
127	очень характерно для	1	1
128	друг на друга	4	1
129	протяжении всего романа	2	1
130	друг с другом	5	1
131	в себе самом	1	1
132	как в самом	1	1
133	мира и человека	1	1
134	и в словах	1	1
135	в зависимости от	1	1
136	возможно лишь в	1	1
137	в ней по	2	1
138	между этими двумя	3	1
139	есть одно из	1	1
140	в этом мире	7	1
141	все же и	1	1
142	в противоречии с	1	1
143	не похож на	3	1
144	в отличие от	3	1
145	точки зрения в	1	1
146	тех случаях когда	1	1
147	человек может быть	1	1
148	и в других	4	1
149	значит конечно что	1	1
150	что в основе	1	1
151	роль в истории	2	1
152	в этом новом	1	1
153	в себе в	1	1
154	преступление и наказание	1	1
155	они должны быть	1	1
156	в нем раскрывается	1	1
157	как у людей	1	1
158	с другой стороны	1	1
159	точном смысле слова	1	1
160	друг друга то	1	1
161	в самом человеке	3	1
162	в свои права	1	1
163	жизнь в ней	1	1
164	и в том	1	1
165	в той же	1	1
166	и речи о	1	1
167	в тех случаях	1	1
168	судьбу человека в	1	1
169	в стороне от	1	1
170	человек в нем	2	1
171	он так же	1	1
172	сих пор не	1	1
173	жизнь есть прежде	1	1
174	но в конце	1	1
175	нем нет ничего	1	1
176	той или иной	3	1
177	и как бы	2	1
178	его судьбы в	1	1
179	в человека и	1	1
180	и должно быть	2	1
181	мы видим в	1	1
182	и братья карамазовы	1	1
183	с точки зрения	9	1
184	но она не	1	1
185	мира может быть	1	1
186	со всеми его	2	1
187	имеем в виду	3	1
188	еще вернемся в	3	1
189	в ту же	1	1
190	с чем не	2	1
191	мир для него	1	1
192	а следовательно и	3	1
193	еще не было	1	1
194	не значит конечно	1	1
195	в конце романа	5	1
196	во всем и	1	1
197	только в этом	1	1
198	и на ней	1	1
199	в то же	10	1
200	как можно дольше	1	1
201	раскрывается не в	1	1
202	всего того что	1	1
203	на земле то	1	1
204	и добродетели и	1	1
205	в человека но	1	1
206	образ человека в	3	1
207	не для того	3	1
208	в них не	1	1
209	оно прежде всего	1	1
210	в самой жизни	1	1
211	и его жизнь	1	1
212	в жизни героев	3	1
213	что и у	1	1
214	то же время	13	1
215	нисколько не противоречит	1	1
216	но в отношении	2	1
217	что действие романа	1	1
218	на самом деле	1	1
219	он плоть от	1	1
220	так как нет	1	1
221	всем существом своим	1	1
222	в мировой литературе	2	1
223	мы имеем в	2	1
224	во всех этих	2	1
225	мир в котором	1	1
226	всего может быть	1	1
227	человек а не	1	1
228	себя в этом	1	1
229	свою судьбу то	1	1
230	с самим собой	2	1
231	оказал влияние на	1	1
232	на европейской почве	1	1
233	нет в самом	1	1
234	огромную роль в	1	1
235	не меньше чем	1	1
236	и все же	1	1
237	в нем все	2	1
238	а вовсе не	1	1
239	а в частности	1	1
240	себя в них	1	1
241	все в нем	1	1
242	та или иная	1	1
243	в котором в	1	1
244	с одной стороны	3	1
245	самого человека и	1	1
246	то есть к	1	1
247	в человеческой жизни	1	1
248	жизни и в	2	1
249	личности и ее	1	1
250	кто бы он	1	1
251	есть по существу	1	1
252	сама по себе	1	1
253	а не о	1	1
