N	3gram	Potebnia_M	Formalny
1	с точки зрения	3	40
2	не может быть	11	29
3	на самом деле	2	21
4	то же время	3	20
5	в то же	3	20
6	и т д	6	19
7	и т п	4	18
8	в связи с	2	16
9	во всяком случае	7	16
10	по отношению к	13	12
11	так и в	5	11
12	в этом отношении	1	11
13	бы то ни	2	10
14	в большинстве случаев	1	9
15	с другой стороны	7	9
16	и не может	1	9
17	для того чтобы	4	8
18	до сих пор	5	8
19	вместе с тем	1	8
20	как мы видели	1	8
21	с одной стороны	6	8
22	в применении к	3	7
23	более или менее	6	7
24	сами по себе	8	7
25	то ни было	1	7
26	в свою очередь	8	7
27	и в этом	7	7
28	в том что	18	6
29	с тем что	4	6
30	сам по себе	5	6
31	не только не	2	6
32	смысле этого слова	3	6
33	языка и его	5	6
34	одной стороны и	2	5
35	в этом смысле	4	5
36	в отличие от	1	5
37	к тому что	2	5
38	все без исключения	1	5
39	между звуком и	2	5
40	как бы ни	4	5
41	мы не можем	2	5
42	и не в	1	4
43	тем не менее	10	4
44	можно и должно	1	4
45	не в том	6	4
46	все более и	2	4
47	не следует что	1	4
48	более и более	2	4
49	не могут быть	5	4
50	но все же	2	4
51	а не в	1	4
52	то ни стало	1	4
53	с тем же	1	4
54	но и в	4	4
55	подобно тому как	7	4
56	с самого начала	5	4
57	и не могут	1	4
58	сама по себе	4	4
59	из виду что	2	3
60	и тот же	1	3
61	же время не	1	3
62	во что бы	1	3
63	убедиться в этом	1	3
64	не только на	1	3
65	чтобы убедиться в	1	3
66	из всего этого	1	3
67	только то что	1	3
68	и в этой	1	3
69	их отношения к	1	3
70	с тем и	1	3
71	в том смысле	7	3
72	бы ни были	1	3
73	один и тот	1	3
74	мы увидим что	3	3
75	при этом не	2	3
76	то и другое	6	3
77	в противном случае	3	3
78	что бы то	1	3
79	именно в том	1	3
80	и то и	2	3
81	что же касается	1	3
82	между этими двумя	1	3
83	именно того что	2	2
84	мере в какой	1	2
85	все то что	2	2
86	по себе а	1	2
87	не могло бы	2	2
88	о том как	1	2
89	том смысле что	2	2
90	в той мере	1	2
91	это приводит к	1	2
92	но все эти	1	2
93	в собственном смысле	2	2
94	мы говорим о	1	2
95	говоря уже о	1	2
96	с этой точки	2	2
97	совершенно справедливо говорит	1	2
98	друг от друга	3	2
99	не совпадает с	1	2
100	она не может	1	2
101	но даже и	1	2
102	только тем что	1	2
103	но при этом	1	2
104	в том случае	1	2
105	не потому что	1	2
106	между тем как	1	2
107	могло бы быть	1	2
108	в полной силе	1	2
109	имеет место и	1	2
110	как и всякая	1	2
111	и тем самым	2	2
112	в данное время	1	2
113	и в других	1	2
114	той мере в	1	2
115	же касается до	1	2
116	вряд ли нужно	1	2
