N	3gram	Berdyaev_O	Marksizm
1	не может быть	2	25
2	в самом деле	1	19
3	в том что	1	14
4	и не может	1	12
5	для того чтобы	3	11
6	смысле этого слова	1	7
7	на то что	1	6
8	во всяком случае	1	6
9	в этом отношении	1	5
10	в нем нет	3	4
11	и прежде всего	1	4
12	о том что	1	4
13	друг с другом	1	3
14	между этими двумя	1	3
15	не могут быть	2	3
16	а не в	2	3
17	и в этом	2	3
18	но и в	2	3
19	и не в	1	3
20	он должен был	1	2
21	само по себе	1	2
22	а не только	1	2
23	и в том	1	2
24	в эпоху возрождения	1	2
25	от того что	1	2
26	а иногда и	1	2
27	как и в	1	2
28	как и все	2	2
29	с тем что	2	2
30	и в самом	1	2
31	должен был бы	1	2
32	прежде всего в	1	2
33	этой речи и	1	1
34	бы и не	1	1
35	бы он ни	1	1
36	он еще не	1	1
37	по сравнению с	1	1
38	то к одному	1	1
39	ни к каким	1	1
40	это не есть	1	1
41	она и не	1	1
42	к одному то	1	1
43	у нее не	1	1
44	и там и	1	1
45	в строгом смысле	1	1
46	по природе своей	1	1
47	сам по себе	1	1
48	в иных случаях	1	1
49	там и здесь	1	1
50	вместо того чтобы	1	1
51	может быть осуществлено	1	1
52	то к другому	1	1
53	или лучше сказать	1	1
54	но он и	1	1
55	даже и в	1	1
56	и вопрос о	1	1
57	одному то к	1	1
58	что он был	1	1
59	и пр его	1	1
60	нем нет ничего	1	1
61	мужчины и женщины	1	1
62	строгом смысле этого	1	1
63	в дневнике писателя	2	1
64	подойти к этой	1	1
65	и есть та	1	1
66	еще не стал	1	1
67	герои говорят одним	1	1
68	он не только	1	1
69	в другом месте	1	1
70	добро и зло	1	1
71	то что в	1	1
72	но к этому	1	1
73	каждом из них	1	1
74	в самой жизни	1	1
75	ли может быть	1	1
76	он ни был	1	1
77	которым можно было	1	1
78	в обычном смысле	1	1
79	того чтобы сделать	1	1
80	а вовсе не	1	1
81	и в ее	1	1
82	он сам и	1	1
83	раскрывается до конца	1	1
84	после того как	1	1
85	обычном смысле слова	1	1
