N	4gram	Propp_Isto	Narrotol
1	в то же время	1	8
2	состоит в том что	1	6
3	внимание на то что	1	3
4	одно и то же	2	2
5	точно так же как	2	2
6	с этой точки зрения	2	1
7	в том смысле что	1	1
8	не что иное как	1	1
9	с одной стороны и	1	1
10	точно так же в	1	1
11	между жизнью и смертью	1	1
12	не в том как	1	1
13	в то время как	3	1
14	с этой стороны может	1	1
15	иметь в виду что	1	1
16	в том числе и	2	1
17	и целый ряд других	2	1
18	по мере того как	3	1
19	свидетельствует о том что	1	1
20	одна из них не	1	1
21	этой стороны может быть	1	1
22	же как и в	1	1
23	и здесь мы имеем	1	1
24	он не может быть	1	1
25	и тем не менее	2	1
26	никак не может быть	1	1
27	есть не что иное	1	1
