N	3gram	Nazirov_Vr	UchenyiS
1	не может быть	2	4
2	с другой стороны	1	3
3	в то же	4	3
4	то же время	4	3
5	по нашему мнению	1	3
6	и то что	1	2
7	в том что	2	2
8	до сих пор	1	2
9	а между тем	1	2
10	в конце концов	1	2
11	в этом отношении	1	2
12	по крайней мере	1	2
13	в этом смысле	1	2
14	на первый взгляд	1	1
15	тем что он	1	1
16	в известном письме	1	1
17	но в то	2	1
18	или по крайней	1	1
19	еще один пример	1	1
20	равно как и	1	1
21	не было бы	1	1
22	на первый план	1	1
23	в той же	1	1
24	на то что	1	1
25	и в то	1	1
26	но это не	1	1
27	все же не	1	1
