N	4gram	Voloshinov	Mirosoze
1	не что иное как	1	4
2	одной и той же	3	3
3	в том что он	2	3
4	есть не что иное	1	3
5	ни в чем не	4	2
6	не может быть и	4	2
7	и потому не может	1	1
8	мы имеем в виду	1	1
9	одни и те же	1	1
10	нет и не было	1	1
11	в то же время	6	1
12	и не может быть	3	1
13	у него никогда не	1	1
14	а может быть и	1	1
15	для него не существует	1	1
16	том что он не	1	1
17	что она не знает	1	1
18	может быть и речи	3	1
19	и по отношению к	1	1
20	не может быть непосредственно	1	1
21	ничего общего не имеет	1	1
22	но для этого нужно	1	1
23	до сих пор не	1	1
24	природной и социальной среды	1	1
