N	3gram	Losev_Prob	UchenyiS
1	не может быть	2	4
2	то ни было	2	3
3	с другой стороны	7	3
4	в этой области	1	3
5	бы то ни	4	3
6	в то же	2	3
7	то же время	1	3
8	и то что	3	2
9	в том что	13	2
10	в самом деле	1	2
11	до сих пор	3	2
12	тех или иных	2	2
13	и в частности	4	2
14	в конце концов	7	2
15	то же самое	2	2
16	в этом отношении	4	2
17	но даже и	4	2
18	по крайней мере	8	2
19	в этом смысле	4	2
20	художественного творчества то	2	1
21	говорить не о	1	1
22	а не то	1	1
23	тот же автор	1	1
24	в первую очередь	1	1
25	в которой все	1	1
26	у нас в	1	1
27	никогда и не	1	1
28	сам по себе	3	1
29	и в конце	1	1
30	так или иначе	3	1
31	он и делает	1	1
32	на первый взгляд	1	1
33	которые могли бы	1	1
34	конце концов не	1	1
35	прежде всего что	1	1
36	в своей работе	1	1
37	не входит в	1	1
38	но в то	2	1
39	роль не только	1	1
40	или по крайней	1	1
41	с одной стороны	5	1
42	нам представляется что	1	1
43	в ней не	1	1
44	можно сказать что	4	1
45	равно как и	2	1
46	не случайно и	1	1
47	это не только	1	1
48	в значительной мере	3	1
49	это то же	1	1
50	природе и в	1	1
51	все что угодно	1	1
52	не в том	1	1
53	кого бы то	1	1
54	на то что	2	1
55	является одним из	1	1
56	не только в	5	1
57	одним из самых	1	1
58	и прежде всего	2	1
59	более или менее	1	1
60	но это не	1	1
61	в данном случае	5	1
62	не о чем	1	1
63	что он и	2	1
64	нам думается что	1	1
65	все же остается	1	1
66	в буквальном смысле	1	1
67	все же не	3	1
68	уже не как	1	1
