N	3gram	Tiupa_Teor	VerxiiNi
1	с одной стороны	3	7
2	с точки зрения	3	6
3	по крайней мере	1	5
4	а с другой	2	5
5	для того чтобы	5	5
6	в том числе	3	5
7	более или менее	6	5
8	том числе и	2	4
9	о том что	1	4
10	к тому же	1	4
11	в том что	10	3
12	так же как	1	3
13	в связи с	3	3
14	точно так же	1	3
15	тем не менее	3	3
16	так или иначе	5	3
17	области духовной культуры	1	2
18	и потому что	1	2
19	те и другие	1	2
20	той или иной	3	2
21	то или иное	1	2
22	то ни было	2	2
23	есть как бы	1	2
24	этой точки зрения	2	2
25	заключает в себе	1	2
26	то же самое	1	2
27	и те и	1	2
28	можно сказать что	3	2
29	бы то ни	2	2
30	то же время	8	2
31	в то же	8	2
32	с этой точки	2	2
33	может быть и	2	2
34	жизни то есть	1	1
35	неизбежно заключает в	1	1
36	в первом случае	1	1
37	в слове о	2	1
38	слове о полку	2	1
39	именно потому что	1	1
40	в свою очередь	3	1
41	в одном и	1	1
42	а между тем	1	1
43	в настоящее время	1	1
44	не только не	2	1
45	иметь в виду	1	1
46	как видно из	1	1
47	при этом может	1	1
48	может и не	1	1
49	и том же	1	1
50	но в то	2	1
51	речь идет о	1	1
52	вследствие того что	1	1
53	к чему не	1	1
54	до известной степени	2	1
55	в соответствии с	2	1
56	не может быть	5	1
57	по отношению к	10	1
58	и в то	2	1
59	в данном случае	5	1
60	мы имеем в	3	1
61	в том или	1	1
62	в отличие от	7	1
63	во всей своей	1	1
64	а в том	1	1
65	своей индивидуальности и	1	1
66	в первую очередь	1	1
67	тем или иным	2	1
68	более высокое место	1	1
69	о полку игореве	2	1
70	и того же	4	1
71	как и ее	2	1
72	в области духовной	1	1
73	на задний план	1	1
74	случае мы имеем	1	1
75	имеем в виду	3	1
76	в ритмическом отношении	1	1
77	том или ином	1	1
78	каждая из которых	1	1
79	и в сущности	1	1
80	в самом деле	2	1
81	в таком случае	2	1
82	каждая из этих	1	1
83	что даже в	1	1
84	состоит в том	6	1
85	только то что	1	1
86	как бы в	1	1
87	и в этой	1	1
88	с другой стороны	6	1
89	тем и другим	1	1
90	ни к чему	1	1
91	одном и том	1	1
92	не совпадает с	1	1
93	в то время	1	1
94	при этом не	1	1
95	это и есть	1	1
96	того чтобы такое	1	1
97	еще и потому	1	1
98	но не с	1	1
99	одного и того	4	1
