N	2gram	Propp_Isto	Komedia
1	и в	41	77
2	и не	12	47
3	в том	14	44
4	том что	18	42
5	о том	15	33
6	т е	34	33
7	но и	20	32
8	может быть	19	30
9	из них	2	29
10	таким образом	15	29
11	в то	6	28
12	и его	11	28
13	в этом	19	27
14	потому что	13	27
15	что он	29	26
16	к тому	4	26
17	тому же	1	25
18	не только	30	25
19	вместе с	17	25
20	так как	21	24
21	как и	8	23
22	ни в	4	23
23	в доме	1	23
24	что в	21	23
25	в самом	2	22
26	что и	13	22
27	если бы	3	22
28	то же	12	21
29	ясно что	2	21
30	в конце	4	21
31	так и	8	21
32	а в	12	21
33	в его	4	20
34	к этому	5	19
35	во время	7	19
36	по адресу	1	19
37	со стороны	3	19
38	в этой	2	18
39	тем что	11	17
40	в нем	12	17
41	и здесь	13	17
42	и т	29	17
43	еще не	13	17
44	при этом	7	16
45	все же	14	16
46	не менее	5	16
47	у него	16	16
48	сих пор	5	16
49	он не	8	16
50	и сам	3	16
51	до сих	4	16
52	тот же	2	16
53	не в	12	15
54	в своем	3	15
55	точки зрения	4	15
56	его в	7	15
57	в которой	2	15
58	на себя	3	15
59	один из	7	15
60	и на	12	15
61	было бы	4	15
62	прежде всего	6	15
63	и с	4	14
64	на протяжении	1	14
65	к нему	8	14
66	из комедии	1	14
67	в свою	1	14
68	все это	9	14
69	об этом	7	14
70	только что	1	13
71	самом деле	1	13
72	о чем	2	13
73	в них	4	13
74	в одном	2	13
75	что она	6	13
76	того же	3	13
77	мы можем	11	13
78	так что	6	13
79	то что	12	13
80	того чтобы	1	13
81	но в	7	13
82	в котором	3	12
83	для того	2	12
84	так же	6	12
85	с другой	20	12
86	хотя и	3	12
87	в качестве	5	12
88	как это	6	12
89	т п	1	12
90	из которых	3	12
91	как в	17	12
92	уже в	4	12
93	не по	2	12
94	в начале	2	12
95	не может	19	12
96	но не	8	12
97	и даже	3	11
98	с тем	8	11
99	по отношению	3	11
100	наряду с	2	11
101	что его	2	11
102	с ним	9	11
103	то время	4	11
104	должны были	4	11
105	как мы	6	11
106	на этот	4	11
107	в их	4	11
108	в частности	3	11
109	к ней	3	11
110	с этим	3	10
111	сразу же	1	10
112	он был	2	10
113	на него	3	10
114	тут же	2	10
115	с одной	12	10
116	к себе	4	10
117	в чем	5	10
118	как бы	8	10
