N	4gram	Tiupa_Narr	Marksizm
1	в то же время	3	15
2	бы то ни было	3	12
3	одного и того же	1	9
4	не может быть и	1	4
5	в том что он	1	4
6	один и тот же	1	3
7	в том числе и	4	3
8	в той или иной	2	3
9	какой бы то ни	1	3
10	именно в том что	2	2
11	в том или ином	2	2
12	той или иной степени	1	2
13	с этой точки зрения	1	1
14	друг с другом и	1	1
15	которым можно было бы	2	1
16	не что иное как	2	1
17	ничем не отличается от	1	1
18	сам по себе а	1	1
19	той или иной форме	1	1
20	не с точки зрения	1	1
21	прежде всего в том	1	1
22	дело в том что	1	1
23	может быть сведена к	1	1
24	всего в том что	1	1
25	или даже вовсе не	1	1
26	по отношению к нему	1	1
27	и с точки зрения	1	1
28	то же время они	1	1
29	не может быть сведена	1	1
