N	4gram	Vygotskiy_	Narrotol
1	в то же время	1	8
2	состоит в том что	2	6
3	мы имеем дело с	1	5
4	дело в том что	2	3
5	мысль о том что	1	2
6	одного и того же	2	2
7	одно и то же	3	2
8	к тому что он	2	2
9	то же самое происходит	1	1
10	с этой точки зрения	3	1
11	не что иное как	2	1
12	например в том что	1	1
13	в этом отношении совершенно	1	1
14	что с точки зрения	1	1
15	не для того чтобы	1	1
16	с одной стороны и	1	1
17	прежде всего тем что	1	1
18	именно то что он	1	1
19	сомневаться в том что	1	1
20	в данном случае в	1	1
21	одна и та же	2	1
22	бы то ни было	1	1
23	ни в чем не	1	1
24	в то время как	4	1
25	на самом деле в	1	1
26	но то же самое	1	1
27	том что с точки	1	1
28	один и тот же	1	1
29	все же не может	1	1
30	и в самом деле	2	1
31	в том что именно	1	1
32	не в одинаковой степени	1	1
33	и то что здесь	1	1
34	ни одна из них	1	1
35	в том что он	2	1
36	в том что на	1	1
37	о том что искусство	1	1
38	на то что даже	1	1
39	мы никак не можем	1	1
40	одним и тем же	3	1
41	никак не может быть	1	1
42	какой бы то ни	1	1
43	ответ на этот вопрос	2	1
44	в том или ином	1	1
