N	3gram	Nazirov_Vr	Literetu
1	в том что	2	21
2	в то же	4	21
3	то же время	4	21
4	в е годы	1	12
5	не может быть	2	11
6	о том что	1	10
7	в этом отношении	1	10
8	с точки зрения	2	8
9	с другой стороны	1	7
10	едва ли не	1	6
11	тем не менее	1	5
12	в соответствии с	1	5
13	в русской литературе	3	5
14	в связи с	3	5
15	но при этом	1	4
16	начале х годов	1	4
17	в начале х	1	4
18	и то что	1	4
19	в том же	1	3
20	х годов в	1	3
21	речь идет о	1	3
22	в свою очередь	1	3
23	на то что	1	3
24	по крайней мере	1	3
25	во всяком случае	1	3
26	то что я	1	3
27	имеется в виду	1	2
28	и то же	1	2
29	все же в	1	2
30	а с другой	1	2
31	не только не	1	2
32	имел в виду	3	2
33	одним из первых	1	2
34	и в самом	1	2
35	что он сам	1	2
36	одно и то	1	2
37	уже в году	1	2
38	на первый взгляд	1	2
39	тем что он	1	2
40	войне и мире	1	1
41	что уже в	1	1
42	что в ней	1	1
43	в году когда	1	1
44	в своем дневнике	1	1
45	ее и в	1	1
46	говорит о себе	1	1
47	до сих пор	1	1
48	а также в	1	1
49	в глубине души	1	1
50	в конце концов	1	1
51	и в то	1	1
52	вот в чем	1	1
53	тогда же в	1	1
54	но и от	1	1
55	при этом он	1	1
56	в высшей степени	1	1
57	с тех пор	1	1
58	о том как	1	1
59	но это не	1	1
60	преступления и наказания	1	1
61	но не менее	1	1
62	и в этом	1	1
63	в ответ на	1	1
64	из героев достоевского	1	1
65	как бы в	1	1
66	в году и	2	1
67	не только от	1	1
68	в мире а	1	1
69	в это время	1	1
70	на свое место	1	1
71	а тут вдруг	1	1
72	тем более что	1	1
73	между прочим и	1	1
74	что я хотел	1	1
75	в войне и	1	1
76	но в то	2	1
77	и во всей	1	1
78	как раз в	2	1
79	в ноябре года	2	1
80	он и не	1	1
81	в романе достоевского	1	1
82	в те годы	2	1
83	что в начале	2	1
84	и не может	1	1
85	и т.п ему	1	1
86	это и есть	1	1
87	по нашему мнению	1	1
88	не только как	1	1
89	может быть и	1	1
