N	2gram	Berdyaev_O	IolandNe
1	и с	2	3
2	что в	4	2
3	оба они	1	2
4	записок из	5	2
5	он не	7	2
6	творчества достоевского	1	2
7	ничего не	2	2
8	о достоевском	2	2
9	и не	13	2
10	в этом	12	2
11	и наказания	1	1
12	все эти	4	1
13	для того	3	1
14	и очень	2	1
15	всего творчества	1	1
16	а в	5	1
17	и о	2	1
18	же это	2	1
19	мертвого дома	2	1
20	это было	3	1
21	самого достоевского	3	1
22	что для	2	1
23	из мертвого	2	1
24	для него	5	1
25	тем что	2	1
26	не случайно	1	1
27	ушел от	1	1
28	художественного творчества	1	1
29	не так	1	1
30	преступления и	1	1
31	жизни и	1	1
32	было не	1	1
33	жизни этого	1	1
34	человеке и	5	1
35	братья карамазовы	1	1
36	слишком много	1	1
37	если бы	1	1
38	и сам	1	1
39	того что	3	1
40	а с	1	1
41	из подполья	11	1
42	писателя а	1	1
43	так и	2	1
44	художественном творчестве	2	1
45	к достоевскому	2	1
46	от этого	1	1
47	того чтобы	4	1
48	и без	1	1
49	вся диалектика	1	1
50	бы в	1	1
51	достоевского с	2	1
52	и в	19	1
53	никогда не	9	1
54	я нисколько	1	1
55	все это	6	1
56	со всеми	1	1
57	был человек	1	1
58	нисколько не	1	1
59	в них	1	1
