N	2gram	Bakhtin_Pr	Retstnzi
1	не может	27	4
2	и в	38	3
3	если в	1	2
4	произведения но	2	1
5	может и	4	1
6	этой проблемы	1	1
7	нуждаются в	1	1
8	в особенности	2	1
9	несмотря на	3	1
10	может быть	26	1
11	не только	9	1
12	точки зрения	8	1
13	с точки	6	1
14	для него	1	1
15	подхода к	2	1
16	в ней	4	1
17	тех же	1	1
18	как художественная	1	1
19	себе все	1	1
20	в каждом	2	1
21	связи с	2	1
22	методически не	3	1
23	можно и	2	1
24	с другими	3	1
25	его от	1	1
26	если бы	3	1
27	конечно и	4	1
28	художественного произведения	11	1
29	в его	43	1
30	не менее	4	1
31	именно с	1	1
32	деятельности в	1	1
33	и социальной	1	1
34	от общей	3	1
35	но и	9	1
36	направление своей	1	1
37	к тому	1	1
38	анализа и	2	1
39	науку о	1	1
40	тому что	1	1
41	языка как	2	1
42	от связи	1	1
43	в то	4	1
44	ни один	1	1
45	же время	3	1
46	то же	5	1
47	а не	5	1
48	бы в	1	1
49	нет и	3	1
50	в лингвистике	1	1
51	и должно	3	1
52	и не	42	1
53	язык как	1	1
54	на нее	1	1
55	и все	3	1
56	и на	3	1
57	художественного целого	1	1
58	это направление	1	1
