N	2gram	Vygotskiy_	Psycholo
1	то что	27	193
2	и в	38	190
3	в том	59	163
4	что в	31	123
5	потому что	14	114
6	том что	44	113
7	и что	15	108
8	может быть	25	107
9	таким образом	36	102
10	в этом	35	100
11	все время	6	86
12	в самом	8	82
13	как бы	17	80
14	для того	14	78
15	того чтобы	15	78
16	что он	13	76
17	не только	16	75
18	на то	7	73
19	и не	16	73
20	что она	7	71
21	самом деле	4	70
22	точки зрения	27	69
23	не может	11	68
24	если мы	12	66
25	так же	26	63
26	так как	19	63
27	было бы	15	56
28	если бы	12	55
29	то же	18	54
30	о том	6	54
31	и мы	2	54
32	совершенно ясно	3	54
33	при этом	13	52
34	как и	20	51
35	что и	14	50
36	а не	7	50
37	что это	8	49
38	сказать что	10	46
39	по себе	11	46
40	только в	16	46
41	в сущности	3	46
42	заключается в	22	46
43	говорит что	1	45
44	к тому	8	45
45	не в	10	45
46	ясно что	4	43
47	в этой	7	43
48	никогда не	11	42
49	и все	5	42
50	вместе с	18	41
51	как это	16	40
52	но и	9	40
53	с и	2	40
54	как раз	1	39
55	при помощи	3	39
56	того что	17	39
57	же самое	9	38
58	и это	7	37
59	мы видим	13	37
60	и как	11	36
61	с тем	18	35
62	вовсе не	5	34
63	как на	2	34
64	и его	5	34
65	тому что	3	33
66	все же	11	33
67	что все	2	33
68	когда он	5	33
69	же точно	4	32
70	в себе	9	32
71	все это	8	32
72	он не	6	31
73	мы не	14	31
74	в его	22	31
75	для нас	6	31
76	в ней	3	31
77	сейчас же	1	30
78	мы увидим	4	30
79	как в	14	30
80	с одной	8	29
81	и для	4	29
82	одной стороны	8	29
83	с точки	11	29
84	в нем	4	29
85	увидим что	5	28
86	что они	23	28
87	и когда	3	28
88	мы можем	13	28
89	и то	9	28
90	что мы	18	28
91	в своих	3	27
92	в основе	32	27
93	на деле	6	27
94	и на	9	27
95	а в	7	27
96	с другой	11	27
97	так что	3	26
98	совершенно не	1	26
99	только что	5	25
100	и здесь	5	25
101	до сих	3	24
102	с таким	4	24
103	до конца	2	24
104	тем что	12	24
105	художественное произведение	1	24
106	указывает на	3	24
107	и совершенно	2	24
108	в целом	22	24
109	в своем	9	23
110	сих пор	3	23
111	один из	8	23
112	что если	3	23
113	целый ряд	4	23
114	что оно	8	23
115	для этого	3	23
116	могут быть	9	23
117	с этим	6	22
118	из них	5	22
119	что у	3	22
120	между тем	10	22
121	и даже	4	22
122	когда мы	2	22
123	всякий раз	2	22
124	как она	4	22
125	в котором	3	21
126	том чтобы	2	21
127	в которых	3	21
128	той же	8	21
129	в своей	9	21
130	ни в	12	21
131	в конце	1	21
132	что эта	2	21
133	но только	3	21
134	как мы	14	21
135	и только	4	21
136	другой стороны	5	20
137	в то	5	20
138	тот же	10	20
139	мы имеем	6	20
140	она не	1	20
141	дело с	3	20
142	несмотря на	1	20
143	на этом	3	20
144	там где	4	20
145	это не	5	20
146	все эти	9	20
147	в одном	4	19
148	что при	3	19
149	мы уже	8	19
150	социальной психологии	1	19
151	в какой	5	19
152	мы должны	15	19
153	в ее	1	19
154	у него	3	19
155	он говорит	1	19
156	с этой	6	18
157	в которой	4	18
158	можно было	10	18
159	но в	4	18
160	зависимости от	7	18
161	в каком	3	18
162	вслед за	4	18
163	что с	8	18
164	но не	7	18
165	был бы	2	18
166	перед нами	15	18
167	видим что	2	18
168	есть не	1	18
169	в виду	4	17
170	во всяком	10	17
171	полагает что	2	17
172	иначе говоря	2	17
173	время как	5	17
174	что для	1	17
175	из этих	5	17
176	но это	7	17
177	одна из	2	17
178	только не	2	17
179	у нас	1	17
180	и к	9	16
181	из которых	6	16
182	к этому	5	16
183	в психологии	1	16
184	та же	3	16
185	сводится к	1	16
186	обратиться к	1	16
187	говорит о	1	16
188	самого начала	6	16
189	с самого	6	16
190	в таком	4	16
191	же как	10	16
192	совершенно прав	2	16
193	и тем	8	16
194	очень легко	2	16
195	не имеет	3	16
196	формы и	3	16
197	так и	11	16
198	тому как	2	16
199	от того	8	16
200	в результате	6	15
201	в них	3	15
202	только на	2	15
203	что именно	3	15
204	во всех	3	15
205	мы знаем	10	15
206	как говорит	7	15
207	о которых	1	15
208	могли бы	16	15
209	не могут	5	15
210	о котором	2	15
211	и потому	2	15
212	в зависимости	6	15
213	не просто	3	15
214	которых мы	2	15
215	утверждает что	1	15
216	далеко не	2	15
217	еще не	6	15
218	для него	6	15
219	в частности	4	15
220	не можем	4	15
221	в совершенно	5	14
222	хотя бы	2	14
223	одной и	6	14
224	но он	1	14
225	очевидно что	1	14
226	и той	7	14
227	главным образом	3	14
228	то время	5	14
229	это и	1	14
230	того как	5	14
231	прежде всего	6	14
232	заключает в	3	14
233	такой же	4	14
234	что на	2	14
235	те же	6	14
236	в жизни	3	14
237	не то	1	14
238	этих двух	1	14
239	бы в	5	14
240	стоит только	1	14
241	столь же	7	14
242	показывает что	9	14
243	это есть	1	14
244	всяком случае	10	14
245	этом отношении	9	14
246	с той	3	14
247	или в	4	14
248	к которым	8	14
249	по существу	4	14
250	в области	9	14
251	с ним	4	14
252	факт что	7	14
253	само по	3	14
254	именно в	6	13
255	не могли	3	13
256	точка зрения	1	13
257	а с	4	13
258	могла бы	1	13
259	отнюдь не	6	13
260	с такой	1	13
261	этот вопрос	5	13
262	знаем что	1	13
263	напротив того	1	13
264	в той	2	13
265	речь идет	4	13
266	едва ли	6	13
267	и он	1	13
268	говорит он	8	13
269	указывает что	3	13
270	могло бы	4	13
271	как он	8	13
272	должен был	2	13
273	со стороны	1	13
274	в этих	4	12
275	их в	6	12
276	не менее	8	12
277	может служить	2	12
278	в основу	5	12
279	того же	12	12
280	в конечном	2	12
281	я не	1	12
282	в самой	1	12
283	тогда когда	10	12
284	сам по	2	12
285	в свою	4	12
286	тот факт	7	12
287	состоит в	4	12
288	но если	2	12
289	и этот	1	12
290	и другое	7	12
291	и может	4	12
292	идет о	2	12
293	это в	1	12
294	конце концов	1	12
295	и очень	1	12
296	и с	5	12
297	например в	2	12
298	что по	2	12
299	как только	1	12
300	что этот	2	12
301	к психологии	1	12
302	что не	1	12
303	этой точки	4	12
304	и до	1	12
305	действия и	2	12
306	об этом	2	12
307	что эти	4	12
308	в нашей	4	12
309	конечном счете	1	11
310	так например	1	11
311	понятно что	3	11
312	конечно не	1	11
313	не будет	2	11
314	мы видели	8	11
315	и сейчас	1	11
316	подобно тому	1	11
317	сравнению с	4	11
318	оба эти	5	11
319	и заключается	2	11
320	по сравнению	6	11
321	и поэтому	4	11
322	но мы	1	11
323	бы сказать	5	11
324	на этот	5	11
325	мы могли	14	11
326	уже в	10	11
327	мы никогда	3	11
328	на все	2	11
329	бы мы	2	11
330	и других	4	11
331	отличие от	8	11
332	есть в	1	11
333	по поводу	1	11
334	его в	8	11
335	совершенно справедливо	1	11
336	были бы	3	11
337	образом и	1	11
338	и из	1	11
339	этого слова	13	11
340	с его	3	11
341	с но	3	11
342	думать что	1	11
343	на это	1	11
344	во всем	7	10
345	в другом	3	10
346	в тех	2	10
347	не так	1	10
348	сами по	4	10
349	именно на	1	10
350	данном случае	1	10
351	в их	12	10
352	что ни	1	10
353	с теми	2	10
354	от него	1	10
355	противоречие с	1	10
356	отличается от	5	10
357	в данном	1	10
358	должно быть	3	10
359	в состоянии	1	10
360	по мнению	1	10
361	тому же	6	10
362	и у	7	10
363	но как	4	10
364	совсем не	1	10
365	все те	1	10
366	и от	5	10
367	представить себе	3	10
368	мы в	3	10
369	здесь мы	4	10
370	не является	13	10
371	ее в	2	10
372	тому чтобы	2	10
373	и между	4	10
374	и их	4	10
375	думается что	1	9
376	но что	3	9
377	мы найдем	1	9
378	не есть	5	9
379	так сказать	1	9
380	в действительности	3	9
381	вопрос о	2	9
382	образом что	6	9
383	на него	2	9
384	внимание на	4	9
385	и следовательно	1	9
386	в чем	2	9
387	и та	1	9
388	заставляет нас	2	9
389	мы будем	4	9
390	в него	4	9
391	с ее	5	9
392	бы не	1	9
393	из его	1	9
394	на основании	11	9
395	в отличие	8	9
396	в виде	4	9
397	по своему	14	9
398	по его	1	9
399	на его	5	9
400	и по	5	9
401	в самых	1	9
402	тем самым	6	9
403	и ее	1	9
404	которые не	5	9
405	точно так	4	9
406	но все	4	9
407	роль в	5	9
408	можно сказать	2	9
409	и другой	4	9
410	с в	2	9
411	то как	2	9
412	к чему	1	9
413	во внимание	2	9
414	и именно	1	9
415	совершенно другой	1	9
416	мы говорили	5	9
417	ту же	2	9
418	мысль что	1	9
419	которое мы	2	9
420	в силу	9	9
421	оно есть	1	9
422	который не	3	9
423	по этому	6	9
424	и дальше	1	9
425	должен быть	1	9
426	том случае	2	9
427	именно это	3	9
428	формы в	3	8
429	это значит	6	8
430	который говорит	1	8
431	со всей	5	8
432	себе и	2	8
433	жизни с	1	8
434	всех остальных	2	8
435	одно и	7	8
436	и тот	6	8
437	в общем	1	8
438	нам придется	1	8
439	имеет дело	2	8
440	ни на	3	8
441	при анализе	2	8
442	что же	1	8
443	он в	1	8
444	тем же	8	8
445	такое же	2	8
446	о нем	2	8
447	смысле этого	10	8
448	в такой	3	8
449	и таким	1	8
450	и вообще	1	8
451	совершенно понятно	1	8
452	этому поводу	4	8
453	место в	3	8
454	и эта	4	8
455	которой мы	1	8
456	и составляет	1	8
457	из всех	2	8
458	самое важное	3	8
459	и другими	2	8
460	представление о	1	8
461	в собственном	12	8
462	целым рядом	3	8
463	больше чем	2	8
464	точно и	1	8
465	и значение	2	8
466	с другом	10	8
467	наряду с	3	8
468	гораздо более	1	8
469	по преимуществу	1	8
470	из того	4	8
471	уже давно	1	8
472	чтобы понять	1	8
473	и отсюда	1	8
474	друг с	10	8
475	содержания и	1	8
476	этом смысле	7	8
477	здесь совершенно	1	8
478	во время	3	8
479	к нему	1	8
480	в противоречие	1	8
481	верно что	1	8
482	в процессе	33	8
483	из которого	1	8
484	и более	4	8
485	относится к	1	8
486	том как	1	8
487	и во	4	8
488	он может	1	8
489	с на	1	8
490	бы и	2	8
491	иметь дело	1	8
492	которую мы	5	8
493	эти два	1	8
494	стороны и	1	8
495	только то	1	8
496	он видит	1	7
497	не как	3	7
498	на которых	3	7
499	и там	1	7
500	к самому	1	7
501	от этого	6	7
502	бы если	1	7
503	представляет собой	6	7
504	и те	3	7
505	свою очередь	3	7
506	ни одного	1	7
507	на том	3	7
508	только при	2	7
509	связи с	14	7
510	больше и	1	7
511	в каждом	2	7
512	что такое	1	7
513	что только	1	7
514	и при	3	7
515	имеет место	4	7
516	себе не	1	7
517	со всеми	9	7
518	есть нечто	1	7
519	они не	4	7
520	который он	1	7
521	с психологической	2	7
522	в течение	2	7
523	только один	1	7
524	это имеет	1	7
525	именно то	1	7
526	не существует	1	7
527	дело и	1	7
528	того или	2	7
529	случае если	2	7
530	но при	1	7
531	это можно	1	7
532	же в	3	7
533	все что	4	7
534	для всех	1	7
535	нас в	4	7
536	одно из	2	7
537	нашего исследования	2	7
538	как они	5	7
539	даны в	3	7
540	когда в	3	7
541	которые мы	3	7
542	в руках	1	7
543	приходит к	7	7
544	в глаза	2	7
545	в нашем	2	7
546	от себя	1	7
547	время в	1	7
548	в качестве	25	7
549	и эти	2	7
550	к жизни	2	7
551	лежит в	3	7
552	видит в	2	7
553	на другой	2	7
554	однако мы	1	7
555	бы его	1	7
556	с которым	2	7
557	а как	2	7
558	за ним	1	7
559	противоречие которое	1	7
560	психологии и	1	7
561	если это	2	7
562	и действительно	1	7
563	этого материала	1	7
564	признать что	1	7
