N	2gram	Nazirov_Vr	Tvorches
1	у достоевского	4	91
2	и в	8	56
3	как бы	4	41
4	в его	3	37
5	в романе	6	34
6	в то	5	30
7	достоевского в	7	27
8	м м	2	26
9	то же	5	25
10	в году	18	24
11	не только	9	24
12	же время	5	24
13	но в	6	24
14	как и	6	23
15	и не	5	23
16	а в	2	23
17	и его	3	23
18	в этом	8	22
19	достоевского не	4	22
20	что в	7	21
21	в том	3	21
22	из подполья	3	21
23	он не	3	19
24	том что	3	19
25	может быть	4	19
26	потому что	1	19
27	в преступлении	1	19
28	у него	5	18
29	то что	7	18
30	преступлении и	1	18
31	таким образом	2	17
32	и наказании	1	17
33	что он	4	17
34	все это	4	17
35	при этом	4	16
36	но и	7	16
37	никогда не	2	16
38	как в	1	16
39	в бесах	10	16
40	прежде всего	1	16
41	достоевского с	9	16
42	не может	2	16
43	достоевский не	3	16
44	и с	6	15
45	в мире	2	15
46	но это	2	15
47	в этой	2	15
48	с его	3	15
49	подпольного человека	4	14
50	и даже	6	14
51	достоевский в	8	14
52	это не	4	14
53	там же	2	13
54	о том	4	13
55	преступление и	1	13
56	в котором	6	12
57	же с	1	12
58	м бахтин	1	12
59	тем самым	1	12
60	в целом	1	12
61	в своей	2	11
62	все же	6	11
63	достоевского это	1	11
64	отнюдь не	2	11
65	преступления и	1	11
66	героев достоевского	1	11
67	для него	2	11
68	что достоевский	4	11
69	в самом	1	10
70	и достоевский	2	10
71	представление о	1	10
72	нашему мнению	1	10
73	он сам	2	10
74	в русской	3	10
75	и наказания	2	10
76	в конце	3	10
77	о забитой	1	10
78	забитой лошади	1	10
79	в основном	1	10
80	и наказание	1	10
81	уже в	4	10
82	так и	1	10
83	но не	1	10
84	по нашему	3	10
85	в душе	1	9
86	в своих	4	9
87	наряду с	3	9
88	по мнению	2	9
89	для достоевского	1	9
90	и от	1	9
91	один из	1	9
92	в черновиках	3	9
93	в свою	2	9
94	записки из	2	9
95	человека в	3	9
96	в нем	6	9
97	во многом	4	9
98	юмор достоевского	1	8
99	в духе	1	8
100	именно в	1	8
101	в соответствии	1	8
102	не менее	2	8
103	так же	4	8
104	к этому	3	8
105	хотя и	1	8
106	одним из	3	8
107	вместе с	2	8
108	тогда как	2	8
109	романа идиот	1	8
110	соответствии с	1	8
111	еще не	2	8
112	в себе	2	8
113	романе достоевского	1	8
114	в их	1	8
115	н м	1	8
116	об этом	5	8
117	человека и	1	8
118	русской литературе	3	7
119	достоевского к	3	7
120	в этих	1	7
121	и сам	1	7
122	года в	7	7
123	уже не	2	7
124	в записках	1	7
125	и он	2	7
126	в чем	3	7
127	в рассказе	1	7
128	своего рода	1	7
129	достоевского и	7	7
130	во сне	1	7
131	молодого достоевского	2	7
132	в момент	2	6
133	еще более	1	6
134	о великом	1	6
135	и как	3	6
136	ф м	1	6
137	но у	1	6
138	одна из	2	6
139	его в	3	6
140	и ее	2	6
141	героя в	1	6
142	и далее	2	6
143	с ним	4	6
144	и все	7	6
145	творчества достоевского	1	6
146	записках из	1	6
147	в повести	2	6
148	ли не	1	6
149	место в	2	6
150	из всех	1	5
151	быть может	1	5
152	в них	2	5
153	что этот	1	5
154	с другой	1	5
155	больше не	1	5
156	как правило	1	5
157	в своем	3	5
158	во всей	1	5
159	из них	2	5
160	что они	1	5
161	что у	3	5
162	в петербурге	1	5
163	в ее	1	5
164	не было	5	5
165	в таком	1	5
166	я не	3	5
167	и это	2	5
168	и у	3	5
169	а с	2	5
170	что это	1	5
171	между тем	5	5
172	в первой	1	5
173	на воздух	1	5
174	романа и	1	5
175	с этим	1	5
176	роман достоевского	2	5
177	самим собой	1	5
178	в россии	5	5
179	в истории	4	5
180	начиная с	2	5
181	до конца	1	5
182	том же	2	5
183	ничего не	1	5
184	у гоголя	1	5
185	в литературе	1	5
186	но с	1	5
187	в ту	1	5
188	всего романа	1	5
189	что я	2	5
190	это как	1	5
191	как он	1	5
192	в известной	1	5
193	говорит о	1	4
194	него в	1	4
