N	2gram	Medvedev_V	Russkaja
1	и не	1	19
2	в этом	1	17
3	в том	2	17
4	и в	2	14
5	то же	1	11
6	том что	2	9
7	ни к	1	7
8	самом деле	1	7
9	все это	1	6
10	только в	1	5
11	по существу	1	5
12	и только	1	5
13	хотя бы	1	5
14	потому что	1	5
15	и то	1	4
16	так как	1	4
17	в их	1	4
18	и т.д	1	4
19	в самом	1	3
20	для них	1	3
21	сводится к	1	3
22	именно в	1	3
23	в конце	2	3
24	да и	1	3
25	в значительной	1	3
26	в другом	1	3
27	главным образом	1	3
28	конце концов	2	3
29	время в	1	2
30	говорили в	1	2
31	к чему	1	2
32	том же	1	2
33	ясно что	1	2
34	не играет	1	2
35	в частности	1	2
36	говоря о	1	2
37	даже не	1	2
38	этом и	1	2
39	но это	1	2
40	других и	1	1
41	совершенно ясно	1	1
42	как же	1	1
43	дело в	1	1
44	играет ибо	1	1
45	теснейшим образом	1	1
46	другом месте	1	1
47	в которых	1	1
48	по своим	1	1
49	а только	1	1
50	к созданию	1	1
51	тем более	1	1
52	по крайней	1	1
53	и заключается	1	1
54	этому и	1	1
55	чем больше	1	1
56	значительной степени	1	1
57	с большой	1	1
58	роли не	1	1
59	крайней мере	1	1
60	столь же	1	1
61	к этому	1	1
62	образом связаны	1	1
