N	2gram	Losev_Vesc	VelikijI
1	во имя	3	32
2	и не	57	20
3	и в	44	16
4	так как	17	9
5	то что	47	9
6	в истории	3	8
7	еще не	12	8
8	и потому	8	7
9	что они	12	7
10	а не	34	7
11	человека и	3	6
12	не есть	79	6
13	что есть	8	5
14	религиозного сознания	2	5
15	хотя и	5	5
16	того что	16	5
17	все это	7	5
18	как бы	19	5
19	бога и	1	5
20	на себя	5	5
21	но и	19	5
22	все что	3	4
23	в котором	4	4
24	в этом	17	4
25	что мы	17	4
26	о смысле	5	4
27	потому что	25	4
28	в его	5	4
29	в ней	14	4
30	так и	4	4
31	это еще	1	4
32	говорить о	9	4
33	с богом	1	4
34	мы хотим	1	4
35	и есть	40	4
36	и все	6	4
37	что не	11	4
38	что все	2	4
39	как и	15	4
40	что он	7	4
41	и я	1	4
42	к личности	3	4
43	в нем	6	4
44	во всех	5	3
45	что в	11	3
46	нет ничего	2	3
47	бы и	9	3
48	не верят	1	3
49	и мы	5	3
50	то это	5	3
51	в конце	3	3
52	должно быть	8	3
53	нас и	1	3
54	если не	3	3
55	хотя бы	9	3
56	в том	15	3
57	тому что	2	3
58	личности и	1	3
59	не в	14	3
60	и что	22	3
61	что и	11	3
62	ни в	11	3
63	они в	1	3
64	превращается в	3	3
65	в этих	1	3
66	в абсолютном	2	3
67	в них	1	3
68	оно не	6	3
69	в вопросе	1	3
70	не было	4	3
71	лишь в	1	3
72	к чему	2	3
73	и будет	1	3
74	в жизни	5	3
75	что я	26	3
76	по этому	1	3
77	и они	2	3
78	как не	2	3
79	их в	6	3
80	в своей	6	3
81	должна быть	8	3
82	с его	2	3
83	к бытию	3	3
84	от этого	3	3
85	не имеет	2	3
86	но это	14	3
87	и для	13	3
88	жизни и	6	3
89	верят в	1	3
90	в чем	10	3
91	все эти	5	3
92	тот же	4	3
93	но в	8	3
94	к тому	3	3
95	никогда не	5	3
96	зачем же	2	2
97	что было	1	2
98	государства и	1	2
99	во всяком	4	2
100	его и	4	2
101	третье и	1	2
102	уже на	1	2
103	ее и	2	2
104	в смысл	2	2
105	один из	5	2
106	мы и	1	2
107	не могли	1	2
108	личности а	1	2
109	они и	1	2
110	самого себя	2	2
111	которые не	1	2
112	превратились в	1	2
113	на том	1	2
114	теперь только	1	2
115	когда я	5	2
116	не так	2	2
117	того чтобы	4	2
118	это не	9	2
119	это все	3	2
120	вместо того	1	2
121	не только	48	2
122	для него	8	2
123	вот почему	3	2
124	и тогда	7	2
125	с ним	8	2
126	на этих	1	2
127	является в	2	2
