N	2gram	Propp_Morf	Sovremen
1	не может	19	17
2	может быть	61	12
3	точки зрения	7	12
4	таким образом	26	11
5	мы не	8	9
6	в каждом	1	8
7	в этом	18	7
8	и в	17	7
9	не можем	1	7
10	мы можем	5	6
11	в результате	8	6
12	как и	4	6
13	ничего не	5	6
14	и не	16	6
15	с точки	6	5
16	прежде всего	14	5
17	что же	2	5
18	все эти	5	5
19	и наконец	1	5
20	а в	8	4
21	так как	20	4
22	вопрос о	10	4
23	это не	6	4
24	не только	8	4
25	мы должны	3	4
26	с помощью	1	4
27	как бы	6	4
28	если мы	6	4
29	их в	2	4
30	в целом	5	4
31	в том	10	4
32	из них	4	4
33	точку зрения	1	4
34	и к	4	3
35	этим мы	1	3
36	с самого	1	3
37	когда мы	1	3
38	то же	10	3
39	при этом	1	3
40	мы получаем	2	3
41	не в	3	3
42	а не	11	3
43	для нас	2	3
44	все это	2	3
45	мы получим	2	3
46	как он	1	3
47	в одном	2	3
48	у нас	3	3
49	самого начала	1	3
50	так называемых	2	3
51	было бы	5	3
52	в первом	5	3
53	ли мы	1	3
54	в этой	3	3
55	из двух	3	3
56	он в	1	3
57	и все	1	3
58	в себе	1	3
59	следующим образом	4	3
60	ясно что	5	3
61	что она	2	3
62	он может	2	3
63	одна из	5	3
64	состоит из	3	3
65	все же	9	3
66	в области	1	3
67	может не	2	3
68	между собой	5	3
69	но мы	3	3
70	но в	4	3
71	еще не	4	3
72	с этим	14	2
73	что в	10	2
74	этих двух	1	2
75	тем не	7	2
76	дает нам	1	2
77	пойти в	2	2
78	совершенно не	1	2
79	мы видим	15	2
80	и что	3	2
81	отличие от	1	2
82	такие же	1	2
83	друг с	1	2
84	и пр	45	2
85	с одной	2	2
86	в свою	1	2
87	из этих	2	2
88	в его	1	2
89	во всяком	2	2
90	не будем	5	2
91	не дает	1	2
92	можно назвать	3	2
93	то ни	3	2
94	что это	3	2
95	или же	7	2
96	что при	3	2
97	быть и	2	2
98	в некоторых	4	2
99	только одну	1	2
100	из которых	5	2
101	только один	1	2
102	что такое	3	2
103	он приводит	2	2
104	может иметь	1	2
105	если же	5	2
106	говорить о	4	2
107	на его	5	2
108	конечно в	1	2
109	вторая половина	2	2
110	у него	2	2
111	не могут	7	2
112	в виде	3	2
113	со всеми	1	2
114	а на	3	2
115	свою очередь	1	2
116	и даже	2	2
117	разделение на	1	2
118	самом деле	4	2
119	в которой	3	2
120	но все	4	2
121	ни одна	4	2
122	к чему	3	2
123	же самое	1	2
124	как мы	8	2
125	настоящее время	3	2
126	она может	1	2
127	тем же	2	2
128	о жизни	1	2
129	могут быть	21	2
130	в таком	1	2
131	в нашем	6	2
132	уже не	4	2
133	мы этого	1	2
134	и есть	3	2
135	что все	1	2
136	или иной	1	2
137	на этот	2	2
138	такой же	1	2
139	на этом	4	2
140	роль в	2	2
141	не менее	7	2
142	приводит к	3	2
143	и по	3	2
144	может дать	2	2
145	на котором	4	2
146	форма в	3	2
147	с другом	1	2
148	свою собственную	1	2
149	из одного	1	2
150	в настоящее	3	2
151	в один	3	2
152	тот же	1	2
153	всяком случае	2	2
154	он должен	3	2
155	причем эти	1	1
156	же просто	1	1
157	прошлого века	1	1
158	во всех	6	1
159	можно наблюдать	8	1
160	существу не	1	1
161	все они	1	1
162	к началу	4	1
163	эти частные	1	1
164	бы то	3	1
165	которые в	1	1
166	они все	1	1
167	с двух	1	1
168	этого и	1	1
169	это и	3	1
170	при втором	1	1
171	разложена на	1	1
172	его и	2	1
173	этом случае	10	1
174	реагирует на	3	1
175	в свое	2	1
176	но можно	1	1
177	том случае	3	1
178	а потому	2	1
179	во втором	7	1
180	к различным	2	1
181	но как	3	1
182	то они	2	1
183	чем же	1	1
184	не является	4	1
185	в данном	2	1
186	до сих	1	1
187	бы к	1	1
188	еще раз	1	1
189	и более	2	1
190	та же	3	1
191	вытекает из	2	1
192	же они	2	1
193	мы постараемся	2	1
194	в постановке	1	1
195	быть действительно	1	1
196	представители этой	1	1
197	действия в	1	1
198	что иное	2	1
199	видим что	12	1
200	данном случае	2	1
201	элемент может	2	1
202	в очень	2	1
203	связи с	12	1
204	здесь нет	1	1
205	одна не	1	1
206	же законам	1	1
207	живое существо	2	1
208	если в	7	1
209	можем определить	1	1
210	существо его	1	1
211	очень часто	6	1
212	можно взять	2	1
213	указать на	1	1
214	должно быть	1	1
215	мы уже	4	1
216	такую же	2	1
217	с №	1	1
218	случае и	1	1
219	в первый	1	1
220	значение но	1	1
221	же функцией	1	1
222	его с	1	1
223	она не	2	1
224	наших целей	2	1
225	в течение	1	1
226	на ее	1	1
227	она в	2	1
228	роль чем	1	1
229	выбор и	1	1
230	законам что	1	1
231	одной стороны	2	1
232	как особого	2	1
233	и ни	1	1
234	на другой	1	1
235	это то	1	1
236	на друга	2	1
237	мы имеем	19	1
238	и у	3	1
239	для наших	3	1
240	в другом	2	1
241	не стремится	1	1
242	совсем не	3	1
243	несмотря на	4	1
244	том как	2	1
245	говорить только	1	1
246	друг на	2	1
247	ни было	2	1
248	что эта	2	1
249	мы опять	1	1
250	это значит	1	1
251	формы с	1	1
252	хотя и	5	1
253	он называет	1	1
254	всей совокупности	1	1
255	с другой	9	1
256	и тогда	3	1
257	в этот	1	1
258	это уже	3	1
259	на которых	1	1
260	он не	5	1
261	кроме того	3	1
262	раз она	1	1
263	то нет	1	1
264	из двенадцати	2	1
265	не будет	1	1
266	что с	1	1
267	те же	1	1
268	между двумя	1	1
269	но другая	1	1
270	те или	1	1
271	ей не	1	1
272	а затем	10	1
273	увидим что	2	1
274	только на	1	1
275	но они	2	1
276	части одной	1	1
277	пока не	1	1
278	и их	3	1
279	на некотором	1	1
280	или иные	2	1
281	быть поняты	1	1
282	остановиться на	1	1
283	все что	1	1
284	не приходится	1	1
285	правда и	1	1
286	и при	3	1
287	это или	1	1
288	на самом	4	1
289	на которой	1	1
290	что каждый	1	1
291	из нескольких	1	1
292	можно было	4	1
293	перенесением ее	1	1
294	ни в	3	1
295	от другого	3	1
296	случае он	2	1
297	а при	1	1
298	в начале	3	1
299	нами в	4	1
300	по отношению	7	1
301	еще в	1	1
302	кто же	1	1
303	развития все	1	1
304	более как	1	1
305	переносятся на	1	1
306	и тот	2	1
307	много а	1	1
308	и те	1	1
309	эта функция	4	1
310	только в	3	1
311	чему мы	1	1
312	в совершенно	2	1
313	которая не	1	1
314	раз он	3	1
315	отличать от	1	1
316	этот вопрос	4	1
317	приводится к	1	1
318	функции в	1	1
319	углом зрения	2	1
320	же время	1	1
321	и может	1	1
322	видим не	1	1
323	в ином	3	1
324	так же	4	1
325	которых она	1	1
326	его в	4	1
327	то она	1	1
328	может играть	2	1
329	в обоих	2	1
330	или как	1	1
331	в большинстве	3	1
332	чем в	2	1
333	элементы и	1	1
334	в своих	2	1
335	наконец мы	1	1
336	не представляет	1	1
337	как например	2	1
338	без всяких	1	1
339	с его	3	1
340	наука не	1	1
341	один из	7	1
342	силу и	1	1
343	на это	1	1
344	не более	1	1
345	если бы	3	1
346	и несколько	1	1
347	не знает	2	1
348	или в	6	1
349	под углом	2	1
350	из одной	1	1
351	этого не	2	1
352	можно говорить	1	1
353	ничего общего	1	1
354	которое должен	1	1
355	из приведенных	3	1
356	образом если	2	1
357	равно как	1	1
358	наших дней	2	1
359	их по	4	1
360	их и	1	1
361	как их	2	1
362	что его	4	1
363	извне мы	1	1
364	в гости	1	1
365	как его	1	1
366	может ли	1	1
367	будем же	1	1
368	вроде следующего	1	1
369	понятия и	1	1
370	в эту	1	1
371	но эта	1	1
372	функций и	1	1
373	дело в	1	1
374	этом с	1	1
375	в данной	2	1
376	главе мы	1	1
377	по существу	13	1
378	сказать что	4	1
379	системе и	1	1
380	но для	3	1
381	таких случаев	2	1
382	именно в	1	1
383	затем он	1	1
384	не составляют	1	1
385	ее даже	1	1
386	и начала	1	1
387	и действительно	1	1
388	такое же	1	1
389	и до	1	1
390	быть разложена	1	1
391	это делает	1	1
392	принадлежит и	1	1
393	благодаря этому	3	1
394	отношению к	7	1
395	в основу	2	1
396	одной из	2	1
397	более и	1	1
398	случае не	4	1
399	дает следующий	1	1
400	уже знаем	1	1
401	но ведь	1	1
402	что следовательно	1	1
403	в связи	10	1
404	в какой	3	1
405	между ними	1	1
406	необходимо для	1	1
407	мы будем	3	1
408	одном случае	1	1
409	во всей	1	1
410	такого случая	1	1
411	же в	3	1
412	том что	7	1
413	они нам	1	1
414	что такой	1	1
415	обоих случаях	2	1
416	до наших	2	1
417	в мире	1	1
418	b в	2	1
419	на эту	1	1
420	но не	8	1
421	дело идет	1	1
422	так в	1	1
423	но если	10	1
424	они не	3	1
425	к концу	1	1
426	явлений и	1	1
427	он сам	1	1
428	в следующих	1	1
429	оно может	4	1
430	через все	1	1
431	не имеет	2	1
432	при каких	1	1
433	их на	2	1
434	и могут	1	1
435	к этому	4	1
436	заставляя их	1	1
437	все более	1	1
438	там где	5	1
439	в то	4	1
440	и только	3	1
441	функций в	1	1
442	один и	1	1
443	значит что	4	1
444	мы имели	1	1
445	по его	1	1
446	является ли	1	1
447	ли он	1	1
448	в отдельных	3	1
449	это совершенно	1	1
450	этой области	1	1
451	только и	1	1
452	или нет	2	1
453	но это	6	1
454	для чего	1	1
455	независимо от	4	1
456	когда в	2	1
457	оно имеет	1	1
458	и для	4	1
459	есть то	1	1
460	природой и	1	1
461	с ее	1	1
462	что необходимо	1	1
463	для их	1	1
464	таким же	1	1
465	не что	2	1
466	и это	1	1
467	хорошо можно	1	1
468	нет в	1	1
469	и развития	1	1
470	только о	1	1
471	произошло в	1	1
472	на части	1	1
473	и его	3	1
474	случае когда	1	1
475	целом может	1	1
476	уже совершенно	1	1
477	и становится	1	1
478	вовсе не	6	1
479	же вопрос	1	1
480	о том	6	1
481	сих пор	1	1
482	есть не	1	1
483	и вообще	1	1
484	быть поставлен	1	1
485	иное как	2	1
486	эти процессы	1	1
487	от различных	1	1
488	и нет	1	1
489	или другой	2	1
490	к другому	2	1
491	элемента из	1	1
492	к нему	3	1
493	той или	1	1
494	а потом	2	1
