N	2gram	Nazirov_Vr	Vladivir
1	и в	8	116
2	то что	7	71
3	и не	5	67
4	в году	18	65
5	у него	5	65
6	не только	9	65
7	в этом	8	53
8	в том	3	52
9	том что	3	51
10	что в	7	48
11	но и	7	47
12	в конце	3	41
13	в его	3	40
14	и с	6	39
15	и даже	6	36
16	также и	1	36
17	там же	2	35
18	же с	1	34
19	потому что	1	33
20	что он	4	32
21	не может	2	31
22	о том	4	30
23	никогда не	2	29
24	для него	2	29
25	а в	2	27
26	не было	5	26
27	в себе	2	25
28	но в	6	25
29	в то	5	25
30	и то	2	25
31	и его	3	25
32	а также	2	24
33	точки зрения	2	23
34	между прочим	1	23
35	он не	3	23
36	может быть	4	23
37	что же	1	23
38	он был	3	22
39	об этом	5	22
40	в своей	2	21
41	вместе с	2	21
42	и что	8	20
43	в своем	3	20
44	для нас	4	20
45	прежде всего	1	20
46	не менее	2	19
47	и вообще	1	19
48	м м	2	19
49	как раз	2	19
50	тем не	1	19
51	таким образом	2	19
52	в те	3	19
53	так и	1	19
54	как и	6	18
55	не мог	2	18
56	не был	1	18
57	хотя и	1	18
58	с его	3	18
59	с н	1	18
60	в письме	5	17
61	в этой	2	17
62	едва ли	1	17
63	все же	6	16
64	уже не	2	16
65	не есть	1	16
66	совсем не	1	16
67	года он	3	16
68	и все	7	16
69	было бы	1	16
70	того что	1	16
71	в котором	6	16
72	а н	2	16
73	то же	5	15
74	в своих	4	15
75	к этому	3	15
76	в эти	2	15
77	несмотря на	4	15
78	в связи	3	15
79	письме к	4	15
80	до конца	1	15
81	но это	2	15
82	это было	1	15
83	того же	1	14
84	раз и	1	14
85	тут же	1	14
86	его жизни	1	14
87	в москве	1	14
88	уже в	4	14
89	и как	3	14
90	во всем	1	13
91	так же	4	13
92	не просто	1	13
93	на этот	1	13
94	и от	1	13
95	что это	1	13
96	то время	1	13
97	да и	1	13
98	жизни и	1	13
99	и это	2	12
100	и у	3	12
101	в нем	6	12
102	то в	1	12
103	всяком случае	1	12
104	ничего не	1	12
105	во всяком	1	12
106	связи с	3	12
107	при этом	4	11
108	него в	1	11
109	тому же	1	11
110	я не	3	11
111	на то	3	11
